smiles,name,abs_freq,rel_freq
CC(C)C[C@H](N)C=O,O=[C;amide][C@@H]([N;amide])CC(C)C,37,0.0031027253668763103
CCC,[C;amine](C)C,36,0.0030188679245283017
N[C@H](C=O)CS,[S;disulfide]C[C@H]([N;amide])[C;amide]=O,34,0.002851153039832285
O=C[C@@H]1CCCN1,O=[C;amide][C@H]1[N;amide]CCC1,29,0.0024318658280922433
C[C@@H](O)[C@H](N)C=O,O=[C;amide][C@@H]([N;amide])[C@H](O)C,28,0.0023480083857442347
N[C@H](C=O)CO,O=[C;amide][C@@H]([N;amide])CO,27,0.0022641509433962265
CCC,C([C;olefin])[C;olefin],26,0.002180293501048218
CCCC,C(CC)[C;amine],24,0.002012578616352201
C[NH+](C)C,[N+;quatN](C)(C)C,24,0.002012578616352201
NCCCC[C@H](N)C=O,O=[C;amide][C@@H]([N;amide])CCCCN,22,0.0018448637316561844
N[C@H](C=O)Cc1ccc(O)cc1,O=[C;amide][C@@H]([N;amide])Cc1ccc(O)cc1,22,0.0018448637316561844
CCCCC,C([C;olefin]C)C[C;olefin],22,0.0018448637316561844
CCC,C([C;amine])[C;amine],21,0.001761006289308176
Nc1ccc([SH](=O)=O)cc1,[SH;so2amide](=O)(=O)c1ccc(N)cc1,20,0.0016771488469601676
CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(=O)O,O=C(O)[C@H]1C(C)(C)S[C@@H]2[C@H]([N;amide])C(=O)N12,19,0.0015932914046121593
N[C@H](C=O)Cc1c[nH]c2ccccc12,O=[C;amide][C@@H]([N;amide])Cc1c2c([nH]c1)cccc2,19,0.0015932914046121593
NC(=O)C[C@H](N)C=O,O=C(N)C[C@H]([N;amide])[C;amide]=O,19,0.0015932914046121593
c1ccccc1,[c;biphenyl]1ccccc1,18,0.0015094339622641509
N=C(N)NCCC[C@H](N)C=O,O=[C;amide][C@@H]([N;amide])CCCNC(=N)N,17,0.0014255765199161425
C1CNCCN1,[N;amine]1CC[N;amine]CC1,17,0.0014255765199161425
C1COCCN1,O1CC[N;amine]CC1,17,0.0014255765199161425
N[C@H](C=O)Cc1ccccc1,O=[C;amide][C@@H]([N;amide])Cc1ccccc1,16,0.001341719077568134
C[C@H](N)C=O,O=[C;amide][C@@H]([N;amide])C,16,0.001341719077568134
CN1CCNCC1,CN1CC[N;amine]CC1,15,0.0012578616352201257
C1CCNCC1,[N;amine]1CCCCC1,15,0.0012578616352201257
NCC(O)CO,OC(CO)C[N;amide],15,0.0012578616352201257
CC(C)O,OC([C;amine])[C;ether],15,0.0012578616352201257
OC[C@H]1OC[C@@H](O)[C@H](O)[C@@H]1O,OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](O)[C;ether]O1,14,0.0011740041928721173
CC(C)C,[C;amine](C)(C)C,13,0.001090146750524109
CCC,[C;olefin](C)C,13,0.001090146750524109
N[C@H](C=O)CCC(=O)O,O=C(O)CC[C@H]([N;amide])[C;amide]=O,12,0.0010062893081761006
CC(C)[C@H](N)C=O,O=[C;amide][C@@H]([N;amide])C(C)C,12,0.0010062893081761006
CC(C)O,[O;ester]C(C)C,12,0.0010062893081761006
N[C@@H](C=O)Cc1ccccc1,O=[C;amide][C@H]([N;amide])Cc1ccccc1,11,0.0009224318658280922
N[C@H](C=O)CC(=O)O,O=C(O)C[C@H]([N;amide])[C;amide]=O,11,0.0009224318658280922
Oc1ccccc1,[O;ether]c1ccccc1,11,0.0009224318658280922
CCC,C([C;amine])C,11,0.0009224318658280922
[C-]#[N+]CC(C)C,[N+](C[C;ether](C)C)#[C-],10,0.0008385744234800838
