query_smiles,query_inchikey,smiles,identifier,search_type,score,database
ClC1=CC=C(CSC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,AFNXATANNDIXLG-UHFFFAOYSA-N,Clc1ccc(CS[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,ZINC15 : ZINC000003873371,consensus,1.0,zinc15
ClC1=CC=C(CSC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,AFNXATANNDIXLG-UHFFFAOYSA-N,Clc1ccc(CS[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,ZINC15 : ZINC000000601250,consensus,1.0,zinc15
ClC1=CC=C(CSC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,AFNXATANNDIXLG-UHFFFAOYSA-N,Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,ZINC15 : ZINC000000643055,consensus,0.6153846153846154,zinc15
ClC1=CC=C(CSC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,AFNXATANNDIXLG-UHFFFAOYSA-N,Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,ZINC15 : ZINC000000596881,consensus,0.6153846153846154,zinc15
ClC1=CC=C(CSC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,AFNXATANNDIXLG-UHFFFAOYSA-N,Clc1ccc([C@@H](Cn2ccnc2)OCc2ccc(Cl)c(Cl)c2)c(Cl)c1,ZINC15 : ZINC000044136501,consensus,0.5535714285714286,zinc15
ClC1=CC=C(CSC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,AFNXATANNDIXLG-UHFFFAOYSA-N,Clc1ccc([C@H](CCc2ccc(Br)cc2)Cn2ccnc2)c(Cl)c1,ZINC15 : ZINC000005386097,consensus,0.5535714285714286,zinc15
ClC1=CC=C(CSC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,AFNXATANNDIXLG-UHFFFAOYSA-N,Clc1ccc([C@H](Cn2ccnc2)OCc2ccc(Cl)c(Cl)c2)c(Cl)c1,ZINC15 : ZINC000044136499,consensus,0.5535714285714286,zinc15
ClC1=CC=C(CSC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,AFNXATANNDIXLG-UHFFFAOYSA-N,Clc1ccc([C@@H](CCc2ccc(Br)cc2)Cn2ccnc2)c(Cl)c1,ZINC15 : ZINC000017108790,consensus,0.5535714285714286,zinc15
ClC1=CC=C(CSC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,AFNXATANNDIXLG-UHFFFAOYSA-N,C[C@H](SCCn1ccnc1)c1ccc(Cl)cc1Cl,ZINC15 : ZINC000536373039,consensus,0.5471698113207547,zinc15
ClC1=CC=C(CSC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,AFNXATANNDIXLG-UHFFFAOYSA-N,C[C@@H](SCCn1ccnc1)c1ccc(Cl)cc1Cl,ZINC15 : ZINC000536373040,consensus,0.5471698113207547,zinc15
