query_smiles,query_inchikey,smiles,identifier,search_type,score,database
COC1=NC(OC)=C(C=N1)C1=NC2=C([C@@H](N(C2=O)C2=CC(Cl)=CN(C)C2=O)C2=CC=C(Cl)C=C2)N1C(C)C,AGBSXNCBIWWLHD-FQEVSTJZSA-N,COc1ncc(-c2cc(C)cn(C)c2=O)c(OC)n1,ZINC15 : ZINC001240908229,consensus,0.43661971830985913,zinc15
COC1=NC(OC)=C(C=N1)C1=NC2=C([C@@H](N(C2=O)C2=CC(Cl)=CN(C)C2=O)C2=CC=C(Cl)C=C2)N1C(C)C,AGBSXNCBIWWLHD-FQEVSTJZSA-N,COc1ncc(-c2nc3ccc(C)cc3n2C(C)C)c(OC)n1,ZINC15 : ZINC001250763955,consensus,0.4266666666666667,zinc15
COC1=NC(OC)=C(C=N1)C1=NC2=C([C@@H](N(C2=O)C2=CC(Cl)=CN(C)C2=O)C2=CC=C(Cl)C=C2)N1C(C)C,AGBSXNCBIWWLHD-FQEVSTJZSA-N,COc1nc(C(C)C)ccc1-c1cc(C)cn(C)c1=O,ZINC15 : ZINC001236447639,consensus,0.3333333333333333,zinc15
COC1=NC(OC)=C(C=N1)C1=NC2=C([C@@H](N(C2=O)C2=CC(Cl)=CN(C)C2=O)C2=CC=C(Cl)C=C2)N1C(C)C,AGBSXNCBIWWLHD-FQEVSTJZSA-N,COc1ncc(-c2cc(Cl)c3c(c2)CCC(=O)N3C)c(OC)n1,ZINC15 : ZINC001240906275,consensus,0.32142857142857145,zinc15
COC1=NC(OC)=C(C=N1)C1=NC2=C([C@@H](N(C2=O)C2=CC(Cl)=CN(C)C2=O)C2=CC=C(Cl)C=C2)N1C(C)C,AGBSXNCBIWWLHD-FQEVSTJZSA-N,COc1ncc(Cl)cc1-c1nc2ccccc2n1C(C)C,ZINC15 : ZINC001250803778,consensus,0.32098765432098764,zinc15
COC1=NC(OC)=C(C=N1)C1=NC2=C([C@@H](N(C2=O)C2=CC(Cl)=CN(C)C2=O)C2=CC=C(Cl)C=C2)N1C(C)C,AGBSXNCBIWWLHD-FQEVSTJZSA-N,COc1ncc(Cl)cc1-c1cn(C)c(=O)c2ccccc21,ZINC15 : ZINC001242507062,consensus,0.31645569620253167,zinc15
COC1=NC(OC)=C(C=N1)C1=NC2=C([C@@H](N(C2=O)C2=CC(Cl)=CN(C)C2=O)C2=CC=C(Cl)C=C2)N1C(C)C,AGBSXNCBIWWLHD-FQEVSTJZSA-N,COc1nc(C(C)C)ccc1-c1cc(C)c(=O)n(C)c1,ZINC15 : ZINC001236445847,consensus,0.3125,zinc15
COC1=NC(OC)=C(C=N1)C1=NC2=C([C@@H](N(C2=O)C2=CC(Cl)=CN(C)C2=O)C2=CC=C(Cl)C=C2)N1C(C)C,AGBSXNCBIWWLHD-FQEVSTJZSA-N,Cc1cc(-c2cc(Cl)cnc2OC(C)C)c(=O)n(C)c1,ZINC15 : ZINC001239332052,consensus,0.3125,zinc15
COC1=NC(OC)=C(C=N1)C1=NC2=C([C@@H](N(C2=O)C2=CC(Cl)=CN(C)C2=O)C2=CC=C(Cl)C=C2)N1C(C)C,AGBSXNCBIWWLHD-FQEVSTJZSA-N,COc1ncc(C)cc1-c1cc(C)cn(C)c1=O,ZINC15 : ZINC001241367303,consensus,0.30666666666666664,zinc15
COC1=NC(OC)=C(C=N1)C1=NC2=C([C@@H](N(C2=O)C2=CC(Cl)=CN(C)C2=O)C2=CC=C(Cl)C=C2)N1C(C)C,AGBSXNCBIWWLHD-FQEVSTJZSA-N,COc1ncc(C)cc1-c1cn(C)c(=O)c2ccccc21,ZINC15 : ZINC001241364332,consensus,0.3037974683544304,zinc15
COC1=NC(OC)=C(C=N1)C1=NC2=C([C@@H](N(C2=O)C2=CC(Cl)=CN(C)C2=O)C2=CC=C(Cl)C=C2)N1C(C)C,AGBSXNCBIWWLHD-FQEVSTJZSA-N,COc1ncc(Cl)cc1-c1ccc(=O)n(C(C)C)c1,ZINC15 : ZINC001242508897,consensus,0.3,zinc15
COC1=NC(OC)=C(C=N1)C1=NC2=C([C@@H](N(C2=O)C2=CC(Cl)=CN(C)C2=O)C2=CC=C(Cl)C=C2)N1C(C)C,AGBSXNCBIWWLHD-FQEVSTJZSA-N,COc1ncc(C)cc1-c1nc2c(C)nc(N)nc2n(C(C)C)c1=O,ZINC15 : ZINC001241363353,consensus,0.2988505747126437,zinc15
COC1=NC(OC)=C(C=N1)C1=NC2=C([C@@H](N(C2=O)C2=CC(Cl)=CN(C)C2=O)C2=CC=C(Cl)C=C2)N1C(C)C,AGBSXNCBIWWLHD-FQEVSTJZSA-N,COc1ncc(Cl)cc1-c1ccc2nc(C)n(C(C)C)c2n1,ZINC15 : ZINC001242503741,consensus,0.2976190476190476,zinc15
COC1=NC(OC)=C(C=N1)C1=NC2=C([C@@H](N(C2=O)C2=CC(Cl)=CN(C)C2=O)C2=CC=C(Cl)C=C2)N1C(C)C,AGBSXNCBIWWLHD-FQEVSTJZSA-N,COc1ncc(Cl)cc1-c1cccn(C(C)C)c1=O,ZINC15 : ZINC001242508677,consensus,0.2962962962962963,zinc15
COC1=NC(OC)=C(C=N1)C1=NC2=C([C@@H](N(C2=O)C2=CC(Cl)=CN(C)C2=O)C2=CC=C(Cl)C=C2)N1C(C)C,AGBSXNCBIWWLHD-FQEVSTJZSA-N,COc1ncc(Cl)cc1-c1ccnn(C(C)C)c1=O,ZINC15 : ZINC001242508799,consensus,0.2962962962962963,zinc15
COC1=NC(OC)=C(C=N1)C1=NC2=C([C@@H](N(C2=O)C2=CC(Cl)=CN(C)C2=O)C2=CC=C(Cl)C=C2)N1C(C)C,AGBSXNCBIWWLHD-FQEVSTJZSA-N,COc1cc(Cl)ccc1-c1nc2c(C)nc(N)nc2n(C(C)C)c1=O,ZINC15 : ZINC001241896493,consensus,0.29545454545454547,zinc15
COC1=NC(OC)=C(C=N1)C1=NC2=C([C@@H](N(C2=O)C2=CC(Cl)=CN(C)C2=O)C2=CC=C(Cl)C=C2)N1C(C)C,AGBSXNCBIWWLHD-FQEVSTJZSA-N,COc1ccc(Cl)cc1-c1nc2c(C)nc(N)nc2n(C(C)C)c1=O,ZINC15 : ZINC001245812068,consensus,0.29545454545454547,zinc15
