query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,CC(=O)[C@@H](O)[C@H](O)CO,ZINC15 : 3869506,consensus,0.4642857142857143,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,CC(=O)[C@H](O)[C@H](O)CO,ZINC15 : 3869507,consensus,0.4642857142857143,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C(CO)[C@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000001532567,consensus,0.42857142857142855,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C(CO)[C@H](O)[C@@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000001529626,consensus,0.42857142857142855,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C(CO)[C@@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000030320708,consensus,0.42857142857142855,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,CC(=O)[C@@H](O)COP(=O)([O-])[O-],ZINC15 : 3869869,consensus,0.42424242424242425,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,CC(=O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : 30729405,consensus,0.42424242424242425,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C([O-])[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000012501562,consensus,0.3783783783783784,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C([O-])[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000003869604,consensus,0.3783783783783784,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C([O-])[C@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000012501560,consensus,0.3783783783783784,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C([O-])[C@H](O)[C@H](O)[C@H](O)[C@@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000012501558,consensus,0.3783783783783784,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C([O-])[C@@H](O)[C@@H](O)[C@@H](O)[C@@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000003869602,consensus,0.3783783783783784,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C([O-])[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000002545091,consensus,0.3783783783783784,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000001532623,consensus,0.3783783783783784,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C([O-])[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000002047359,consensus,0.3783783783783784,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C([O-])[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000003869603,consensus,0.3783783783783784,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C([O-])[C@H](O)[C@H](O)[C@@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000012501564,consensus,0.3783783783783784,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C(CO)[C@H](O)[C@@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000013537943,consensus,0.3684210526315789,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C(COP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000004523257,consensus,0.3684210526315789,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C(COP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000004523259,consensus,0.3684210526315789,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C(COP(=O)([O-])[O-])[C@H](O)[C@H](O)[C@@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000012502210,consensus,0.3684210526315789,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C(COP(=O)([O-])[O-])[C@@H](O)[C@@H](O)[C@@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000004523251,consensus,0.3684210526315789,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C(COP(=O)([O-])[O-])[C@@H](O)[C@@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000004523255,consensus,0.3684210526315789,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C(COP(=O)([O-])[O-])[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000012502212,consensus,0.3684210526315789,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C(COP(=O)([O-])[O-])[C@H](O)[C@@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000012502216,consensus,0.3684210526315789,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C(CO)[C@H](O)[C@@H](O)[C@@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000104869937,consensus,0.3684210526315789,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000085994845,consensus,0.3684210526315789,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C(CO)[C@@H](O)[C@@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000085550138,consensus,0.3684210526315789,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C(COP(=O)([O-])[O-])[C@H](O)[C@@H](O)[C@@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000012502214,consensus,0.3684210526315789,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C(CO)[C@H](O)[C@H](O)[C@@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000100065511,consensus,0.3684210526315789,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C(CO)[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000100085043,consensus,0.3684210526315789,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C(CO)[C@@H](O)[C@@H](O)[C@@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000003869782,consensus,0.3684210526315789,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000100030012,consensus,0.3684210526315789,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,CC(=O)[C@H](C)OC(=O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC001205243080,consensus,0.358974358974359,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,CC(=O)[C@@H](C)OC(=O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC001205243081,consensus,0.358974358974359,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=P([O-])([O-])OC[C@H](O)[C@H](O)CO,ZINC15 : ZINC000005975509,consensus,0.35294117647058826,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,CCOC(OCC)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000002384698,consensus,0.35135135135135137,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,CCOC(OCC)[C@@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000004521532,consensus,0.35135135135135137,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C([O-])C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000004887586,consensus,0.34210526315789475,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C([O-])C[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000004887587,consensus,0.34210526315789475,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C([O-])C[C@@H](O)[C@@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000004887589,consensus,0.34210526315789475,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C([O-])C[C@H](O)[C@@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000004887588,consensus,0.34210526315789475,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,CC(C)C(O)CONC(=O)[C@@H](O)C(C)C,ENAMINE-REAL : Z6095052172,consensus,0.3333333333333333,enamine-real
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=P([O-])([O-])OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,ZINC15 : ZINC000002516111,consensus,0.3333333333333333,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=P([O-])([O-])OC[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO,ZINC15 : ZINC000002522704,consensus,0.3333333333333333,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=P([O-])([O-])OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,ZINC15 : ZINC000003869812,consensus,0.3333333333333333,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,CC(C)C(O)CONC(=O)[C@H](O)C(C)C,ENAMINE-REAL : Z6095052002,consensus,0.3333333333333333,enamine-real
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C[C@@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000001532601,consensus,0.3333333333333333,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C[C@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000032786787,consensus,0.3333333333333333,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,CC(=O)OCCOC(=O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC001224579180,consensus,0.325,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,CC(C)C(O)CONC(=O)[C@@H](O)[C@@H](C)O,ENAMINE-REAL : Z6095060486,consensus,0.32432432432432434,enamine-real
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=CC[C@@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000004543673,consensus,0.32432432432432434,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=CC[C@@H](O)[C@@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000004543677,consensus,0.32432432432432434,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=CC[C@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000002522549,consensus,0.32432432432432434,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=CC[C@H](O)[C@@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000004543675,consensus,0.32432432432432434,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,CC(C)(C)C(O)CONC(=O)C(O)P(C)(C)=O,ENAMINE-REAL : Z4221547941,consensus,0.3170731707317073,enamine-real
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C[C@H](O)[C@H](O)[C@@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000008551307,consensus,0.3157894736842105,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000022116391,consensus,0.3157894736842105,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C[C@@H](O)[C@@H](O)[C@@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000003869426,consensus,0.3157894736842105,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C[C@H](O)[C@@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000001530556,consensus,0.3157894736842105,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C[C@H](O)[C@@H](O)[C@@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000008551308,consensus,0.3157894736842105,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000003606137,consensus,0.3157894736842105,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C([O-])[C@@H](O)COP(=O)([O-])[O-],ZINC15 : 3869933,consensus,0.3142857142857143,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,O=C([O-])[C@H](O)COP(=O)([O-])[O-],ZINC15 : 3869934,consensus,0.3142857142857143,zinc15
CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,AJPADPZSRRUGHI-RFZPGFLSSA-N,CC(C)=CCOC(=O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC001205026439,consensus,0.30952380952380953,zinc15
