query_smiles,query_inchikey,smiles,identifier,search_type,score,database
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](F)C=O,AOYNUTHNTBLRMT-SLPGGIOYSA-N,O=C[C@H](F)[C@@H](O)[C@@H](O)[C@H](O)CO,ZINC15 : 2555182,consensus,1.0,zinc15
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](F)C=O,AOYNUTHNTBLRMT-SLPGGIOYSA-N,O=C[C@@H](F)[C@@H](O)[C@@H](O)[C@H](O)CO,ZINC15 : 5131969,consensus,1.0,zinc15
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](F)C=O,AOYNUTHNTBLRMT-SLPGGIOYSA-N,O=C[C@@H](F)[C@@H](O)[C@@H](O)[C@@H](O)CO,ZINC15 : 34132564,consensus,1.0,zinc15
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](F)C=O,AOYNUTHNTBLRMT-SLPGGIOYSA-N,O=C[C@H](F)[C@@H](O)[C@H](O)[C@H](O)CO,ZINC15 : 1846431,consensus,1.0,zinc15
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](F)C=O,AOYNUTHNTBLRMT-SLPGGIOYSA-N,O=C[C@@H](F)[C@H](O)[C@@H](O)[C@@H](O)CO,ZINC15 : 238712962,consensus,1.0,zinc15
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](F)C=O,AOYNUTHNTBLRMT-SLPGGIOYSA-N,O=C[C@@H](F)[C@@H](O)[C@H](O)[C@@H](O)CO,ZINC15 : 34132565,consensus,1.0,zinc15
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](F)C=O,AOYNUTHNTBLRMT-SLPGGIOYSA-N,O=C[C@@H](F)[C@@H](O)[C@H](O)[C@H](O)CO,ZINC15 : 34132567,consensus,1.0,zinc15
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](F)C=O,AOYNUTHNTBLRMT-SLPGGIOYSA-N,O=C[C@@H](F)[C@H](O)[C@H](O)CO,ZINC15 : 13539308,consensus,0.8636363636363636,zinc15
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](F)C=O,AOYNUTHNTBLRMT-SLPGGIOYSA-N,O=C[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO,ZINC15 : 100005172,consensus,0.6,zinc15
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](F)C=O,AOYNUTHNTBLRMT-SLPGGIOYSA-N,O=C[C@H](O)[C@H](O)[C@@H](O)[C@H](O)CO,ZINC15 : 100031338,consensus,0.6,zinc15
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](F)C=O,AOYNUTHNTBLRMT-SLPGGIOYSA-N,O=C[C@@H](O)[C@H](O)[C@H](O)[C@H](O)CO,ZINC15 : 3640980,consensus,0.6,zinc15
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](F)C=O,AOYNUTHNTBLRMT-SLPGGIOYSA-N,O=CC(O)C(O)C(O)[C@@H](O)CO,ZINC15 : 1560410136,consensus,0.6,zinc15
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](F)C=O,AOYNUTHNTBLRMT-SLPGGIOYSA-N,O=C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,ZINC15 : 2556396,consensus,0.6,zinc15
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](F)C=O,AOYNUTHNTBLRMT-SLPGGIOYSA-N,O=C[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO,ZINC15 : 100021546,consensus,0.6,zinc15
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](F)C=O,AOYNUTHNTBLRMT-SLPGGIOYSA-N,O=C[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)CO,ZINC15 : 100068109,consensus,0.6,zinc15
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](F)C=O,AOYNUTHNTBLRMT-SLPGGIOYSA-N,O=C[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,ZINC15 : 84394823,consensus,0.6,zinc15
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](F)C=O,AOYNUTHNTBLRMT-SLPGGIOYSA-N,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,ZINC15 : 100008403,consensus,0.6,zinc15
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](F)C=O,AOYNUTHNTBLRMT-SLPGGIOYSA-N,O=C[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO,ZINC15 : 2508226,consensus,0.6,zinc15
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](F)C=O,AOYNUTHNTBLRMT-SLPGGIOYSA-N,O=C[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO,ZINC15 : 95929249,consensus,0.6,zinc15
