query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@@H]1O[C@H](n2ccc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,ZINC15 : ZINC000033951773,consensus,1.0,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@@H]1O[C@H](n2ccc(=O)[nH]c2=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,ZINC15 : ZINC000014825926,consensus,1.0,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,ZINC15 : ZINC000004011870,consensus,1.0,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@@H]1O[C@H](n2ccc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,ZINC15 : ZINC000033951772,consensus,1.0,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,ZINC15 : ZINC000001319228,consensus,1.0,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,ZINC15 : ZINC000004011869,consensus,1.0,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,ZINC15 : ZINC000095829741,consensus,1.0,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@@H]1O[C@H](n2ccc(=O)[nH]c2=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,ZINC15 : ZINC000000598966,consensus,1.0,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,ZINC15 : ZINC000004011871,consensus,1.0,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,ZINC15 : ZINC000003843198,consensus,1.0,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,ZINC15 : ZINC000019924448,consensus,1.0,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@@H]1O[C@H](n2ccc(=O)[nH]c2=S)[C@H](OC(C)=O)[C@@H]1OC(C)=O,ZINC15 : ZINC000102987254,consensus,0.8163265306122449,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@@H]1O[C@@H](n2ccc(=S)[nH]c2=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,ZINC15 : ZINC000004877473,consensus,0.8163265306122449,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@H]1O[C@@H](n2ccc(=S)[nH]c2=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,ZINC15 : ZINC000004877471,consensus,0.8163265306122449,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@H]1O[C@@H](n2ccc(=S)[nH]c2=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,ZINC15 : ZINC000004877477,consensus,0.8163265306122449,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=S)[C@H](OC(C)=O)[C@@H]1OC(C)=O,ZINC15 : ZINC000004004391,consensus,0.8163265306122449,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=S)[C@H](OC(C)=O)[C@H]1OC(C)=O,ZINC15 : ZINC000004004388,consensus,0.8163265306122449,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@@H]1O[C@@H](n2ccc(=S)[nH]c2=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,ZINC15 : ZINC000004877481,consensus,0.8163265306122449,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=S)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,ZINC15 : ZINC000012364555,consensus,0.8163265306122449,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@@H]1O[C@H](n2ccc(=O)[nH]c2=S)[C@H](OC(C)=O)[C@H]1OC(C)=O,ZINC15 : ZINC000102987248,consensus,0.8163265306122449,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@@H]1O[C@H](n2ccc(=O)[nH]c2=S)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,ZINC15 : ZINC000014766422,consensus,0.8163265306122449,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=S)[C@@H](OC(C)=O)[C@H]1OC(C)=O,ZINC15 : ZINC000012364551,consensus,0.8163265306122449,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](F)[C@@H]1OC(C)=O,ZINC15 : ZINC000054967696,consensus,0.8163265306122449,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@@H]1O[C@H](n2ccc(=O)[nH]c2=S)[C@@H](OC(C)=O)[C@H]1OC(C)=O,ZINC15 : ZINC000102987251,consensus,0.8163265306122449,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@@H]1O[C@H](n2ccc(=O)[nH]c2=O)[C@@H](O)[C@@H]1O,ZINC15 : ZINC000013150474,consensus,0.7346938775510204,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@@H]1O[C@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@H]1O,ZINC15 : ZINC000205014473,consensus,0.7346938775510204,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@@H]1O[C@H](n2ccc(=O)[nH]c2=O)[C@@H](O)[C@H]1O,ZINC15 : ZINC000205014459,consensus,0.7346938775510204,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@@H]1O[C@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O,ZINC15 : ZINC000100935907,consensus,0.7346938775510204,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@@H]([N-]C(=O)C(F)(F)F)[C@@H](OC(C)=O)[C@H]1OC(C)=O,ZINC15 : ZINC000004963042,consensus,0.7321428571428571,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@@H]([N-]C(=O)C(F)(F)F)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,ZINC15 : ZINC000004963044,consensus,0.7321428571428571,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@@H]([N-]C(=O)C(F)(F)F)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,ZINC15 : ZINC000004963046,consensus,0.7321428571428571,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@@H]([N-]C(=O)C(F)(F)F)[C@@H](OC(C)=O)[C@H]1OC(C)=O,ZINC15 : ZINC000004963040,consensus,0.7321428571428571,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@@H](NC(=O)C(F)(F)F)[C@@H](OC(C)=O)[C@H]1OC(C)=O,ZINC15 : ZINC000004963042,consensus,0.7192982456140351,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@@H](NC(=O)C(F)(F)F)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,ZINC15 : ZINC000004963046,consensus,0.7192982456140351,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@@H](NC(=O)C(F)(F)F)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,ZINC15 : ZINC000004963044,consensus,0.7192982456140351,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@@H](NC(=O)C(F)(F)F)[C@@H](OC(C)=O)[C@H]1OC(C)=O,ZINC15 : ZINC000004963040,consensus,0.7192982456140351,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@@H]1O[C@H](n2cc(F)c(=O)[nH]c2=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,ZINC15 : ZINC000000973119,consensus,0.6792452830188679,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@@H]1O[C@H](n2cc(Br)c(=O)[nH]c2=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,ZINC15 : ZINC000255993300,consensus,0.6792452830188679,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@H]1O[C@@H](n2cc(Br)c(=O)[nH]c2=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,ZINC15 : ZINC000013361607,consensus,0.6792452830188679,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@@H]1O[C@H](n2cc(Br)c(=O)[nH]c2=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,ZINC15 : ZINC000002244197,consensus,0.6792452830188679,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@@H]1O[C@@H](n2cc(Br)c(=O)[nH]c2=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,ZINC15 : ZINC000027519906,consensus,0.6792452830188679,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@H]1O[C@@H](n2cc(Br)c(=O)[nH]c2=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,ZINC15 : ZINC000027519908,consensus,0.6792452830188679,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@H]1O[C@@H](n2cc(N)c(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,ZINC15 : ZINC000514264994,consensus,0.6792452830188679,zinc15
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O,AUFUWRKPQLGTGF-FMKGYKFTSA-N,CC(=O)OC[C@@H]1O[C@H](n2cc(C)c(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,ZINC15 : ZINC000105338363,consensus,0.6792452830188679,zinc15
