query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[Fe+4].[H]\C(=N/C1=C(C=C(C=C1)C(O)=O)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],AYPNHSRYHHHKFU-HPUGBGFMSA-L,O=C(c1ccccc1)c1ccc(/N=C/c2ccccc2[O-])c(/N=C/c2ccccc2O)c1,ZINC15 : ZINC000068602862,consensus,0.6818181818181818,zinc15
[Fe+4].[H]\C(=N/C1=C(C=C(C=C1)C(O)=O)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],AYPNHSRYHHHKFU-HPUGBGFMSA-L,O=C(c1ccccc1)c1ccc(/N=C/c2ccccc2O)c(/N=C/c2ccccc2O)c1,ZINC15 : ZINC000068602862,consensus,0.5681818181818182,zinc15
[Fe+4].[H]\C(=N/C1=C(C=C(C=C1)C(O)=O)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],AYPNHSRYHHHKFU-HPUGBGFMSA-L,N#Cc1ccccc1N=Cc1ccccc1[O-],ZINC15 : ZINC000252460785,consensus,0.45454545454545453,zinc15
[Fe+4].[H]\C(=N/C1=C(C=C(C=C1)C(O)=O)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],AYPNHSRYHHHKFU-HPUGBGFMSA-L,N#Cc1ccccc1/N=C/c1ccccc1[O-],ZINC15 : ZINC000000046397,consensus,0.45454545454545453,zinc15
[Fe+4].[H]\C(=N/C1=C(C=C(C=C1)C(O)=O)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],AYPNHSRYHHHKFU-HPUGBGFMSA-L,Cc1cc(C(=O)[O-])ccc1/N=C/c1ccccc1I,ZINC15 : ZINC000408551589,consensus,0.4489795918367347,zinc15
[Fe+4].[H]\C(=N/C1=C(C=C(C=C1)C(O)=O)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],AYPNHSRYHHHKFU-HPUGBGFMSA-L,Cc1ccc(C(=O)[O-])cc1/N=C\c1ccccc1I,ZINC15 : ZINC000408551244,consensus,0.44,zinc15
[Fe+4].[H]\C(=N/C1=C(C=C(C=C1)C(O)=O)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],AYPNHSRYHHHKFU-HPUGBGFMSA-L,O=C([O-])c1ccc(Cl)c(/N=C/c2ccccc2I)c1,ZINC15 : ZINC000408550255,consensus,0.44,zinc15
[Fe+4].[H]\C(=N/C1=C(C=C(C=C1)C(O)=O)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],AYPNHSRYHHHKFU-HPUGBGFMSA-L,O=C([O-])c1ccc(/N=C/c2ccccn2)c(/N=C/c2ccccn2)c1,ZINC15 : ZINC000020096649,consensus,0.4375,zinc15
[Fe+4].[H]\C(=N/C1=C(C=C(C=C1)C(O)=O)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],AYPNHSRYHHHKFU-HPUGBGFMSA-L,O=[N+]([O-])c1ccc([O-])c(/C=N/c2ccccc2/N=C/c2cc([N+](=O)[O-])ccc2[O-])c1,ZINC15 : ZINC000003122907,consensus,0.41304347826086957,zinc15
[Fe+4].[H]\C(=N/C1=C(C=C(C=C1)C(O)=O)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],AYPNHSRYHHHKFU-HPUGBGFMSA-L,O=C([O-])c1ccc(/N=C/c2ccc(Cl)cc2)c(/N=C/c2ccc(Cl)cc2)c1,ZINC15 : ZINC000020096627,consensus,0.40425531914893614,zinc15
[Fe+4].[H]\C(=N/C1=C(C=C(C=C1)C(O)=O)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],AYPNHSRYHHHKFU-HPUGBGFMSA-L,O=C(c1ccccc1)c1cc(Br)ccc1/N=C/c1ccccc1O,ZINC15 : ZINC000001470839,consensus,0.40384615384615385,zinc15
[Fe+4].[H]\C(=N/C1=C(C=C(C=C1)C(O)=O)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],AYPNHSRYHHHKFU-HPUGBGFMSA-L,Cc1cc(C(=O)[O-])ccc1/N=C/c1cccc([N+](=O)[O-])c1[O-],ZINC15 : ZINC000003001685,consensus,0.4,zinc15
[Fe+4].[H]\C(=N/C1=C(C=C(C=C1)C(O)=O)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],AYPNHSRYHHHKFU-HPUGBGFMSA-L,Oc1ccccc1/C=N/c1ccccc1/N=C\c1ccccc1O,ZINC15 : ZINC000018177227,consensus,0.4,zinc15
[Fe+4].[H]\C(=N/C1=C(C=C(C=C1)C(O)=O)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],AYPNHSRYHHHKFU-HPUGBGFMSA-L,Cc1ccc(C(=O)[O-])cc1/N=C/c1cc([N+](=O)[O-])ccc1[O-],ZINC15 : ZINC000409090419,consensus,0.4,zinc15
[Fe+4].[H]\C(=N/C1=C(C=C(C=C1)C(O)=O)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],AYPNHSRYHHHKFU-HPUGBGFMSA-L,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,ZINC15 : ZINC000018177229,consensus,0.4,zinc15
[Fe+4].[H]\C(=N/C1=C(C=C(C=C1)C(O)=O)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],AYPNHSRYHHHKFU-HPUGBGFMSA-L,Oc1ccccc1/C=N\c1ccccc1/N=C\c1ccccc1O,ZINC15 : ZINC000100015840,consensus,0.4,zinc15
[Fe+4].[H]\C(=N/C1=C(C=C(C=C1)C(O)=O)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],AYPNHSRYHHHKFU-HPUGBGFMSA-L,O=C([O-])c1ccccc1/N=C/c1cc([N+](=O)[O-])ccc1[O-],ZINC15 : ZINC000012375393,consensus,0.39622641509433965,zinc15
[Fe+4].[H]\C(=N/C1=C(C=C(C=C1)C(O)=O)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],AYPNHSRYHHHKFU-HPUGBGFMSA-L,[O-]c1ccc(Cl)cc1/C=N/c1ccccc1/N=C/c1cc(Cl)ccc1O,ZINC15 : ZINC000104212209,consensus,0.3958333333333333,zinc15
[Fe+4].[H]\C(=N/C1=C(C=C(C=C1)C(O)=O)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],AYPNHSRYHHHKFU-HPUGBGFMSA-L,[O-]c1cc(Cl)ccc1/N=C\c1ccccc1I,ZINC15 : ZINC000408550414,consensus,0.3958333333333333,zinc15
[Fe+4].[H]\C(=N/C1=C(C=C(C=C1)C(O)=O)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],AYPNHSRYHHHKFU-HPUGBGFMSA-L,Cc1ccc(C(=O)[O-])cc1/N=C\c1cccc([N+](=O)[O-])c1[O-],ZINC15 : ZINC000409098143,consensus,0.39285714285714285,zinc15
[Fe+4].[H]\C(=N/C1=C(C=C(C=C1)C(O)=O)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],AYPNHSRYHHHKFU-HPUGBGFMSA-L,NC(=O)c1ccccc1/N=C/c1cc([N+](=O)[O-])ccc1[O-],ZINC15 : ZINC000002131460,consensus,0.3888888888888889,zinc15
[Fe+4].[H]\C(=N/C1=C(C=C(C=C1)C(O)=O)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],AYPNHSRYHHHKFU-HPUGBGFMSA-L,NC(=O)c1ccccc1N=Cc1cc([N+](=O)[O-])ccc1[O-],ZINC15 : ZINC000252460211,consensus,0.3888888888888889,zinc15
[Fe+4].[H]\C(=N/C1=C(C=C(C=C1)C(O)=O)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],AYPNHSRYHHHKFU-HPUGBGFMSA-L,O=C([O-])c1ccc(/N=C\c2ccccc2O)cc1,ZINC15 : ZINC000004530083,consensus,0.3829787234042553,zinc15
[Fe+4].[H]\C(=N/C1=C(C=C(C=C1)C(O)=O)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],AYPNHSRYHHHKFU-HPUGBGFMSA-L,O=C([O-])c1ccccc1/N=C\c1ccccc1O,ZINC15 : ZINC000006665898,consensus,0.3829787234042553,zinc15
[Fe+4].[H]\C(=N/C1=C(C=C(C=C1)C(O)=O)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],AYPNHSRYHHHKFU-HPUGBGFMSA-L,O=C([O-])c1ccc(/N=C/c2ccccc2O)cc1,ZINC15 : ZINC000013940414,consensus,0.3829787234042553,zinc15
