query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc([C@H]2CCCN(C(=O)CC3C(=O)N=CNC3=O)C2)nn1,ZINC15 : ZINC001412797728,consensus,0.32857142857142857,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc([C@@H]2CCCN(C(=O)CC3C(=O)N=CNC3=O)C2)nn1,ZINC15 : ZINC001412797725,consensus,0.32857142857142857,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,CC1=C(C(=O)[O-])[C@H](c2cn(C)nn2)NC(=O)N1,ZINC15 : ZINC000736752870,consensus,0.32786885245901637,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,CC1=C(C(=O)[O-])[C@@H](c2cn(C)nn2)NC(=O)N1,ZINC15 : ZINC000736752868,consensus,0.32786885245901637,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,COC(=O)C1C(=CC(=O)[O-])NC(=S)N[C@@H]1c1cn(C)nn1,ZINC15 : ZINC000737579019,consensus,0.3235294117647059,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,COC(=O)C1C(=CC(=O)[O-])NC(=S)N[C@H]1c1cn(C)nn1,ZINC15 : ZINC000737579026,consensus,0.3235294117647059,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,CC1=C(C(=O)[O-])[C@@H](c2cn(C)nn2)NC(=S)N1,ZINC15 : ZINC000736750702,consensus,0.3225806451612903,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,CC1=C(C(=O)[O-])[C@H](c2cn(C)nn2)NC(=S)N1,ZINC15 : ZINC000736750705,consensus,0.3225806451612903,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc([C@H]2NC(=S)NC(C(=O)[O-])=C2C(=O)c2ccccc2)nn1,ZINC15 : ZINC000738407124,consensus,0.30434782608695654,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc([C@@H]2NC(=S)NC(C(=O)[O-])=C2C(=O)c2ccccc2)nn1,ZINC15 : ZINC000738407125,consensus,0.30434782608695654,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,CCCC1=C(C(=O)[O-])[C@H](c2cn(C)nn2)NC(=S)N1,ZINC15 : ZINC000736975687,consensus,0.29850746268656714,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc([C@@H]2NC(=S)NC(C(=O)[O-])=C2C(=O)C2CC2)nn1,ZINC15 : ZINC000738405819,consensus,0.29850746268656714,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc([C@H]2NC(=S)NC(C(=O)[O-])=C2C(=O)C2CC2)nn1,ZINC15 : ZINC000738405815,consensus,0.29850746268656714,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,CCCC1=C(C(=O)[O-])[C@@H](c2cn(C)nn2)NC(=S)N1,ZINC15 : ZINC000736975686,consensus,0.29850746268656714,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,C=CCOC(=O)C1C(C)=NC(=S)N[C@@H]1c1cn(C)nn1,ZINC15 : ZINC000741648076,consensus,0.29577464788732394,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,C=CCOC(=O)C1C(C)=NC(=S)N[C@H]1c1cn(C)nn1,ZINC15 : ZINC000741648075,consensus,0.29577464788732394,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,COC(=O)CC1=NC(=S)N[C@H](c2cn(C)nn2)C1C(=O)OC,ZINC15 : ZINC000741651228,consensus,0.2857142857142857,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,COC(=O)CC1=NC(=S)N[C@@H](c2cn(C)nn2)C1C(=O)OC,ZINC15 : ZINC000741651226,consensus,0.2857142857142857,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc([C@@H]2NC(=S)NC(C(=O)[O-])=C2C(=O)c2ccncc2)nn1,ZINC15 : ZINC000739027527,consensus,0.28169014084507044,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,CN1C=C(C=CC(=O)N2C(C(=O)O)CSC2C2=CC=CC=C2)N=N1,ENAMINE-REAL : Z4573754306,consensus,0.28169014084507044,enamine-real
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc([C@H]2NC(=S)NC(C(=O)[O-])=C2C(=O)c2ccncc2)nn1,ZINC15 : ZINC000739027528,consensus,0.28169014084507044,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,C[C@H](NC(=O)C1=CSC=C1C(=O)O)C1=CN(C)N=N1,ENAMINE-REAL : PV-008064572063,consensus,0.28125,enamine-real
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,C[C@@H](NC(=O)C1=CSC=C1C(=O)O)C1=CN(C)N=N1,ENAMINE-REAL : PV-008064572064,consensus,0.28125,enamine-real
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc([C@@H]2NC(C)(C)C(=O)N2CC(C)(C)C)nn1,ZINC15 : ZINC000333906240,consensus,0.28125,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,CC(NC(=O)C1=CSC=C1C(=O)O)C1=CN(C)N=N1,ENAMINE-REAL : Z3388481767,consensus,0.28125,enamine-real
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc([C@H]2NC(C)(C)C(=O)N2CC(C)(C)C)nn1,ZINC15 : ZINC000333906239,consensus,0.28125,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc([C@@H]2NC(=S)NC(C(=O)[O-])=C2C(=O)c2ccc(Cl)cc2)nn1,ZINC15 : ZINC000738407245,consensus,0.2777777777777778,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc([C@@H]2NC(=S)NC(C(=O)[O-])=C2C(=O)c2ccc(F)cc2)nn1,ZINC15 : ZINC000739026165,consensus,0.2777777777777778,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc([C@H]2NC(=S)NC(C(=O)[O-])=C2C(=O)c2ccc(F)cc2)nn1,ZINC15 : ZINC000739026160,consensus,0.2777777777777778,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc([C@H]2NC(=S)NC(C(=O)[O-])=C2C(=O)c2ccc(Cl)cc2)nn1,ZINC15 : ZINC000738407240,consensus,0.2777777777777778,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,C[C@@H]1CCN2[C@H](c3cn(C)nn3)NC(=O)[C@@H]2C1,ZINC15 : ZINC000548290978,consensus,0.27692307692307694,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(C[NH2+]C/C=C\CNC(=O)CC2OCCCO2)nn1,ZINC15 : ZINC001483003288,consensus,0.273972602739726,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc([C@H]2NC(=S)NC(C(=O)[O-])=C2C(=O)c2ccco2)nn1,ZINC15 : ZINC000739026863,consensus,0.2702702702702703,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc([C@@H]2NC(=S)NC(C(=O)[O-])=C2C(=O)c2ccco2)nn1,ZINC15 : ZINC000739026864,consensus,0.2702702702702703,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cnc([C@@H]2CN(C(=O)C=C3CCC3)C[C@H]2NCc2cn(C)nn2)c1,ZINC15 : ZINC001070481901,consensus,0.2692307692307692,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(CNC/C=C\CNC(=O)C2C=CC=CC=C2)nn1,ZINC15 : ZINC001321078084,consensus,0.2647058823529412,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(C[NH2+]C/C=C\CNC(=O)C[C@H]2CCCO2)nn1,ZINC15 : ZINC001273872471,consensus,0.2631578947368421,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(CNC(=O)[C@@H]2CSC(c3ccccc3)=N2)nn1,ZINC15 : ZINC000907308706,consensus,0.2571428571428571,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(CNC/C=C\CNC(=O)C2CCC(O)CC2)nn1,ZINC15 : ZINC001732844891,consensus,0.2571428571428571,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(C[NH2+]CCN(CCO)C(=O)C2C=CC=CC=C2)nn1,ZINC15 : ZINC001672623016,consensus,0.2571428571428571,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(CNC/C=C\CNC(=O)[C@]2(C)CCNC2=O)nn1,ZINC15 : ZINC001568917220,consensus,0.25675675675675674,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(CNC/C=C\CNC(=O)[C@@]2(C)CCNC2=O)nn1,ZINC15 : ZINC001568917222,consensus,0.25675675675675674,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,CN1C=C(C=CC(=O)N2C(C(=O)O)CSC2C2=CC=C(F)C=C2F)N=N1,ENAMINE-REAL : Z4575377324,consensus,0.2564102564102564,enamine-real
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(/C=C2/CSC/C(=C/c3cn(C)nn3)C2=O)nn1,ZINC15 : ZINC000741471171,consensus,0.2542372881355932,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(/C=C2\CSC/C(=C\c3cn(C)nn3)C2=O)nn1,ZINC15 : ZINC000741471169,consensus,0.2542372881355932,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(/C=C2/CSC/C(=C\c3cn(C)nn3)C2=O)nn1,ZINC15 : ZINC000741471168,consensus,0.2542372881355932,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(/C=C2\CN(C(=O)[O-])C/C(=C\c3cn(C)nn3)C2=O)nn1,ZINC15 : ZINC000738406407,consensus,0.25396825396825395,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(CNC/C=C\CNC(=O)C2CC3(CC3)C2)nn1,ZINC15 : ZINC001268591022,consensus,0.2535211267605634,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(C[NH2+]C/C=C\CNC(=O)C2C=CC=CC=C2)nn1,ZINC15 : ZINC001321078084,consensus,0.2535211267605634,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(C[NH2+]C/C=C\CNC(=O)C2=COCCO2)nn1,ZINC15 : ZINC001268509103,consensus,0.25333333333333335,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cnc([C@@H]2CN(C(=O)/C=C\C(C)(C)C)C[C@H]2NCc2cn(C)nn2)c1,ZINC15 : ZINC001130541275,consensus,0.25316455696202533,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc([C@@H]2C[C@H]2C(=O)NCc2cn(C)nn2)cn1,ZINC15 : ZINC001164586934,consensus,0.25,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(CNC(=O)[C@H]2CC(c3ccccc3)=NO2)nn1,ZINC15 : ZINC000783539204,consensus,0.25,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(CNC(=O)C2=C(c3ccccc3)SCCO2)nn1,ZINC15 : ZINC000821838062,consensus,0.25,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(CNC(=O)C2=NO[C@H](c3ccccc3)C2)nn1,ZINC15 : ZINC000783450597,consensus,0.25,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(C[NH2+]C/C=C\CNC(=O)C=C2CCC2)nn1,ZINC15 : ZINC001321013421,consensus,0.25,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(CNC(=O)C2=NO[C@@H](c3ccccc3)C2)nn1,ZINC15 : ZINC000783450595,consensus,0.25,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,CN(Cc1cn(C)nn1)C(=O)[C@@H]1CSC(c2ccccc2)=N1,ZINC15 : ZINC000912511541,consensus,0.25,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,C=CCn1c(-c2cn(C)nn2)nnc1N1C[C@@H](C(=O)[O-])[C@@H](c2ccccc2)C1,ZINC15 : ZINC001588889746,consensus,0.25,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(C[NH2+]C/C=C\CNC(=O)[C@H]2CCC(=O)N2)nn1,ZINC15 : ZINC001482987266,consensus,0.25,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(CNC(=O)[C@@H]2CC(c3ccccc3)=NO2)nn1,ZINC15 : ZINC000783539205,consensus,0.25,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(C[NH2+]C/C=C\CNC(=O)[C@H]2CCCOCC2)nn1,ZINC15 : ZINC001483002368,consensus,0.24675324675324675,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(C[NH2+]C/C=C\CNC(=O)[C@@H]2CCC[C@@H]3C[C@@H]32)nn1,ZINC15 : ZINC001274143153,consensus,0.24675324675324675,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(C[NH2+]C/C=C\CNC(=O)[C@@H]2CCCOCC2)nn1,ZINC15 : ZINC001483002366,consensus,0.24675324675324675,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(C[NH2+]C/C=C\CNC(=O)C2CCC(O)CC2)nn1,ZINC15 : ZINC001732844891,consensus,0.2465753424657534,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,C=CCCCCN1C=C(C2=CN(C)N=C2C(=O)O)N=N1,ENAMINE-REAL : Z4378803028,consensus,0.2463768115942029,enamine-real
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(C[NH2+]C/C=C\CNC(=O)[C@@H]2CCC(=O)NC2)nn1,ZINC15 : ZINC001497622289,consensus,0.24358974358974358,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(CNC/C=C\CNC(=O)[C@]23CCC[C@H]2OCC3)nn1,ZINC15 : ZINC001732875598,consensus,0.24358974358974358,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(C[NH2+]C/C=C\CNC(=O)[C@H]2CCC(=O)NC2)nn1,ZINC15 : ZINC001497622290,consensus,0.24358974358974358,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc(C[NH2+]C/C=C\CNC(=O)[C@@H]2CCO[C@H]2C2CC2)nn1,ZINC15 : ZINC001668951317,consensus,0.24358974358974358,zinc15
[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1,BCPHJDLBOJMWOD-VIFPVBQESA-N,Cn1cc([C@@H]2CN(C(=O)C=C3CCC3)C[C@H]2NCc2cn(C)nn2)cn1,ZINC15 : ZINC001086974906,consensus,0.24358974358974358,zinc15
