query_smiles,query_inchikey,smiles,identifier,search_type,score,database
COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1Br,BFCRRLMMHNLSCP-UHFFFAOYSA-N,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,ZINC15 : ZINC000006627681,morgan,0.7692307692307693,zinc15
COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1Br,BFCRRLMMHNLSCP-UHFFFAOYSA-N,COc1cc(Cc2cnc(N)nc2N)cc(Br)c1OC,ZINC15 : ZINC000033494315,morgan,0.7619047619047619,zinc15
COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1Br,BFCRRLMMHNLSCP-UHFFFAOYSA-N,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1O,ZINC15 : ZINC000013760474,morgan,0.75,zinc15
COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1Br,BFCRRLMMHNLSCP-UHFFFAOYSA-N,COc1ccc(Cc2cnc(N)nc2N)cc1OC,ZINC15 : ZINC000000024946,morgan,0.7073170731707317,zinc15
COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1Br,BFCRRLMMHNLSCP-UHFFFAOYSA-N,COc1cc(OC)c(OC)cc1Cc1cnc(N)nc1N,ZINC15 : ZINC000021992500,morgan,0.675,zinc15
COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1Br,BFCRRLMMHNLSCP-UHFFFAOYSA-N,COc1cc(C)c(Cc2cnc(N)nc2N)cc1OC,ZINC15 : ZINC000000000562,morgan,0.6428571428571429,zinc15
COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1Br,BFCRRLMMHNLSCP-UHFFFAOYSA-N,COc1cc(Cc2cnc(N)nc2N)c(C(C)C)cc1OC,ZINC15 : ZINC000013984253,morgan,0.6,zinc15
COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1Br,BFCRRLMMHNLSCP-UHFFFAOYSA-N,COc1cc(CNCc2cnc(N)nc2N)ccc1C,ZINC15 : ZINC000638434678,morgan,0.52,zinc15
COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1Br,BFCRRLMMHNLSCP-UHFFFAOYSA-N,COc1cc(Cc2cnc(N)nc2C)cc(OC)c1,ZINC15 : ZINC001250300181,morgan,0.5111111111111111,zinc15
COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1Br,BFCRRLMMHNLSCP-UHFFFAOYSA-N,COc1cc(C)c(CN(C)Cc2cnc(N)nc2N)cc1OC,ZINC15 : ZINC000637873486,morgan,0.4897959183673469,zinc15
COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1Br,BFCRRLMMHNLSCP-UHFFFAOYSA-N,COc1cc(C)c(C[N@H+](C)Cc2cnc(N)nc2N)cc1OC,ZINC15 : ZINC000637873486,morgan,0.4897959183673469,zinc15
COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1Br,BFCRRLMMHNLSCP-UHFFFAOYSA-N,COc1cc(C)c(C[N@@H+](C)Cc2cnc(N)nc2N)cc1OC,ZINC15 : ZINC000637873486,morgan,0.4897959183673469,zinc15
COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1Br,BFCRRLMMHNLSCP-UHFFFAOYSA-N,Nc1ncc(Cc2ccc(Cl)c(Cl)c2)c(N)n1,ZINC15 : ZINC000015444057,morgan,0.4888888888888889,zinc15
COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1Br,BFCRRLMMHNLSCP-UHFFFAOYSA-N,COc1cc(C[N@@H+](C)Cc2cnc(N)nc2N)ccc1SC,ZINC15 : ZINC000637987541,morgan,0.48148148148148145,zinc15
COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1Br,BFCRRLMMHNLSCP-UHFFFAOYSA-N,COc1cc(C[N@H+](C)Cc2cnc(N)nc2N)ccc1SC,ZINC15 : ZINC000637987541,morgan,0.48148148148148145,zinc15
COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1Br,BFCRRLMMHNLSCP-UHFFFAOYSA-N,COc1cc(CN(C)Cc2cnc(N)nc2N)ccc1SC,ZINC15 : ZINC000637987541,morgan,0.48148148148148145,zinc15
COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1Br,BFCRRLMMHNLSCP-UHFFFAOYSA-N,COc1cc(Cc2c[nH+]c(N)nc2N)cc(Br)c1OC,ZINC15 : ZINC000033494315,morgan,0.48,zinc15
COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1Br,BFCRRLMMHNLSCP-UHFFFAOYSA-N,CC(C)COc1ccc(Cc2cnc(N)nc2N)cc1,ZINC15 : ZINC000000175935,morgan,0.4791666666666667,zinc15
COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1Br,BFCRRLMMHNLSCP-UHFFFAOYSA-N,COc1cc(Cc2cnc(N)[nH]c2=O)cc(OC)c1OC,ZINC15 : ZINC000032207804,morgan,0.46938775510204084,zinc15
COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1Br,BFCRRLMMHNLSCP-UHFFFAOYSA-N,COc1cc(Cc2c[nH+]c(N)nc2N)cc(OC)c1OC,ZINC15 : ZINC000006627681,morgan,0.46808510638297873,zinc15
