query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@](O)(CO)[C@@]1([H])O[C@]([H])(O)[C@@]([H])(O)[C@@]([H])(O)[C@]1([H])O,BGWQRWREUZVRGI-QQABCQGCSA-N,OC[C@@H](O)[C@H]1O[C@H](O)[C@@H](O)[C@H]1O,ZINC15 : 34027427,consensus,0.9545454545454546,zinc15
[H][C@](O)(CO)[C@@]1([H])O[C@]([H])(O)[C@@]([H])(O)[C@@]([H])(O)[C@]1([H])O,BGWQRWREUZVRGI-QQABCQGCSA-N,CO[C@H]1O[C@@H]([C@H](O)CO)[C@@H](O)[C@@H](O)[C@@H]1O,ZINC15 : ZINC000004353164,consensus,0.5806451612903226,zinc15
[H][C@](O)(CO)[C@@]1([H])O[C@]([H])(O)[C@@]([H])(O)[C@@]([H])(O)[C@]1([H])O,BGWQRWREUZVRGI-QQABCQGCSA-N,CO[C@@H]1O[C@@H]([C@H](O)CO)[C@@H](O)[C@@H](O)[C@@H]1O,ZINC15 : ZINC000004353165,consensus,0.5806451612903226,zinc15
[H][C@](O)(CO)[C@@]1([H])O[C@]([H])(O)[C@@]([H])(O)[C@@]([H])(O)[C@]1([H])O,BGWQRWREUZVRGI-QQABCQGCSA-N,CO[C@H]1O[C@@H]([C@H](O)CO)[C@@H](O)[C@@H](O)[C@H]1O,ZINC15 : ZINC000004353162,consensus,0.5806451612903226,zinc15
[H][C@](O)(CO)[C@@]1([H])O[C@]([H])(O)[C@@]([H])(O)[C@@]([H])(O)[C@]1([H])O,BGWQRWREUZVRGI-QQABCQGCSA-N,CO[C@@H]1O[C@@H]([C@H](O)CO)[C@@H](O)[C@@H](O)[C@H]1O,ZINC15 : ZINC000004353163,consensus,0.5806451612903226,zinc15
[H][C@](O)(CO)[C@@]1([H])O[C@]([H])(O)[C@@]([H])(O)[C@@]([H])(O)[C@]1([H])O,BGWQRWREUZVRGI-QQABCQGCSA-N,CCO[C@@H]1O[C@@H]([C@H](O)CO)[C@@H](O)[C@@H](O)[C@@H]1O,ZINC15 : ZINC000005339399,consensus,0.5454545454545454,zinc15
[H][C@](O)(CO)[C@@]1([H])O[C@]([H])(O)[C@@]([H])(O)[C@@]([H])(O)[C@]1([H])O,BGWQRWREUZVRGI-QQABCQGCSA-N,CCO[C@@H]1O[C@@H]([C@H](O)CO)[C@@H](O)[C@@H](O)[C@H]1O,ZINC15 : ZINC000005339396,consensus,0.5454545454545454,zinc15
[H][C@](O)(CO)[C@@]1([H])O[C@]([H])(O)[C@@]([H])(O)[C@@]([H])(O)[C@]1([H])O,BGWQRWREUZVRGI-QQABCQGCSA-N,CCO[C@H]1O[C@@H]([C@H](O)CO)[C@@H](O)[C@@H](O)[C@H]1O,ZINC15 : ZINC000005339394,consensus,0.5454545454545454,zinc15
[H][C@](O)(CO)[C@@]1([H])O[C@]([H])(O)[C@@]([H])(O)[C@@]([H])(O)[C@]1([H])O,BGWQRWREUZVRGI-QQABCQGCSA-N,CCO[C@H]1O[C@@H]([C@H](O)CO)[C@@H](O)[C@@H](O)[C@@H]1O,ZINC15 : ZINC000005339397,consensus,0.5454545454545454,zinc15
[H][C@](O)(CO)[C@@]1([H])O[C@]([H])(O)[C@@]([H])(O)[C@@]([H])(O)[C@]1([H])O,BGWQRWREUZVRGI-QQABCQGCSA-N,OC[C@@H](O)[C@@H]1O[C@H](OC2CCCCC2)[C@H](O)[C@H](O)[C@@H]1O,ZINC15 : ZINC000104182616,consensus,0.4864864864864865,zinc15
