query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@@H]1CC[C@@H]2[C@H](C)[C@H](OC(=O)CCC(=O)[O-])O[C@H]3O[C@@]4(C)CC[C@H]1[C@@]23OO4,ZINC15 : ZINC000064608163,consensus,0.5818181818181818,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@@H]1CC[C@H]2[C@@H](C)[C@H](O)O[C@@H]3O[C@]4(C)O[C@@]32[C@H]1C[C@H]4O,ZINC15 : ZINC000077293623,consensus,0.5416666666666666,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](O)O[C@@H]3O[C@]4(C)O[C@@]32[C@H]1C[C@H]4O,ZINC15 : ZINC000077293625,consensus,0.5416666666666666,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,CCO[C@@H]1O[C@@H]2O[C@@]3(C)CC[C@@H]4[C@H](C)CC[C@@H]([C@@H]1C)[C@@]24O3,ZINC15 : ZINC000306146957,consensus,0.5,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32O4,ZINC15 : ZINC000022055629,consensus,0.4230769230769231,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,CC(=O)O[C@H]1O[C@H](O)[C@H](C)[C@@H]2CC[C@@H](C)[C@@H]3CCO[C@@]312,ZINC15 : ZINC000077291676,consensus,0.41509433962264153,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,CC(=O)O[C@H]1O[C@@H](O)[C@H](C)[C@@H]2CC[C@@H](C)[C@@H]3CCO[C@@]312,ZINC15 : ZINC000077291672,consensus,0.41509433962264153,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@H]1C(=O)O[C@]23[C@H]1CC[C@@H](C)[C@@H]2CC[C@@](C)(O)[C@H]3O,ZINC15 : ZINC000096023860,consensus,0.3584905660377358,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C=C1C(=O)O[C@]23[C@@H]4O[C@]4(C)CC[C@H]2[C@H](C)CC[C@H]13,ZINC15 : ZINC000002048935,consensus,0.29310344827586204,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C=C1C(=O)O[C@@]23[C@@H]4O[C@]4(C)CC[C@H]2[C@H](C)CC[C@@H]13,ZINC15 : ZINC000015414614,consensus,0.29310344827586204,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C=C1C(=O)O[C@@]23[C@@H]4O[C@]4(C)CC[C@H]2[C@H](C)CC[C@H]13,ZINC15 : ZINC000015414611,consensus,0.29310344827586204,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C=C1C(=O)O[C@@]23[C@@H]4O[C@]4(C)CC[C@H]2[C@@H](C)CC[C@H]13,ZINC15 : ZINC000254449649,consensus,0.29310344827586204,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C=C1C(=O)O[C@@]23[C@H]4O[C@@]4(C)CC[C@H]2[C@@H](C)CC[C@H]13,ZINC15 : ZINC000254449660,consensus,0.29310344827586204,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C=C1C(=O)O[C@]23[C@@H]4O[C@]4(C)CC[C@H]2[C@H](C)CC[C@@H]13,ZINC15 : ZINC000003982481,consensus,0.29310344827586204,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C=C1CC[C@H]2[C@H](C)CC[C@H]3[C@@H](C)C(=O)O[C@]32[C@@H]1O,ZINC15 : ZINC000096023787,consensus,0.2857142857142857,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@@H]1CC[C@@H](O)[C@]2(C)CC[C@@H]3[C@H]([C@H]12)C3(C)C,ZINC15 : ZINC000004104709,consensus,0.28,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@@H]1CC[C@@H](O)[C@]2(C)CC[C@H]3[C@@H]([C@H]12)C3(C)C,ZINC15 : ZINC000004104708,consensus,0.28,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@@H]1CC[C@]23[C@@H](O)C=C[C@]2(C)CC[C@@H]13,ZINC15 : 71786342,consensus,0.2692307692307692,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@@H]1CC[C@@]23[C@@H](O)C=C[C@]2(C)CC[C@@H]13,ZINC15 : 71786343,consensus,0.2692307692307692,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@@H]1CC[C@H](O)[C@]2(CO)CC[C@@H]3[C@H]([C@@H]12)C3(C)C,ZINC15 : ZINC000013423769,consensus,0.25925925925925924,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@@H]1CC[C@H](O)[C@]2(CO)CC[C@H]3[C@@H]([C@H]12)C3(C)C,ZINC15 : ZINC000004104704,consensus,0.25925925925925924,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@@H]1CC[C@H](O)[C@]2(CO)CC[C@H]3[C@@H]([C@@H]12)C3(C)C,ZINC15 : ZINC000004104705,consensus,0.25925925925925924,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@@H]1CC[C@H](O)[C@]2(CO)CC[C@@H]3[C@H]([C@H]12)C3(C)C,ZINC15 : ZINC000225364289,consensus,0.25925925925925924,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@H]1C[C@H]2[C@@H]3CC[C@H](O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CC[C@@H](O)C[C@H]12,ZINC15 : ZINC000118932136,consensus,0.2545454545454545,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@@H]1C[C@H]2[C@@H]3CC[C@@H](O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CC[C@@H](O)C[C@H]12,ZINC15 : ZINC000118932138,consensus,0.2545454545454545,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@@H]1CCO[C@@H]1CNC1(C)CCC(O)CC1,ENAMINE-REAL : Z3321352713,consensus,0.2545454545454545,enamine-real
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@@H]1C[C@H]2[C@@H]3CC[C@H](O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CC[C@@H](O)C[C@H]12,ZINC15 : ZINC000118932134,consensus,0.2545454545454545,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@H]1C[C@H]2[C@@H]3CC[C@@H](O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CC[C@@H](O)C[C@H]12,ZINC15 : ZINC000118932140,consensus,0.2545454545454545,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,COc1cc2c(cc1OC)[C@H](C)[N@@H+](C[C@H]1C(=O)O[C@]34[C@@H]5O[C@]5(C)CC[C@H]3[C@H](C)CC[C@@H]14)CC2,ZINC15 : ZINC000012866856,consensus,0.23076923076923078,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,COc1cc2c(cc1OC)[C@H](C)[N@@H+](C[C@@H]1C(=O)O[C@]34[C@@H]5O[C@]5(C)CC[C@H]3[C@H](C)CC[C@@H]14)CC2,ZINC15 : ZINC000008918476,consensus,0.23076923076923078,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,COc1cc2c(cc1OC)[C@H](C)[N@H+](C[C@H]1C(=O)O[C@]34[C@@H]5O[C@]5(C)CC[C@H]3[C@H](C)CC[C@@H]14)CC2,ZINC15 : ZINC000012866856,consensus,0.23076923076923078,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,COc1cc2c(cc1OC)[C@H](C)[N@H+](C[C@@H]1C(=O)O[C@]34[C@@H]5O[C@]5(C)CC[C@H]3[C@H](C)CC[C@@H]14)CC2,ZINC15 : ZINC000008918476,consensus,0.23076923076923078,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,CC1(C)CC[C@H]2O[C@@]2(C)[C@@H]1O,ZINC15 : 43762888,consensus,0.22916666666666666,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,CC1(C)CC[C@H](O)[C@@H]2O[C@@H]21,ZINC15 : 44495146,consensus,0.22916666666666666,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@@]12CCC[C@H](O)[C@@H]1O2,ZINC15 : 17124828,consensus,0.22916666666666666,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@@]12CCC[C@@H](O)[C@@H]1O2,ZINC15 : 17124826,consensus,0.22916666666666666,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,CC1(C)CC[C@H](O)[C@H]2O[C@H]21,ZINC15 : 101008642,consensus,0.22916666666666666,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@@]12CC[C@@H]3O[C@@]31[C@@H]1CC[C@H]3CCCC[C@]3(C)[C@H]1CC2,ZINC15 : ZINC000119267366,consensus,0.22807017543859648,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@@]12CC[C@H]3O[C@]31[C@@H]1CC[C@H]3CCCC[C@]3(C)[C@H]1CC2,ZINC15 : ZINC000257345575,consensus,0.22807017543859648,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@@H]1[C@H](O)CCN1C(=O)C1OC(C)(C)OC1(C)C,ENAMINE-REAL : Z5473602579,consensus,0.22413793103448276,enamine-real
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@@H]1[C@@H](O)CCN1C(=O)C1OC(C)(C)OC1(C)C,ENAMINE-REAL : Z5473572988,consensus,0.22413793103448276,enamine-real
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@]1(O)CC[C@@H]2[C@H]3C[C@@H]4O[C@@]45C[C@H](O)CC[C@]5(C)[C@@H]3CC[C@@]21C,ZINC15 : ZINC000257358127,consensus,0.22033898305084745,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@]1(O)CC[C@H]2[C@H]3C[C@@H]4O[C@@]45C[C@H](O)CC[C@@]5(C)[C@@H]3CC[C@@]21C,ZINC15 : ZINC000257358130,consensus,0.22033898305084745,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@]1(O)CC[C@H]2[C@H]3C[C@@H]4O[C@@]45C[C@H](O)CC[C@]5(C)[C@@H]3CC[C@@]21C,ZINC15 : ZINC000257358129,consensus,0.22033898305084745,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,C[C@]1(O)CC[C@@H]2[C@H]3C[C@@H]4O[C@@]45C[C@H](O)CC[C@@]5(C)[C@@H]3CC[C@@]21C,ZINC15 : ZINC000257358128,consensus,0.22033898305084745,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,CC1(C)O[C@@H]2CCC34C[C@@H](O)CC3(C[C@H](O)C4)CC[C@@H]2O1,ZINC15 : ZINC000257358427,consensus,0.22,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,CC1(C)O[C@@H]2CCC34C[C@H](O)CC3(C[C@H](O)C4)CC[C@@H]2O1,ZINC15 : ZINC000257358429,consensus,0.22,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,CC1(C)O[C@@H]2CCC34C[C@H](O)CC3(C[C@@H](O)C4)CC[C@@H]2O1,ZINC15 : ZINC000257358428,consensus,0.22,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,CC/C(C)=C/C(=O)O[C@H]1[C@@H](O)[C@@H](O)[C@@H](C)O[C@H]1O[C@]1(C)CC[C@@H]2[C@H]([C@@H]3[C@H](C)CC[C@@H]31)C2(C)C,ZINC15 : ZINC000252680012,consensus,0.21794871794871795,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,CC/C(C)=C/C(=O)O[C@H]1[C@@H](O)[C@H](O)[C@@H](C)O[C@H]1O[C@]1(C)CC[C@@H]2[C@H]([C@@H]3[C@H](C)CC[C@@H]31)C2(C)C,ZINC15 : ZINC000252680015,consensus,0.21794871794871795,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,CC/C(C)=C/C(=O)O[C@H]1[C@H](O)[C@@H](O)[C@@H](C)O[C@H]1O[C@]1(C)CC[C@@H]2[C@H]([C@@H]3[C@H](C)CC[C@@H]31)C2(C)C,ZINC15 : ZINC000252680013,consensus,0.21794871794871795,zinc15
[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)[C@@]([H])(O)O[C@]3([H])O[C@]4(C)CC[C@]1([H])[C@]23OO4,BJDCWCLMFKKGEE-ITYWPALDSA-N,CC/C(C)=C/C(=O)O[C@H]1[C@H](O)[C@H](O)[C@@H](C)O[C@H]1O[C@]1(C)CC[C@@H]2[C@H]([C@@H]3[C@H](C)CC[C@@H]31)C2(C)C,ZINC15 : ZINC000252680014,consensus,0.21794871794871795,zinc15
