query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1,BPQMGSKTAYIVFO-UHFFFAOYSA-N,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,ZINC15 : ZINC000040899447,consensus,1.0,zinc15
CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1,BPQMGSKTAYIVFO-UHFFFAOYSA-N,CS(=O)(=O)c1ccc(NC(=O)c2cc(-c3ccccn3)ccc2Cl)cc1,ZINC15 : ZINC000179325724,consensus,0.6491228070175439,zinc15
CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1,BPQMGSKTAYIVFO-UHFFFAOYSA-N,CS(=O)(=O)c1ccc(C(=O)Nc2ncccn2)c(Cl)c1,ZINC15 : ZINC001149011915,consensus,0.6346153846153846,zinc15
CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1,BPQMGSKTAYIVFO-UHFFFAOYSA-N,Cc1c(C(=O)Nc2ccc(Cl)c(S(C)(=O)=O)c2)cccc1-c1ccccn1,ZINC15 : ZINC000472767582,consensus,0.6065573770491803,zinc15
CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1,BPQMGSKTAYIVFO-UHFFFAOYSA-N,CS(=O)(=O)C1=CC=C(C(=O)NCC2=CC=C(C3=CC=CC=N3)C=C2)C(Cl)=C1,ENAMINE-REAL : PV-008234493049,consensus,0.5901639344262295,enamine-real
CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1,BPQMGSKTAYIVFO-UHFFFAOYSA-N,CS(=O)(=O)c1ccc(Cl)c(C(=O)Nc2ccc(C(=O)Nc3cccnc3)c(Cl)c2)c1,ZINC15 : ZINC001325762803,consensus,0.5833333333333334,zinc15
CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1,BPQMGSKTAYIVFO-UHFFFAOYSA-N,Cc1cc(NC(=O)c2cc(-c3ccccn3)ccc2Cl)ccc1S(C)(=O)=O,ZINC15 : ZINC000500306004,consensus,0.5806451612903226,zinc15
CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1,BPQMGSKTAYIVFO-UHFFFAOYSA-N,CS(=O)(=O)C1=CC=C(C(=O)NC2=CC(NC(N)=O)=CC=C2Cl)C(Cl)=C1,ENAMINE-REAL : PV-008541711803,consensus,0.5789473684210527,enamine-real
CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1,BPQMGSKTAYIVFO-UHFFFAOYSA-N,Cc1ccc(S(C)(=O)=O)cc1C(=O)Nc1ccc(-c2ccccn2)cc1,ZINC15 : ZINC000582034533,consensus,0.576271186440678,zinc15
CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1,BPQMGSKTAYIVFO-UHFFFAOYSA-N,Cc1ccc(NC(=O)c2ccc(S(C)(=O)=O)cc2Cl)cc1O,ZINC15 : ZINC001149021182,consensus,0.5714285714285714,zinc15
CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1,BPQMGSKTAYIVFO-UHFFFAOYSA-N,CS(=O)(=O)c1ccc(C(=O)Nc2ccnnc2)c(Cl)c1,ZINC15 : ZINC001149013843,consensus,0.5714285714285714,zinc15
CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1,BPQMGSKTAYIVFO-UHFFFAOYSA-N,CS(=O)(=O)c1ccc(Cl)c(C(=O)Nc2ccccn2)c1,ZINC15 : ZINC000078756996,consensus,0.5714285714285714,zinc15
CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1,BPQMGSKTAYIVFO-UHFFFAOYSA-N,CS(=O)(=O)C1=CC=C(C(=O)NCC2=CC=CC(C3=CC=CC=N3)=C2)C(Cl)=C1,ENAMINE-REAL : PV-007461599914,consensus,0.5714285714285714,enamine-real
CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1,BPQMGSKTAYIVFO-UHFFFAOYSA-N,CS(=O)(=O)c1ccc(C(=O)Nc2cccnc2F)c(Cl)c1,ZINC15 : ZINC001149013980,consensus,0.5689655172413793,zinc15
CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1,BPQMGSKTAYIVFO-UHFFFAOYSA-N,CS(=O)(=O)c1ccc(C(=O)Nc2ccn3ccnc3c2)c(Cl)c1,ZINC15 : ZINC001149017981,consensus,0.5666666666666667,zinc15
CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1,BPQMGSKTAYIVFO-UHFFFAOYSA-N,CS(=O)(=O)c1ccc(C(=O)Nc2ccc3ncnc(Cl)c3c2)c(Cl)c1,ZINC15 : ZINC001149022089,consensus,0.5666666666666667,zinc15
CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1,BPQMGSKTAYIVFO-UHFFFAOYSA-N,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(F)c(O)c2)c(Cl)c1,ZINC15 : ZINC001149021472,consensus,0.5614035087719298,zinc15
CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1,BPQMGSKTAYIVFO-UHFFFAOYSA-N,CS(=O)(=O)c1ccc(C(=O)Nc2cccc(C(N)=S)c2)c(Cl)c1,ZINC15 : ZINC001149021331,consensus,0.559322033898305,zinc15
CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1,BPQMGSKTAYIVFO-UHFFFAOYSA-N,CS(=O)(=O)c1ccc(C(=O)Nc2ccc3ncncc3c2)c(Cl)c1,ZINC15 : ZINC001149021000,consensus,0.5573770491803278,zinc15
CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1,BPQMGSKTAYIVFO-UHFFFAOYSA-N,CCc1ccc(S(C)(=O)=O)cc1C(=O)Nc1ccc(-c2ccccn2)cc1,ZINC15 : ZINC000562189889,consensus,0.5573770491803278,zinc15
