query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@]12C[C@]1(CNC2)C1=CC(Cl)=C(Cl)C=C1,BSMNRYCSBFHEMQ-KCJUWKMLSA-N,Clc1ccc([C@@]23C[C@@H]2C[NH2+]C3)cc1Cl,ZINC15 : ZINC000000003189,consensus,0.5384615384615384,zinc15
[H][C@]12C[C@]1(CNC2)C1=CC(Cl)=C(Cl)C=C1,BSMNRYCSBFHEMQ-KCJUWKMLSA-N,Clc1ccc([C@]23C[C@H]2C[NH2+]C3)cc1Cl,ZINC15 : ZINC000003973106,consensus,0.5384615384615384,zinc15
[H][C@]12C[C@]1(CNC2)C1=CC(Cl)=C(Cl)C=C1,BSMNRYCSBFHEMQ-KCJUWKMLSA-N,Clc1ccc(C23CC4CC(CC(C4)C2)C3)cc1Cl,ZINC15 : ZINC000055107276,consensus,0.4473684210526316,zinc15
[H][C@]12C[C@]1(CNC2)C1=CC(Cl)=C(Cl)C=C1,BSMNRYCSBFHEMQ-KCJUWKMLSA-N,Clc1ccc([C@@]23C[C@@H]2C[N@H+](C2CC[NH2+]CC2)C3)cc1Cl,ZINC15 : ZINC001246895260,consensus,0.4375,zinc15
[H][C@]12C[C@]1(CNC2)C1=CC(Cl)=C(Cl)C=C1,BSMNRYCSBFHEMQ-KCJUWKMLSA-N,Clc1ccc([C@@]23C[C@@H]2C[N@@H+](C2CC[NH2+]CC2)C3)cc1Cl,ZINC15 : ZINC001246895260,consensus,0.4375,zinc15
[H][C@]12C[C@]1(CNC2)C1=CC(Cl)=C(Cl)C=C1,BSMNRYCSBFHEMQ-KCJUWKMLSA-N,Clc1ccc([C@@]23C[C@@H]2CN(C2CC[NH2+]CC2)C3)cc1Cl,ZINC15 : ZINC001246895260,consensus,0.4375,zinc15
[H][C@]12C[C@]1(CNC2)C1=CC(Cl)=C(Cl)C=C1,BSMNRYCSBFHEMQ-KCJUWKMLSA-N,CC(NC[C@]12CNC[C@H]1C2)C1=CC=C(Cl)C(Cl)=C1,ENAMINE-REAL : Z5369711799,consensus,0.42857142857142855,enamine-real
[H][C@]12C[C@]1(CNC2)C1=CC(Cl)=C(Cl)C=C1,BSMNRYCSBFHEMQ-KCJUWKMLSA-N,Clc1ccc([C@@]23C[C@@H]2C[N@@H+]([C@H]2CCSC2)C3)cc1Cl,ZINC15 : ZINC001255292655,consensus,0.42,zinc15
[H][C@]12C[C@]1(CNC2)C1=CC(Cl)=C(Cl)C=C1,BSMNRYCSBFHEMQ-KCJUWKMLSA-N,Clc1ccc([C@@]23C[C@@H]2C[N@@H+](C2C[C@@H]4C=C[C@H](C2)O4)C3)cc1Cl,ZINC15 : ZINC001172244521,consensus,0.42,zinc15
[H][C@]12C[C@]1(CNC2)C1=CC(Cl)=C(Cl)C=C1,BSMNRYCSBFHEMQ-KCJUWKMLSA-N,Clc1ccc([C@@]23C[C@@H]2C[N@H+](C2C[C@@H]4C=C[C@H](C2)O4)C3)cc1Cl,ZINC15 : ZINC001172244521,consensus,0.42,zinc15
[H][C@]12C[C@]1(CNC2)C1=CC(Cl)=C(Cl)C=C1,BSMNRYCSBFHEMQ-KCJUWKMLSA-N,Clc1ccc([C@@]23C[C@@H]2C[N@@H+]([C@@H]2CCSC2)C3)cc1Cl,ZINC15 : ZINC001255292652,consensus,0.42,zinc15
[H][C@]12C[C@]1(CNC2)C1=CC(Cl)=C(Cl)C=C1,BSMNRYCSBFHEMQ-KCJUWKMLSA-N,Clc1ccc([C@@]23C[C@@H]2C[N@H+]([C@H]2CCSC2)C3)cc1Cl,ZINC15 : ZINC001255292655,consensus,0.42,zinc15
[H][C@]12C[C@]1(CNC2)C1=CC(Cl)=C(Cl)C=C1,BSMNRYCSBFHEMQ-KCJUWKMLSA-N,Clc1ccc([C@@]23C[C@@H]2C[N@H+]([C@@H]2CCSC2)C3)cc1Cl,ZINC15 : ZINC001255292652,consensus,0.42,zinc15
[H][C@]12C[C@]1(CNC2)C1=CC(Cl)=C(Cl)C=C1,BSMNRYCSBFHEMQ-KCJUWKMLSA-N,ClC1=CC=C(C(NC[C@]23CNC[C@H]2C3)C2CC2)C=C1Cl,ENAMINE-REAL : PV-006885577288,consensus,0.4117647058823529,enamine-real
[H][C@]12C[C@]1(CNC2)C1=CC(Cl)=C(Cl)C=C1,BSMNRYCSBFHEMQ-KCJUWKMLSA-N,C=C(CCOC(C)=O)C1=CC=C(C23CNCC2C3)C=C1,ENAMINE-REAL : Z4526167573,consensus,0.39622641509433965,enamine-real
[H][C@]12C[C@]1(CNC2)C1=CC(Cl)=C(Cl)C=C1,BSMNRYCSBFHEMQ-KCJUWKMLSA-N,ClC1=CC(Cl)=C(CN[C@]23CNC[C@H]2C3)C=C1Cl,ENAMINE-REAL : PV-006731461998,consensus,0.391304347826087,enamine-real
