query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,BWPIARFWQZKAIA-UHFFFAOYSA-N,C[NH2+]CCCC1c2ccccc2C=Cc2ccccc21,ZINC15 : ZINC000001530764,consensus,0.6176470588235294,zinc15
CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,BWPIARFWQZKAIA-UHFFFAOYSA-N,C[N@@H+](CCO)CCCC1c2ccccc2C=Cc2ccccc21,ZINC15 : ZINC001236101630,consensus,0.525,zinc15
CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,BWPIARFWQZKAIA-UHFFFAOYSA-N,C[N@H+](CCO)CCCC1c2ccccc2C=Cc2ccccc21,ZINC15 : ZINC001236101630,consensus,0.525,zinc15
CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,BWPIARFWQZKAIA-UHFFFAOYSA-N,CNCCCNC1C2=CC=CC=C2C2=CC=CC=C21,ENAMINE-REAL : Z2377721131,consensus,0.4864864864864865,enamine-real
CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,BWPIARFWQZKAIA-UHFFFAOYSA-N,CNCCCCNC1C2=CC=CC=C2C2=CC=CC=C21,ENAMINE-REAL : Z6224998420,consensus,0.4864864864864865,enamine-real
CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,BWPIARFWQZKAIA-UHFFFAOYSA-N,CN(CCCC1c2ccccc2C=Cc2ccccc21)C(=O)C(N)=O,ZINC15 : ZINC001142931310,consensus,0.4772727272727273,zinc15
CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,BWPIARFWQZKAIA-UHFFFAOYSA-N,CN(CCCC1c2ccccc2C=Cc2ccccc21)C(=O)C(=O)[O-],ZINC15 : ZINC001143413527,consensus,0.4772727272727273,zinc15
CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,BWPIARFWQZKAIA-UHFFFAOYSA-N,C#CC(=O)N(C)CCCC1c2ccccc2C=Cc2ccccc21,ZINC15 : ZINC001143908795,consensus,0.4666666666666667,zinc15
CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,BWPIARFWQZKAIA-UHFFFAOYSA-N,CN(CCCC1c2ccccc2C=Cc2ccccc21)C(=O)CCO,ZINC15 : ZINC001179574960,consensus,0.4666666666666667,zinc15
CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,BWPIARFWQZKAIA-UHFFFAOYSA-N,CN(CCCC1c2ccccc2C=Cc2ccccc21)C(=O)C1(O)CC1,ZINC15 : ZINC001181529788,consensus,0.44680851063829785,zinc15
CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,BWPIARFWQZKAIA-UHFFFAOYSA-N,C[C@H](O)CC(=O)N(C)CCCC1c2ccccc2C=Cc2ccccc21,ZINC15 : ZINC001181350919,consensus,0.44680851063829785,zinc15
CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,BWPIARFWQZKAIA-UHFFFAOYSA-N,C[C@@H](O)CC(=O)N(C)CCCC1c2ccccc2C=Cc2ccccc21,ZINC15 : ZINC001181350922,consensus,0.44680851063829785,zinc15
CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,BWPIARFWQZKAIA-UHFFFAOYSA-N,CN(CCCC1c2ccccc2C=Cc2ccccc21)C(=O)[C@@H](O)C[NH3+],ZINC15 : ZINC001160917559,consensus,0.4375,zinc15
CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,BWPIARFWQZKAIA-UHFFFAOYSA-N,CN(CCCC1c2ccccc2C=Cc2ccccc21)C(=O)[C@@H](N)C[NH3+],ZINC15 : ZINC001160921788,consensus,0.42857142857142855,zinc15
CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,BWPIARFWQZKAIA-UHFFFAOYSA-N,CN(CCCC1c2ccccc2C=Cc2ccccc21)C(=O)CCS(C)(=O)=O,ZINC15 : ZINC001142530059,consensus,0.42857142857142855,zinc15
CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,BWPIARFWQZKAIA-UHFFFAOYSA-N,c1ccc2c(c1)C=Cc1ccccc1C2NC1c2ccccc2C=Cc2ccccc21,ZINC15 : ZINC000059062599,consensus,0.42424242424242425,zinc15
CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,BWPIARFWQZKAIA-UHFFFAOYSA-N,O=C([O-])CC1c2ccccc2C=Cc2ccccc21,ZINC15 : ZINC000004542542,consensus,0.42105263157894735,zinc15
CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,BWPIARFWQZKAIA-UHFFFAOYSA-N,CN(CCCC1c2ccccc2C=Cc2ccccc21)C(=O)[C@H]1[C@@H]2COC[C@@H]21,ZINC15 : ZINC001142642037,consensus,0.42,zinc15
CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,BWPIARFWQZKAIA-UHFFFAOYSA-N,CN(CCCC1c2ccccc2C=Cc2ccccc21)C(=O)[C@H]([NH3+])CCC[NH3+],ZINC15 : ZINC001160917988,consensus,0.4117647058823529,zinc15
CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,BWPIARFWQZKAIA-UHFFFAOYSA-N,CN(CCCC1c2ccccc2C=Cc2ccccc21)C(=O)[C@@H]([NH3+])CCC[NH3+],ZINC15 : ZINC001160917990,consensus,0.4117647058823529,zinc15
CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,BWPIARFWQZKAIA-UHFFFAOYSA-N,CN(CCCC1c2ccccc2C=Cc2ccccc21)C(=O)C1(O)CC[NH2+]CC1,ZINC15 : ZINC001160921646,consensus,0.40384615384615385,zinc15
CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,BWPIARFWQZKAIA-UHFFFAOYSA-N,CN(CCCC1c2ccccc2C=Cc2ccccc21)S(=O)(=O)[C@@H]1CC[NH2+]C1,ZINC15 : ZINC001239115061,consensus,0.40384615384615385,zinc15
CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,BWPIARFWQZKAIA-UHFFFAOYSA-N,CN(CCCC1c2ccccc2C=Cc2ccccc21)C(=O)[C@@H]([NH3+])CCCC[NH3+],ZINC15 : ZINC001160922069,consensus,0.40384615384615385,zinc15
