query_smiles,query_inchikey,smiles,identifier,search_type,score,database
NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1,CEWKWXPCQGWWBM-UHFFFAOYSA-N,O=c1[nH]c(CSc2ncc[nH]2)nc2c(Br)cc(Br)cc12,ZINC15 : ZINC000463210955,consensus,0.5087719298245614,zinc15
NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1,CEWKWXPCQGWWBM-UHFFFAOYSA-N,O=c1[nH]c(CSc2ncc[nH]2)nc2cc(Cl)ccc12,ZINC15 : ZINC000608102227,consensus,0.46551724137931033,zinc15
NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1,CEWKWXPCQGWWBM-UHFFFAOYSA-N,O=c1[nH]c(CSc2ncc[nH]2)nc2ccccc21,ZINC15 : ZINC000608102217,consensus,0.4642857142857143,zinc15
NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1,CEWKWXPCQGWWBM-UHFFFAOYSA-N,Cc1cccc2c(=O)[nH]c(CSc3ncc[nH]3)nc12,ZINC15 : ZINC000078992108,consensus,0.4576271186440678,zinc15
NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1,CEWKWXPCQGWWBM-UHFFFAOYSA-N,O=c1[nH]c(CSc2ncc[nH]2)nc2ccc(Cl)cc12,ZINC15 : ZINC000078996649,consensus,0.4576271186440678,zinc15
NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1,CEWKWXPCQGWWBM-UHFFFAOYSA-N,COc1cc2nc(CSc3ncc[nH]3)[nH]c(=O)c2cc1OC,ZINC15 : ZINC000172931480,consensus,0.45,zinc15
NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1,CEWKWXPCQGWWBM-UHFFFAOYSA-N,Fc1cc2cccnc2c(CSc2ncc[nH]2)c1,ZINC15 : ZINC000079003187,consensus,0.44642857142857145,zinc15
NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1,CEWKWXPCQGWWBM-UHFFFAOYSA-N,Nc1nc(N)nc(CSc2ncc[nH]2)n1,ZINC15 : ZINC000309077902,consensus,0.44,zinc15
NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1,CEWKWXPCQGWWBM-UHFFFAOYSA-N,Clc1cc2cccnc2c(CSc2ncc[nH]2)c1,ZINC15 : ZINC000078996771,consensus,0.43859649122807015,zinc15
NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1,CEWKWXPCQGWWBM-UHFFFAOYSA-N,Brc1cc2cccnc2c(CSc2ncc[nH]2)c1,ZINC15 : ZINC000177089263,consensus,0.43859649122807015,zinc15
NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1,CEWKWXPCQGWWBM-UHFFFAOYSA-N,O=c1[nH]c(CSc2ncc[nH]2)nc2cc(C(F)(F)F)ccc12,ZINC15 : ZINC000608102226,consensus,0.43548387096774194,zinc15
NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1,CEWKWXPCQGWWBM-UHFFFAOYSA-N,Cc1cc2oc(=O)cc(CSc3ncc[nH]3)c2cc1C,ZINC15 : ZINC000078988977,consensus,0.423728813559322,zinc15
NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1,CEWKWXPCQGWWBM-UHFFFAOYSA-N,Clc1cc(CSc2ncc[nH]2)c2ccccc2n1,ZINC15 : ZINC000184551296,consensus,0.42105263157894735,zinc15
NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1,CEWKWXPCQGWWBM-UHFFFAOYSA-N,Cc1cc(CSc2ncc[nH]2)c2ccccc2n1,ZINC15 : ZINC000172930890,consensus,0.42105263157894735,zinc15
NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1,CEWKWXPCQGWWBM-UHFFFAOYSA-N,O=c1cc(CSc2ncc[nH]2)c2ccc([O-])cc2o1,ZINC15 : ZINC000172932899,consensus,0.4166666666666667,zinc15
NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1,CEWKWXPCQGWWBM-UHFFFAOYSA-N,Nc1nc2nc(CSc3ncc[nH]3)cc(=O)n2[n-]1,ZINC15 : ZINC001307308721,consensus,0.4166666666666667,zinc15
NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1,CEWKWXPCQGWWBM-UHFFFAOYSA-N,Nc1cc(CSc2ncc[nH]2)ccn1,ZINC15 : ZINC000193091196,consensus,0.41509433962264153,zinc15
NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1,CEWKWXPCQGWWBM-UHFFFAOYSA-N,O=c1cc(CSc2ncc[nH]2)c2ccc(O)cc2o1,ZINC15 : ZINC000172932899,consensus,0.4098360655737705,zinc15
NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1,CEWKWXPCQGWWBM-UHFFFAOYSA-N,Cc1ccc2c(CSc3ncc[nH]3)cc(=O)oc2c1,ZINC15 : ZINC000078995755,consensus,0.4098360655737705,zinc15
NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1,CEWKWXPCQGWWBM-UHFFFAOYSA-N,O=c1cc(CSc2ncc[nH]2)nc(C2CC2)[nH]1,ZINC15 : ZINC000570261012,consensus,0.4067796610169492,zinc15
NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1,CEWKWXPCQGWWBM-UHFFFAOYSA-N,CN(C)c1nc(N)nc(CSc2ncc[nH]2)n1,ZINC15 : ZINC000078931909,consensus,0.40350877192982454,zinc15
NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1,CEWKWXPCQGWWBM-UHFFFAOYSA-N,Cc1ccc2c(CSc3ncc[nH]3)ccc(O)c2n1,ZINC15 : ZINC000427804933,consensus,0.4,zinc15
NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1,CEWKWXPCQGWWBM-UHFFFAOYSA-N,Cc1c(O)ccc2c(CSc3ncc[nH]3)cc(=O)oc12,ZINC15 : ZINC000079003820,consensus,0.3968253968253968,zinc15
NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1,CEWKWXPCQGWWBM-UHFFFAOYSA-N,Nc1nc(CSc2ncc[nH]2)nc2ccccc12,ZINC15 : ZINC000079001034,consensus,0.39655172413793105,zinc15
NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1,CEWKWXPCQGWWBM-UHFFFAOYSA-N,Clc1nc(CSc2ncc[nH]2)cc2ccccc21,ZINC15 : ZINC000789999598,consensus,0.3793103448275862,zinc15
NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1,CEWKWXPCQGWWBM-UHFFFAOYSA-N,Nc1ccc2nc(N)[nH]c(=O)c2c1,ZINC15 : 15894694,consensus,0.37254901960784315,zinc15
NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1,CEWKWXPCQGWWBM-UHFFFAOYSA-N,Cn1c(CSc2ncc[nH]2)nc2ccccc2c1=O,ZINC15 : ZINC000079006399,consensus,0.3709677419354839,zinc15
