query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CC(CC1=CC(=CC=C1)C(F)(F)F)NCCOC(=O)C1=CC=CC=C1,CJAVTWRYCDNHSM-UHFFFAOYSA-N,CC(CC1=CC=CC(C(F)(F)F)=C1)NCCNC(=O)C1=CC=CC=C1,ENAMINE-REAL : Z1986444055,consensus,0.7115384615384616,enamine-real
CC(CC1=CC(=CC=C1)C(F)(F)F)NCCOC(=O)C1=CC=CC=C1,CJAVTWRYCDNHSM-UHFFFAOYSA-N,C[C@@H](Cc1cccc(C(F)(F)F)c1)[NH2+]CCOC(=O)c1ccccc1,ZINC15 : ZINC000002015039,consensus,0.6666666666666666,zinc15
CC(CC1=CC(=CC=C1)C(F)(F)F)NCCOC(=O)C1=CC=CC=C1,CJAVTWRYCDNHSM-UHFFFAOYSA-N,C[C@H](Cc1cccc(C(F)(F)F)c1)[NH2+]CCOC(=O)c1ccccc1,ZINC15 : ZINC000002015040,consensus,0.6666666666666666,zinc15
CC(CC1=CC(=CC=C1)C(F)(F)F)NCCOC(=O)C1=CC=CC=C1,CJAVTWRYCDNHSM-UHFFFAOYSA-N,CC(CC1=CC=CC(C(F)(F)F)=C1)NCCNC(=O)CC1=CC=CC=C1,ENAMINE-REAL : Z1986447641,consensus,0.6481481481481481,enamine-real
CC(CC1=CC(=CC=C1)C(F)(F)F)NCCOC(=O)C1=CC=CC=C1,CJAVTWRYCDNHSM-UHFFFAOYSA-N,C[C@H](Cc1cccc(C(F)(F)F)c1)NC(=O)c1ccccc1,ZINC15 : ZINC000003621048,consensus,0.6470588235294118,zinc15
CC(CC1=CC(=CC=C1)C(F)(F)F)NCCOC(=O)C1=CC=CC=C1,CJAVTWRYCDNHSM-UHFFFAOYSA-N,C[C@@H](Cc1cccc(C(F)(F)F)c1)NC(=O)c1ccccc1,ZINC15 : ZINC000003621046,consensus,0.6470588235294118,zinc15
CC(CC1=CC(=CC=C1)C(F)(F)F)NCCOC(=O)C1=CC=CC=C1,CJAVTWRYCDNHSM-UHFFFAOYSA-N,C[C@@H](Cc1cccc(C(F)(F)F)c1)C(=O)OCCNC(=O)c1ccccc1,ZINC15 : ZINC000744291132,consensus,0.6428571428571429,zinc15
CC(CC1=CC(=CC=C1)C(F)(F)F)NCCOC(=O)C1=CC=CC=C1,CJAVTWRYCDNHSM-UHFFFAOYSA-N,C[C@H](Cc1cccc(C(F)(F)F)c1)C(=O)OCCNC(=O)c1ccccc1,ZINC15 : ZINC000744291133,consensus,0.6428571428571429,zinc15
CC(CC1=CC(=CC=C1)C(F)(F)F)NCCOC(=O)C1=CC=CC=C1,CJAVTWRYCDNHSM-UHFFFAOYSA-N,CC(CC1=CC=CC(C(F)(F)F)=C1)NCCO,ENAMINE-REAL : Z1986428748,consensus,0.6326530612244898,enamine-real
CC(CC1=CC(=CC=C1)C(F)(F)F)NCCOC(=O)C1=CC=CC=C1,CJAVTWRYCDNHSM-UHFFFAOYSA-N,CC(CC1=CC=CC(C(F)(F)F)=C1)NCCC(=O)N(C)C1=CC=CC=C1,ENAMINE-REAL : Z1986441653,consensus,0.6140350877192983,enamine-real
CC(CC1=CC(=CC=C1)C(F)(F)F)NCCOC(=O)C1=CC=CC=C1,CJAVTWRYCDNHSM-UHFFFAOYSA-N,CC(CC1=CC=CC(C(F)(F)F)=C1)NCC1=CC=CC=C1,ENAMINE-REAL : Z2517378301,consensus,0.6122448979591837,enamine-real
