query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@@]1(O)O[C@@]([H])(C(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])OS(O)(=O)=O,COJBCAMFZDFGFK-VCSGLWQLSA-N,O=C([O-])[C@@H]1O[C@H](O)[C@H](O)[C@H]1O,ZINC15 : 104372385,consensus,0.34285714285714286,zinc15
[H][C@@]1(O)O[C@@]([H])(C(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])OS(O)(=O)=O,COJBCAMFZDFGFK-VCSGLWQLSA-N,O=C([O-])[C@@H]1O[C@H](O)[C@@H](O)[C@@H]1O,ZINC15 : 14584282,consensus,0.34285714285714286,zinc15
[H][C@@]1(O)O[C@@]([H])(C(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])OS(O)(=O)=O,COJBCAMFZDFGFK-VCSGLWQLSA-N,O=C([O-])[C@@H]1O[C@H](O)[C@H](O)[C@@H]1O,ZINC15 : 257357888,consensus,0.34285714285714286,zinc15
[H][C@@]1(O)O[C@@]([H])(C(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])OS(O)(=O)=O,COJBCAMFZDFGFK-VCSGLWQLSA-N,O=C([O-])[C@@H]1O[C@H](O)[C@@H](O)[C@H]1O,ZINC15 : 257357887,consensus,0.34285714285714286,zinc15
[H][C@@]1(O)O[C@@]([H])(C(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])OS(O)(=O)=O,COJBCAMFZDFGFK-VCSGLWQLSA-N,COC(=O)[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,ZINC15 : ZINC000004336491,consensus,0.34210526315789475,zinc15
[H][C@@]1(O)O[C@@]([H])(C(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])OS(O)(=O)=O,COJBCAMFZDFGFK-VCSGLWQLSA-N,COC(=O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O,ZINC15 : ZINC000004336492,consensus,0.34210526315789475,zinc15
[H][C@@]1(O)O[C@@]([H])(C(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])OS(O)(=O)=O,COJBCAMFZDFGFK-VCSGLWQLSA-N,O=C([O-])[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,ZINC15 : 4097542,consensus,0.3333333333333333,zinc15
[H][C@@]1(O)O[C@@]([H])(C(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])OS(O)(=O)=O,COJBCAMFZDFGFK-VCSGLWQLSA-N,O=C([O-])[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,ZINC15 : 4097543,consensus,0.3333333333333333,zinc15
[H][C@@]1(O)O[C@@]([H])(C(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])OS(O)(=O)=O,COJBCAMFZDFGFK-VCSGLWQLSA-N,O=C([O-])[C@@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@H]1O,ZINC15 : 71755581,consensus,0.3333333333333333,zinc15
[H][C@@]1(O)O[C@@]([H])(C(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])OS(O)(=O)=O,COJBCAMFZDFGFK-VCSGLWQLSA-N,O=C([O-])[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O,ZINC15 : 4228259,consensus,0.3333333333333333,zinc15
