query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@@]12C[C@@H](Br)C(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C,CWVMWSZEMZOUPC-JUAXIXHSSA-N,C[C@]12CC[C@H]3[C@@H](CC[C@@H]4C[C@H](O)CC[C@@]43C)[C@@H]1C[C@@H](O)C2=O,ZINC15 : ZINC000025723214,consensus,0.7674418604651163,zinc15
[H][C@@]12C[C@@H](Br)C(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C,CWVMWSZEMZOUPC-JUAXIXHSSA-N,C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@@]43C)[C@@H]1C[C@H](CO)C2=O,ZINC15 : ZINC000118924042,consensus,0.7021276595744681,zinc15
[H][C@@]12C[C@@H](Br)C(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C,CWVMWSZEMZOUPC-JUAXIXHSSA-N,C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@@H](O)CC[C@@]43C)[C@@H]1C[C@H](CO)C2=O,ZINC15 : ZINC000030728853,consensus,0.7021276595744681,zinc15
[H][C@@]12C[C@@H](Br)C(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C,CWVMWSZEMZOUPC-JUAXIXHSSA-N,C[C@]12CC[C@H]3[C@@H](CC[C@@H]4C[C@@H](O)CC[C@@]43C)[C@@H]1C[C@H](CO)C2=O,ZINC15 : ZINC000118924044,consensus,0.7021276595744681,zinc15
[H][C@@]12C[C@@H](Br)C(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C,CWVMWSZEMZOUPC-JUAXIXHSSA-N,C[C@]12CC[C@H]3[C@@H](CC[C@@H]4C[C@H](O)CC[C@@]43C)[C@@H]1C[C@H](CO)C2=O,ZINC15 : ZINC000118924046,consensus,0.7021276595744681,zinc15
[H][C@@]12C[C@@H](Br)C(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C,CWVMWSZEMZOUPC-JUAXIXHSSA-N,C[C@]12CC[C@H]3[C@@H](CC[C@@H]4C[C@H](O)CC[C@@]43C)[C@@H]1CCC2=O,ZINC15 : ZINC000003875364,consensus,0.6521739130434783,zinc15
[H][C@@]12C[C@@H](Br)C(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C,CWVMWSZEMZOUPC-JUAXIXHSSA-N,C[C@]12CC[C@@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1CCC2=O,ZINC15 : ZINC000038145859,consensus,0.6521739130434783,zinc15
[H][C@@]12C[C@@H](Br)C(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C,CWVMWSZEMZOUPC-JUAXIXHSSA-N,C[C@]12CC[C@@H]3[C@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@H]1CCC2=O,ZINC15 : ZINC000003849785,consensus,0.6521739130434783,zinc15
[H][C@@]12C[C@@H](Br)C(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C,CWVMWSZEMZOUPC-JUAXIXHSSA-N,C[C@]12CC[C@@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@H]1CCC2=O,ZINC15 : ZINC000003849784,consensus,0.6521739130434783,zinc15
[H][C@@]12C[C@@H](Br)C(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C,CWVMWSZEMZOUPC-JUAXIXHSSA-N,C[C@]12CC[C@@H]3[C@H](CC[C@H]4C[C@@H](O)CC[C@]34C)[C@@H]1CCC2=O,ZINC15 : ZINC000007996759,consensus,0.6521739130434783,zinc15
[H][C@@]12C[C@@H](Br)C(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C,CWVMWSZEMZOUPC-JUAXIXHSSA-N,C[C@]12CC[C@@H]3[C@@H](CC[C@H]4C[C@@H](O)CC[C@]34C)[C@@H]1CCC2=O,ZINC15 : ZINC000004073949,consensus,0.6521739130434783,zinc15
[H][C@@]12C[C@@H](Br)C(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C,CWVMWSZEMZOUPC-JUAXIXHSSA-N,C[C@]12CC[C@@H]3[C@H](CC[C@H]4C[C@@H](O)CC[C@]34C)[C@H]1CCC2=O,ZINC15 : ZINC000003849584,consensus,0.6521739130434783,zinc15
[H][C@@]12C[C@@H](Br)C(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C,CWVMWSZEMZOUPC-JUAXIXHSSA-N,C[C@]12CC[C@@H]3[C@H](CC[C@H]4C[C@H](O)CC[C@@]34C)[C@H]1CCC2=O,ZINC15 : ZINC000253497948,consensus,0.6521739130434783,zinc15
[H][C@@]12C[C@@H](Br)C(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C,CWVMWSZEMZOUPC-JUAXIXHSSA-N,C[C@]12CC[C@@H]3[C@H](CC[C@H]4C[C@H](O)CC[C@@]34C)[C@@H]1CCC2=O,ZINC15 : ZINC000001691401,consensus,0.6521739130434783,zinc15
[H][C@@]12C[C@@H](Br)C(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C,CWVMWSZEMZOUPC-JUAXIXHSSA-N,C[C@@]12CC[C@@H]3[C@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@H]1CCC2=O,ZINC15 : ZINC000009231975,consensus,0.6521739130434783,zinc15
[H][C@@]12C[C@@H](Br)C(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C,CWVMWSZEMZOUPC-JUAXIXHSSA-N,C[C@]12CC[C@@H]3[C@H](CC[C@@H]4C[C@@H](O)CC[C@]43C)[C@H]1CCC2=O,ZINC15 : ZINC000253928529,consensus,0.6521739130434783,zinc15
[H][C@@]12C[C@@H](Br)C(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C,CWVMWSZEMZOUPC-JUAXIXHSSA-N,C[C@]12CC[C@@H]3[C@@H](CC[C@H]4C[C@@H](O)CC[C@]34C)[C@H]1CCC2=O,ZINC15 : ZINC000003849581,consensus,0.6521739130434783,zinc15
[H][C@@]12C[C@@H](Br)C(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C,CWVMWSZEMZOUPC-JUAXIXHSSA-N,C[C@]12CC[C@@H]3[C@H](CC[C@@H]4C[C@@H](O)CC[C@]43C)[C@@H]1CCC2=O,ZINC15 : ZINC000000000948,consensus,0.6521739130434783,zinc15
[H][C@@]12C[C@@H](Br)C(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C,CWVMWSZEMZOUPC-JUAXIXHSSA-N,C[C@]12CC[C@@H]3[C@H](CC[C@@H]4C[C@@H](O)CC[C@@]43C)[C@H]1CCC2=O,ZINC15 : ZINC000081132361,consensus,0.6521739130434783,zinc15
[H][C@@]12C[C@@H](Br)C(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C,CWVMWSZEMZOUPC-JUAXIXHSSA-N,C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@@]43C)[C@@H]1CCC2=O,ZINC15 : ZINC000003861550,consensus,0.6521739130434783,zinc15
