query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@@]1(N(CCCSC1(C)C)S(=O)(=O)C1=CC=C(OC)C=C1)C(=O)NO,CYYCSKFJEOSZTF-CYBMUJFWSA-N,COC1=CC=C(S(=O)(=O)N2CCSC(C)(C)[C@@H]2C(=O)O)C=C1,ENAMINE-REAL : Z4396207611,consensus,0.6792452830188679,enamine-real
[H][C@@]1(N(CCCSC1(C)C)S(=O)(=O)C1=CC=C(OC)C=C1)C(=O)NO,CYYCSKFJEOSZTF-CYBMUJFWSA-N,CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)[C@H]1C(=O)NO,ZINC15 : ZINC000000580328,consensus,0.6724137931034483,zinc15
[H][C@@]1(N(CCCSC1(C)C)S(=O)(=O)C1=CC=C(OC)C=C1)C(=O)NO,CYYCSKFJEOSZTF-CYBMUJFWSA-N,CC1(C)SCCN(S(=O)(=O)c2ccc(-c3ccc(Br)cc3)cc2)[C@H]1C(=O)NO,ZINC15 : ZINC000003818031,consensus,0.6428571428571429,zinc15
[H][C@@]1(N(CCCSC1(C)C)S(=O)(=O)C1=CC=C(OC)C=C1)C(=O)NO,CYYCSKFJEOSZTF-CYBMUJFWSA-N,CC#CCOc1ccc(S(=O)(=O)N2CCSC(C)(C)[C@@H]2C(=O)NO)cc1,ZINC15 : ZINC000003817227,consensus,0.639344262295082,zinc15
[H][C@@]1(N(CCCSC1(C)C)S(=O)(=O)C1=CC=C(OC)C=C1)C(=O)NO,CYYCSKFJEOSZTF-CYBMUJFWSA-N,COC1=CC=C(S(=O)(=O)N2CCC[C@H]2C(=O)NO)C=C1,ENAMINE-REAL : Z99108804,consensus,0.6226415094339622,enamine-real
[H][C@@]1(N(CCCSC1(C)C)S(=O)(=O)C1=CC=C(OC)C=C1)C(=O)NO,CYYCSKFJEOSZTF-CYBMUJFWSA-N,CCOC1=CC=C(S(=O)(=O)N2CCSC(C)(C)[C@@H]2C(=O)OC)C=C1,ENAMINE-REAL : PV-005407809719,consensus,0.576271186440678,enamine-real
[H][C@@]1(N(CCCSC1(C)C)S(=O)(=O)C1=CC=C(OC)C=C1)C(=O)NO,CYYCSKFJEOSZTF-CYBMUJFWSA-N,COC1=CC=C(S(=O)(=O)N2CCSC(C)(C)[C@@H]2CO)C=C1,ENAMINE-REAL : Z4394414451,consensus,0.5714285714285714,enamine-real
[H][C@@]1(N(CCCSC1(C)C)S(=O)(=O)C1=CC=C(OC)C=C1)C(=O)NO,CYYCSKFJEOSZTF-CYBMUJFWSA-N,COC1=CC=C(S(=O)(=O)N2CCCC(C)(C)C2C(N)=O)C=C1,ENAMINE-REAL : Z4109539415,consensus,0.5714285714285714,enamine-real
[H][C@@]1(N(CCCSC1(C)C)S(=O)(=O)C1=CC=C(OC)C=C1)C(=O)NO,CYYCSKFJEOSZTF-CYBMUJFWSA-N,COC1=CC=C(S(=O)(=O)N2CCCC(C)(C)C2C(=O)O)C=C1,ENAMINE-REAL : Z1881562221,consensus,0.5714285714285714,enamine-real
[H][C@@]1(N(CCCSC1(C)C)S(=O)(=O)C1=CC=C(OC)C=C1)C(=O)NO,CYYCSKFJEOSZTF-CYBMUJFWSA-N,COc1ccc(S(=O)(=O)N2CCCC(C)(C)[C@H]2C(=O)[O-])cc1,ZINC15 : ZINC000278354649,consensus,0.5714285714285714,zinc15
