query_smiles,query_inchikey,smiles,identifier,search_type,score,database
NC\C=C(/F)CS(=O)(=O)C1=C2N=CC=CC2=CC=C1,DHXXLGDTPFPYRH-WDZFZDKYSA-N,C=CCS(=O)(=O)c1cccc2cccnc21,ZINC15 : ZINC000000129185,morgan,0.5434782608695652,zinc15
NC\C=C(/F)CS(=O)(=O)C1=C2N=CC=CC2=CC=C1,DHXXLGDTPFPYRH-WDZFZDKYSA-N,NC/C=C/CNS(=O)(=O)C1=CC=CC2=CC=CN=C12,ENAMINE-REAL : PV-006827921981,morgan,0.5098039215686274,enamine-real
NC\C=C(/F)CS(=O)(=O)C1=C2N=CC=CC2=CC=C1,DHXXLGDTPFPYRH-WDZFZDKYSA-N,NC/C=C\CNS(=O)(=O)C1=CC=CC2=CC=CN=C12,ENAMINE-REAL : PV-007600246884,morgan,0.5098039215686274,enamine-real
NC\C=C(/F)CS(=O)(=O)C1=C2N=CC=CC2=CC=C1,DHXXLGDTPFPYRH-WDZFZDKYSA-N,NCC(F)CNS(=O)(=O)C1=CC=CC2=CC=CN=C12,ENAMINE-REAL : Z5041588886,morgan,0.5098039215686274,enamine-real
NC\C=C(/F)CS(=O)(=O)C1=C2N=CC=CC2=CC=C1,DHXXLGDTPFPYRH-WDZFZDKYSA-N,O=S(=O)(NCCF)c1cccc2cccnc21,ZINC15 : ZINC000335685402,morgan,0.4897959183673469,zinc15
NC\C=C(/F)CS(=O)(=O)C1=C2N=CC=CC2=CC=C1,DHXXLGDTPFPYRH-WDZFZDKYSA-N,CC(C)=CCNS(=O)(=O)c1cccc2cccnc21,ZINC15 : ZINC000190244874,morgan,0.4807692307692308,zinc15
NC\C=C(/F)CS(=O)(=O)C1=C2N=CC=CC2=CC=C1,DHXXLGDTPFPYRH-WDZFZDKYSA-N,C=CCN(CC=C)S(=O)(=O)c1cccc2cccnc21,ZINC15 : ZINC000005898896,morgan,0.48,zinc15
NC\C=C(/F)CS(=O)(=O)C1=C2N=CC=CC2=CC=C1,DHXXLGDTPFPYRH-WDZFZDKYSA-N,CCN(CC)S(=O)(=O)c1cccc2cccnc21,ZINC15 : ZINC000000092745,morgan,0.4791666666666667,zinc15
NC\C=C(/F)CS(=O)(=O)C1=C2N=CC=CC2=CC=C1,DHXXLGDTPFPYRH-WDZFZDKYSA-N,O=S(=O)(CC1=CC=CC2=CC=CN=C12)C1=CC=CC=C1F,ENAMINE-REAL : PV-002401080739,morgan,0.47058823529411764,enamine-real
NC\C=C(/F)CS(=O)(=O)C1=C2N=CC=CC2=CC=C1,DHXXLGDTPFPYRH-WDZFZDKYSA-N,O=S(=O)(NCCCF)c1cccc2cccnc21,ZINC15 : ZINC000178438601,morgan,0.47058823529411764,zinc15
