query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@]1(CO)N2C=C(N=C2[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O)C1=CC=CC=C1,DLVNFMROYKHANV-FVCCEPFGSA-N,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CC1=NC(C2=CC=CC=C2)=CS1,ENAMINE-REAL : Z5399325438,consensus,0.41818181818181815,enamine-real
[H][C@]1(CO)N2C=C(N=C2[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O)C1=CC=CC=C1,DLVNFMROYKHANV-FVCCEPFGSA-N,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CC1=CC=C(C2=CC=CC=C2)N=C1,ENAMINE-REAL : Z5400866161,consensus,0.4,enamine-real
[H][C@]1(CO)N2C=C(N=C2[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O)C1=CC=CC=C1,DLVNFMROYKHANV-FVCCEPFGSA-N,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CC1=CSC(C2=CC=CC=C2)=N1,ENAMINE-REAL : Z5399311976,consensus,0.375,enamine-real
[H][C@]1(CO)N2C=C(N=C2[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O)C1=CC=CC=C1,DLVNFMROYKHANV-FVCCEPFGSA-N,OC[C@@H]1C[C@@H](O)CN1c1nn2cc(-c3ccccc3)nc2s1,ZINC15 : ZINC000772290135,consensus,0.3728813559322034,zinc15
[H][C@]1(CO)N2C=C(N=C2[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O)C1=CC=CC=C1,DLVNFMROYKHANV-FVCCEPFGSA-N,OC[C@@H]1C[C@H](O)CN1c1nn2cc(-c3ccccc3)nc2s1,ZINC15 : ZINC000772318179,consensus,0.3728813559322034,zinc15
[H][C@]1(CO)N2C=C(N=C2[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O)C1=CC=CC=C1,DLVNFMROYKHANV-FVCCEPFGSA-N,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CC1=CC=C(C2=CC=CC=C2)C=C1,ENAMINE-REAL : Z5399320294,consensus,0.37254901960784315,enamine-real
[H][C@]1(CO)N2C=C(N=C2[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O)C1=CC=CC=C1,DLVNFMROYKHANV-FVCCEPFGSA-N,OC[C@H]1CN(c2nc(-c3ccccc3)cs2)C[C@H]1O,ZINC15 : ZINC000413403969,consensus,0.37037037037037035,zinc15
[H][C@]1(CO)N2C=C(N=C2[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O)C1=CC=CC=C1,DLVNFMROYKHANV-FVCCEPFGSA-N,OC[C@@H]1CN(c2nc(-c3ccccc3)cs2)C[C@H]1O,ZINC15 : ZINC000413403971,consensus,0.37037037037037035,zinc15
[H][C@]1(CO)N2C=C(N=C2[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O)C1=CC=CC=C1,DLVNFMROYKHANV-FVCCEPFGSA-N,OC[C@@H]1CN(c2nc(-c3ccccc3)cs2)C[C@@H]1O,ZINC15 : ZINC000413403967,consensus,0.37037037037037035,zinc15
[H][C@]1(CO)N2C=C(N=C2[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O)C1=CC=CC=C1,DLVNFMROYKHANV-FVCCEPFGSA-N,OC[C@H]1CN(c2nc(-c3ccccc3)cs2)C[C@@H]1O,ZINC15 : ZINC000413403973,consensus,0.37037037037037035,zinc15
