query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@]1(N)OC2=CC=CC=C2[C@]([H])(O)S1,DVFUKUONLVBBEH-SFYZADRCSA-N,C[C@@H]1Oc2ccccc2[C@H](O)[C@H]1O,ZINC15 : 257358849,consensus,0.4166666666666667,zinc15
[H][C@]1(N)OC2=CC=CC=C2[C@]([H])(O)S1,DVFUKUONLVBBEH-SFYZADRCSA-N,C[C@@H]1Oc2ccccc2[C@@H](O)[C@H]1O,ZINC15 : 71773651,consensus,0.4166666666666667,zinc15
[H][C@]1(N)OC2=CC=CC=C2[C@]([H])(O)S1,DVFUKUONLVBBEH-SFYZADRCSA-N,C[C@@H]1Oc2ccccc2[C@H](O)[C@@H]1O,ZINC15 : 101366927,consensus,0.4166666666666667,zinc15
[H][C@]1(N)OC2=CC=CC=C2[C@]([H])(O)S1,DVFUKUONLVBBEH-SFYZADRCSA-N,C[C@@H]1Oc2ccccc2[C@@H](O)[C@@H]1O,ZINC15 : 71773653,consensus,0.4166666666666667,zinc15
[H][C@]1(N)OC2=CC=CC=C2[C@]([H])(O)S1,DVFUKUONLVBBEH-SFYZADRCSA-N,OC1c2ccccc2Oc2ccccc21,ZINC15 : 58266,consensus,0.40625,zinc15
[H][C@]1(N)OC2=CC=CC=C2[C@]([H])(O)S1,DVFUKUONLVBBEH-SFYZADRCSA-N,C[C@@H]1C[C@H](O)c2ccccc2O1,ZINC15 : 1638054,consensus,0.40540540540540543,zinc15
[H][C@]1(N)OC2=CC=CC=C2[C@]([H])(O)S1,DVFUKUONLVBBEH-SFYZADRCSA-N,C[C@@H]1C[C@@H](O)c2ccccc2O1,ZINC15 : 1638052,consensus,0.40540540540540543,zinc15
[H][C@]1(N)OC2=CC=CC=C2[C@]([H])(O)S1,DVFUKUONLVBBEH-SFYZADRCSA-N,C[C@H]1C[C@@H](O)c2ccccc2O1,ZINC15 : 1638051,consensus,0.40540540540540543,zinc15
[H][C@]1(N)OC2=CC=CC=C2[C@]([H])(O)S1,DVFUKUONLVBBEH-SFYZADRCSA-N,C[C@H]1C[C@H](O)c2ccccc2O1,ZINC15 : 1638053,consensus,0.40540540540540543,zinc15
[H][C@]1(N)OC2=CC=CC=C2[C@]([H])(O)S1,DVFUKUONLVBBEH-SFYZADRCSA-N,O[C@H]1Oc2ccccc2O[C@@H]1O,ZINC15 : 3121909,consensus,0.4,zinc15
[H][C@]1(N)OC2=CC=CC=C2[C@]([H])(O)S1,DVFUKUONLVBBEH-SFYZADRCSA-N,O[C@@H]1Oc2ccccc2O[C@H]1O,ZINC15 : 391068,consensus,0.4,zinc15
[H][C@]1(N)OC2=CC=CC=C2[C@]([H])(O)S1,DVFUKUONLVBBEH-SFYZADRCSA-N,O[C@H]1Oc2ccccc2O[C@H]1O,ZINC15 : 12410274,consensus,0.4,zinc15
[H][C@]1(N)OC2=CC=CC=C2[C@]([H])(O)S1,DVFUKUONLVBBEH-SFYZADRCSA-N,CC[C@@H]1C[C@@H](O)c2ccccc2O1,ZINC15 : 1700497,consensus,0.375,zinc15
[H][C@]1(N)OC2=CC=CC=C2[C@]([H])(O)S1,DVFUKUONLVBBEH-SFYZADRCSA-N,CC[C@H]1C[C@H](O)c2ccccc2O1,ZINC15 : 1700498,consensus,0.375,zinc15
[H][C@]1(N)OC2=CC=CC=C2[C@]([H])(O)S1,DVFUKUONLVBBEH-SFYZADRCSA-N,CC[C@@H]1C[C@H](O)c2ccccc2O1,ZINC15 : 1700499,consensus,0.375,zinc15
[H][C@]1(N)OC2=CC=CC=C2[C@]([H])(O)S1,DVFUKUONLVBBEH-SFYZADRCSA-N,CC[C@H]1C[C@@H](O)c2ccccc2O1,ZINC15 : 1700496,consensus,0.375,zinc15
[H][C@]1(N)OC2=CC=CC=C2[C@]([H])(O)S1,DVFUKUONLVBBEH-SFYZADRCSA-N,C[C@@H]1Oc2ccccc2[C@H]1[NH3+],ZINC15 : 43633471,consensus,0.3611111111111111,zinc15
[H][C@]1(N)OC2=CC=CC=C2[C@]([H])(O)S1,DVFUKUONLVBBEH-SFYZADRCSA-N,C[C@H]1Oc2ccccc2[C@@H]1[NH3+],ZINC15 : 43633473,consensus,0.3611111111111111,zinc15
[H][C@]1(N)OC2=CC=CC=C2[C@]([H])(O)S1,DVFUKUONLVBBEH-SFYZADRCSA-N,C[C@H]1Oc2ccccc2[C@H]1[NH3+],ZINC15 : 43633469,consensus,0.3611111111111111,zinc15
[H][C@]1(N)OC2=CC=CC=C2[C@]([H])(O)S1,DVFUKUONLVBBEH-SFYZADRCSA-N,C[C@@H]1Oc2ccccc2[C@@H]1[NH3+],ZINC15 : 43633475,consensus,0.3611111111111111,zinc15
[H][C@]1(N)OC2=CC=CC=C2[C@]([H])(O)S1,DVFUKUONLVBBEH-SFYZADRCSA-N,C[C@@H]1Oc2ccccc2[C@H]1NC(N)=[NH2+],ZINC15 : 849028464,consensus,0.35714285714285715,zinc15
[H][C@]1(N)OC2=CC=CC=C2[C@]([H])(O)S1,DVFUKUONLVBBEH-SFYZADRCSA-N,C[C@H]1Oc2ccccc2[C@H]1NC(N)=[NH2+],ZINC15 : 849028463,consensus,0.35714285714285715,zinc15
[H][C@]1(N)OC2=CC=CC=C2[C@]([H])(O)S1,DVFUKUONLVBBEH-SFYZADRCSA-N,C[C@@H]1Oc2ccccc2[C@@H]1NC(N)=[NH2+],ZINC15 : 849028462,consensus,0.35714285714285715,zinc15
[H][C@]1(N)OC2=CC=CC=C2[C@]([H])(O)S1,DVFUKUONLVBBEH-SFYZADRCSA-N,C[C@H]1Oc2ccccc2[C@@H]1NC(N)=[NH2+],ZINC15 : 849028461,consensus,0.35714285714285715,zinc15
[H][C@]1(N)OC2=CC=CC=C2[C@]([H])(O)S1,DVFUKUONLVBBEH-SFYZADRCSA-N,C[C@H]1Oc2ccccc2[C@@H]1NC(N)=O,ZINC15 : 335659570,consensus,0.35714285714285715,zinc15
