query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,DYKFCLLONBREIL-KVUCHLLUSA-N,CN(C)c1ccc(O)c2c1C[C@@H]1C[C@@H]3[C@H]([NH+](C)C)C([O-])=C(C(N)=O)C(=O)[C@@]3(O)C(=O)C1=C2[O-],ZINC15 : ZINC000009211800,consensus,0.581081081081081,zinc15
[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,DYKFCLLONBREIL-KVUCHLLUSA-N,CN(C)c1ccc(O)c2c1C[C@@H]1C[C@H]3[C@H]([NH+](C)C)C([O-])=C(C(N)=O)C(=O)[C@@]3(O)C(=O)C1=C2[O-],ZINC15 : ZINC000026955544,consensus,0.581081081081081,zinc15
[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,DYKFCLLONBREIL-KVUCHLLUSA-N,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H]([NH+](C)C)C([O-])=C(C(N)=O)C(=O)[C@@]3(O)C(=O)C1=C2[O-],ZINC15 : ZINC000169729406,consensus,0.581081081081081,zinc15
[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,DYKFCLLONBREIL-KVUCHLLUSA-N,CN(C)c1ccc(O)c2c1C[C@@H]1C[C@@H]3[C@H]([NH+](C)C)C([O-])=C(C(N)=O)C(=O)[C@]3(O)C(=O)C1=C2[O-],ZINC15 : ZINC000036372473,consensus,0.581081081081081,zinc15
[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,DYKFCLLONBREIL-KVUCHLLUSA-N,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H]([NH+](C)C)C([O-])=C(C(N)=O)C(=O)[C@]3(O)C(=O)C1=C2[O-],ZINC15 : ZINC000018272309,consensus,0.581081081081081,zinc15
[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,DYKFCLLONBREIL-KVUCHLLUSA-N,CN(C)c1ccc(O)c2c1C[C@H]1C[C@@H]3[C@H]([NH+](C)C)C([O-])=C(C(N)=O)C(=O)[C@]3(O)C(=O)C1=C2[O-],ZINC15 : ZINC000019868839,consensus,0.581081081081081,zinc15
[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,DYKFCLLONBREIL-KVUCHLLUSA-N,CN(C)c1ccc(O)c2c1C[C@@H]1C[C@H]3[C@@H]([NH+](C)C)C([O-])=C(C(N)=O)C(=O)[C@]3(O)C(=O)C1=C2[O-],ZINC15 : ZINC000019800832,consensus,0.581081081081081,zinc15
[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,DYKFCLLONBREIL-KVUCHLLUSA-N,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@@H]([NH+](C)C)C([O-])=C(C(N)=O)C(=O)[C@@]3(O)C(=O)C1=C2[O-],ZINC15 : ZINC000100409824,consensus,0.581081081081081,zinc15
[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,DYKFCLLONBREIL-KVUCHLLUSA-N,CN(C)c1ccc(O)c2c1C[C@@H]1C[C@@H]3[C@@H]([NH+](C)C)C([O-])=C(C(N)=O)C(=O)[C@]3(O)C(=O)C1=C2[O-],ZINC15 : ZINC000019800833,consensus,0.581081081081081,zinc15
[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,DYKFCLLONBREIL-KVUCHLLUSA-N,CN(C)c1ccc(O)c2c1C[C@H]1C[C@@H]3[C@@H]([NH+](C)C)C([O-])=C(C(N)=O)C(=O)[C@]3(O)C(=O)C1=C2[O-],ZINC15 : ZINC000019800831,consensus,0.581081081081081,zinc15
[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,DYKFCLLONBREIL-KVUCHLLUSA-N,CN(C)c1ccc(O)c2c1C[C@@H]1C[C@H]3[C@@H]([NH+](C)C)C([O-])=C(C(N)=O)C(=O)[C@@]3(O)C(=O)C1=C2[O-],ZINC15 : ZINC000013783865,consensus,0.581081081081081,zinc15
