query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)CCC(O)C(C)(C)O,FCKJYANJHNLEEP-SRLFHJKTSA-N,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CC[C@@H](O)C(C)(C)O)CC[C@H]12,ZINC15 : ZINC000008552023,morgan,1.0,zinc15
[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)CCC(O)C(C)(C)O,FCKJYANJHNLEEP-SRLFHJKTSA-N,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CC[C@@H](O)C(C)(C)O,ZINC15 : ZINC000100051969,morgan,1.0,zinc15
[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)CCC(O)C(C)(C)O,FCKJYANJHNLEEP-SRLFHJKTSA-N,C=C1CC[C@H](O)C/C1=C/C=C1/CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CC[C@@H](O)C(C)(C)O,ZINC15 : ZINC000004474661,morgan,1.0,zinc15
[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)CCC(O)C(C)(C)O,FCKJYANJHNLEEP-SRLFHJKTSA-N,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CC[C@H](O)C(C)(C)O,ZINC15 : ZINC000029399875,morgan,1.0,zinc15
[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)CCC(O)C(C)(C)O,FCKJYANJHNLEEP-SRLFHJKTSA-N,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]1CC[C@H]2[C@H](C)CCCC(C)(C)O,ZINC15 : ZINC000026891873,morgan,0.8064516129032258,zinc15
[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)CCC(O)C(C)(C)O,FCKJYANJHNLEEP-SRLFHJKTSA-N,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@@H]([C@@H](C)CCCC(C)(C)O)CC[C@H]12,ZINC15 : ZINC000026891878,morgan,0.8064516129032258,zinc15
[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)CCC(O)C(C)(C)O,FCKJYANJHNLEEP-SRLFHJKTSA-N,C=C1CC[C@@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)(C)O,ZINC15 : ZINC000012484926,morgan,0.8064516129032258,zinc15
[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)CCC(O)C(C)(C)O,FCKJYANJHNLEEP-SRLFHJKTSA-N,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]1CC[C@H]2[C@@H](C)CCCC(C)(C)O,ZINC15 : ZINC000138505411,morgan,0.8064516129032258,zinc15
[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)CCC(O)C(C)(C)O,FCKJYANJHNLEEP-SRLFHJKTSA-N,C=C1CC[C@H](O)C/C1=C/C=C1/CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)(C)O,ZINC15 : ZINC000100605450,morgan,0.8064516129032258,zinc15
[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)CCC(O)C(C)(C)O,FCKJYANJHNLEEP-SRLFHJKTSA-N,C=C1CC[C@@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@H]12,ZINC15 : ZINC000012484919,morgan,0.8064516129032258,zinc15
[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)CCC(O)C(C)(C)O,FCKJYANJHNLEEP-SRLFHJKTSA-N,C=C1CC[C@H](O)C/C1=C\C=C1/CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)(C)O,ZINC15 : ZINC000013525982,morgan,0.8064516129032258,zinc15
[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)CCC(O)C(C)(C)O,FCKJYANJHNLEEP-SRLFHJKTSA-N,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@H]12,ZINC15 : ZINC000026891883,morgan,0.8064516129032258,zinc15
[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)CCC(O)C(C)(C)O,FCKJYANJHNLEEP-SRLFHJKTSA-N,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@H]12,ZINC15 : ZINC000004623695,morgan,0.8064516129032258,zinc15
[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)CCC(O)C(C)(C)O,FCKJYANJHNLEEP-SRLFHJKTSA-N,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)(C)O,ZINC15 : ZINC000004474414,morgan,0.8064516129032258,zinc15
