query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[225Ac+3].CC(C)C[C@H](NC(=O)CNC(=O)[C@H](CC1=CC=CS1)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)CN1CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC1)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O,FMQURNZNWLIWQS-BCAUDCSCSA-K,CC(C)C[C@H](NC(=O)CNC(=O)[C@H](C)[NH3+])C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCC(=O)[O-])C(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)[O-],ZINC15 : ZINC000584571164,morgan,0.44029850746268656,zinc15
[225Ac+3].CC(C)C[C@H](NC(=O)CNC(=O)[C@H](CC1=CC=CS1)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)CN1CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC1)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O,FMQURNZNWLIWQS-BCAUDCSCSA-K,CC(C)C[C@H](NC(=O)CNC(=O)[C@H](C)[NH3+])C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCC(=O)[O-])C(=O)N[C@H](CCCC[NH3+])C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)[O-],ZINC15 : ZINC000584571163,morgan,0.44029850746268656,zinc15
[225Ac+3].CC(C)C[C@H](NC(=O)CNC(=O)[C@H](CC1=CC=CS1)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)CN1CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC1)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O,FMQURNZNWLIWQS-BCAUDCSCSA-K,CC(C)C[C@H](NC(=O)CNC(=O)[C@H](C)[NH3+])C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCC(=O)[O-])C(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)[O-],ZINC15 : ZINC000584571162,morgan,0.44029850746268656,zinc15
[225Ac+3].CC(C)C[C@H](NC(=O)CNC(=O)[C@H](CC1=CC=CS1)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)CN1CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC1)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O,FMQURNZNWLIWQS-BCAUDCSCSA-K,CC(C)C[C@H](NC(=O)CNC(=O)[C@H](C)[NH3+])C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCC(=O)[O-])C(=O)N[C@H](CCCC[NH3+])C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)[O-],ZINC15 : ZINC000584571165,morgan,0.44029850746268656,zinc15
[225Ac+3].CC(C)C[C@H](NC(=O)CNC(=O)[C@H](CC1=CC=CS1)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)CN1CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC1)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O,FMQURNZNWLIWQS-BCAUDCSCSA-K,NCC(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)NCC(=O)N[C@H](CC(=O)[O-])C(=O)N[C@H](CO)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCC[NH3+])C(=O)[O-],ZINC15 : ZINC000644163988,morgan,0.3722627737226277,zinc15
[225Ac+3].CC(C)C[C@H](NC(=O)CNC(=O)[C@H](CC1=CC=CS1)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)CN1CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC1)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O,FMQURNZNWLIWQS-BCAUDCSCSA-K,NCC(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)NCC(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCC[NH3+])C(=O)[O-],ZINC15 : ZINC000038989354,morgan,0.3722627737226277,zinc15
[225Ac+3].CC(C)C[C@H](NC(=O)CNC(=O)[C@H](CC1=CC=CS1)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)CN1CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC1)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O,FMQURNZNWLIWQS-BCAUDCSCSA-K,NCC(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)NCC(=O)N[C@H](CC(=O)[O-])C(=O)N[C@H](CO)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCC[NH3+])C(=O)[O-],ZINC15 : ZINC000644163989,morgan,0.3722627737226277,zinc15
[225Ac+3].CC(C)C[C@H](NC(=O)CNC(=O)[C@H](CC1=CC=CS1)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)CN1CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC1)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O,FMQURNZNWLIWQS-BCAUDCSCSA-K,NCC(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)NCC(=O)N[C@H](CC(=O)[O-])C(=O)N[C@H](CO)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCC[NH3+])C(=O)[O-],ZINC15 : ZINC000644163991,morgan,0.3722627737226277,zinc15
[225Ac+3].CC(C)C[C@H](NC(=O)CNC(=O)[C@H](CC1=CC=CS1)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)CN1CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC1)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O,FMQURNZNWLIWQS-BCAUDCSCSA-K,NCC(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)NCC(=O)N[C@H](CC(=O)[O-])C(=O)N[C@H](CO)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCC[NH3+])C(=O)[O-],ZINC15 : ZINC000644163990,morgan,0.3722627737226277,zinc15
[225Ac+3].CC(C)C[C@H](NC(=O)CNC(=O)[C@H](CC1=CC=CS1)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)CN1CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC1)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O,FMQURNZNWLIWQS-BCAUDCSCSA-K,NC(=[NH2+])NCCC[C@H](NC(=O)C[NH3+])C(=O)NCC(=O)N[C@H](CC(=O)[O-])C(=O)N[C@H](CO)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCC[NH3+])C(=O)[O-],ZINC15 : ZINC000644163989,morgan,0.36496350364963503,zinc15
