query_smiles,query_inchikey,smiles,identifier,search_type,score,database
OCC1OC(SC2=CN=CC(Br)=C2)C(O)C(C1O)N1C=C(N=N1)C1=CC(F)=C(F)C(F)=C1,FNCLKJPMEFPXOR-UHFFFAOYSA-N,OC[C@H]1O[C@@H](O)[C@H](n2cc(-c3ccc(F)c(F)c3)nn2)[C@@H](O)[C@@H]1O,ZINC15 : ZINC001254113915,morgan,0.4714285714285714,zinc15
OCC1OC(SC2=CN=CC(Br)=C2)C(O)C(C1O)N1C=C(N=N1)C1=CC(F)=C(F)C(F)=C1,FNCLKJPMEFPXOR-UHFFFAOYSA-N,OC[C@H]1O[C@H](O)[C@H](n2cc(-c3ccc(F)c(F)c3)nn2)[C@@H](O)[C@@H]1O,ZINC15 : ZINC001254113918,morgan,0.4714285714285714,zinc15
OCC1OC(SC2=CN=CC(Br)=C2)C(O)C(C1O)N1C=C(N=N1)C1=CC(F)=C(F)C(F)=C1,FNCLKJPMEFPXOR-UHFFFAOYSA-N,OC[C@H]1O[C@H](O)[C@H](n2cc(-c3cc(F)cc(F)c3)nn2)[C@@H](O)[C@@H]1O,ZINC15 : ZINC001254113759,morgan,0.47058823529411764,zinc15
OCC1OC(SC2=CN=CC(Br)=C2)C(O)C(C1O)N1C=C(N=N1)C1=CC(F)=C(F)C(F)=C1,FNCLKJPMEFPXOR-UHFFFAOYSA-N,OC[C@H]1O[C@@H](O)[C@H](n2cc(-c3cc(F)cc(F)c3)nn2)[C@@H](O)[C@@H]1O,ZINC15 : ZINC001254113758,morgan,0.47058823529411764,zinc15
OCC1OC(SC2=CN=CC(Br)=C2)C(O)C(C1O)N1C=C(N=N1)C1=CC(F)=C(F)C(F)=C1,FNCLKJPMEFPXOR-UHFFFAOYSA-N,OC[C@H]1O[C@@H](n2cc(-c3ccc(F)c(F)c3)nn2)[C@H](O)[C@@H](O)[C@H]1O,ZINC15 : ZINC001254109784,morgan,0.43661971830985913,zinc15
OCC1OC(SC2=CN=CC(Br)=C2)C(O)C(C1O)N1C=C(N=N1)C1=CC(F)=C(F)C(F)=C1,FNCLKJPMEFPXOR-UHFFFAOYSA-N,OC[C@H]1O[C@@H](n2cc(-c3ccc(Br)cc3)nn2)[C@H](O)[C@@H](O)[C@H]1O,ZINC15 : ZINC000049113277,morgan,0.43478260869565216,zinc15
OCC1OC(SC2=CN=CC(Br)=C2)C(O)C(C1O)N1C=C(N=N1)C1=CC(F)=C(F)C(F)=C1,FNCLKJPMEFPXOR-UHFFFAOYSA-N,OC[C@H]1O[C@@H](n2cc(-c3cc(F)cc(F)c3)nn2)[C@H](O)[C@@H](O)[C@H]1O,ZINC15 : ZINC001254110308,morgan,0.43478260869565216,zinc15
OCC1OC(SC2=CN=CC(Br)=C2)C(O)C(C1O)N1C=C(N=N1)C1=CC(F)=C(F)C(F)=C1,FNCLKJPMEFPXOR-UHFFFAOYSA-N,OC[C@H]1O[C@H](O)[C@H](n2cc(-c3cncnc3)nn2)[C@@H](O)[C@@H]1O,ZINC15 : ZINC001254114527,morgan,0.43478260869565216,zinc15
OCC1OC(SC2=CN=CC(Br)=C2)C(O)C(C1O)N1C=C(N=N1)C1=CC(F)=C(F)C(F)=C1,FNCLKJPMEFPXOR-UHFFFAOYSA-N,OC[C@H]1O[C@@H](O)[C@H](n2cc(-c3cncnc3)nn2)[C@@H](O)[C@@H]1O,ZINC15 : ZINC001254114526,morgan,0.43478260869565216,zinc15
OCC1OC(SC2=CN=CC(Br)=C2)C(O)C(C1O)N1C=C(N=N1)C1=CC(F)=C(F)C(F)=C1,FNCLKJPMEFPXOR-UHFFFAOYSA-N,Cc1cnc(-c2cn([C@H]3[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]3O)nn2)c(F)c1,ZINC15 : ZINC001254114621,morgan,0.43243243243243246,zinc15
OCC1OC(SC2=CN=CC(Br)=C2)C(O)C(C1O)N1C=C(N=N1)C1=CC(F)=C(F)C(F)=C1,FNCLKJPMEFPXOR-UHFFFAOYSA-N,Cc1cnc(-c2cn([C@@H]3[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]3O)nn2)c(F)c1,ZINC15 : ZINC001254114622,morgan,0.43243243243243246,zinc15
OCC1OC(SC2=CN=CC(Br)=C2)C(O)C(C1O)N1C=C(N=N1)C1=CC(F)=C(F)C(F)=C1,FNCLKJPMEFPXOR-UHFFFAOYSA-N,OC[C@H]1O[C@H](O)[C@H](n2cc(-c3cccc(F)c3)nn2)[C@@H](O)[C@@H]1O,ZINC15 : ZINC001254114505,morgan,0.4305555555555556,zinc15
OCC1OC(SC2=CN=CC(Br)=C2)C(O)C(C1O)N1C=C(N=N1)C1=CC(F)=C(F)C(F)=C1,FNCLKJPMEFPXOR-UHFFFAOYSA-N,OC[C@H]1O[C@@H](O)[C@H](n2cc(-c3cccc(F)c3)nn2)[C@@H](O)[C@@H]1O,ZINC15 : ZINC001254114504,morgan,0.4305555555555556,zinc15
OCC1OC(SC2=CN=CC(Br)=C2)C(O)C(C1O)N1C=C(N=N1)C1=CC(F)=C(F)C(F)=C1,FNCLKJPMEFPXOR-UHFFFAOYSA-N,OC[C@H]1O[C@H](O)[C@H](n2cc(-c3ccc(F)nc3)nn2)[C@@H](O)[C@@H]1O,ZINC15 : ZINC001254113974,morgan,0.4305555555555556,zinc15
OCC1OC(SC2=CN=CC(Br)=C2)C(O)C(C1O)N1C=C(N=N1)C1=CC(F)=C(F)C(F)=C1,FNCLKJPMEFPXOR-UHFFFAOYSA-N,OC[C@H]1O[C@@H](O)[C@H](n2cc(-c3ccc(F)nc3)nn2)[C@@H](O)[C@@H]1O,ZINC15 : ZINC001254113973,morgan,0.4305555555555556,zinc15
