query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CCCCCC[C@H](C)NN,ZINC15 : 19167664,consensus,1.0,zinc15
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CCCCCC[C@@H](C)NN,ZINC15 : 19168143,consensus,1.0,zinc15
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CCC[C@H](C)NN,ZINC15 : 19275712,consensus,0.6363636363636364,zinc15
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CCC[C@@H](C)NN,ZINC15 : 19275710,consensus,0.6363636363636364,zinc15
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CCCCCCC(C)NC,ENAMINE-REAL : PV-005774911838,consensus,0.625,enamine-real
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CCCCC[C@H](C)NN[C@@H](C)CCCCC,ZINC15 : ZINC000019167522,consensus,0.6086956521739131,zinc15
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CCCCC[C@@H](C)NN[C@@H](C)CCCCC,ZINC15 : ZINC000019167519,consensus,0.6086956521739131,zinc15
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CCCCC[C@@H](C)NN[C@H](C)CCCCC,ZINC15 : ZINC000019167524,consensus,0.6086956521739131,zinc15
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CCCCCCC(C)NC(C)CN,ENAMINE-REAL : Z1836598059,consensus,0.5925925925925926,enamine-real
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CCCCCCC(C)N[C@H](C)CN,ENAMINE-REAL : Z2354613163,consensus,0.5925925925925926,enamine-real
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CCCCCCC(C)N[C@@H](C)CN,ENAMINE-REAL : Z2354648467,consensus,0.5925925925925926,enamine-real
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CCCCCCC(C)NC(C)CCCN,ENAMINE-REAL : Z2354756250,consensus,0.5925925925925926,enamine-real
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CC(C)CCC[C@H](C)NN,ZINC15 : 19168772,consensus,0.5833333333333334,zinc15
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CCCCCC(C)NC,ENAMINE-REAL : PV-004281125248,consensus,0.5833333333333334,enamine-real
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CCCCCC(C)NC(C)CCCC,ENAMINE-REAL : Z3228309526,consensus,0.5833333333333334,enamine-real
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CC(C)CCC[C@@H](C)NN,ZINC15 : 19168769,consensus,0.5833333333333334,zinc15
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CCCCCC[C@@H](CCC)NN,ZINC15 : 104570053,consensus,0.5769230769230769,zinc15
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CCCCCCC(C)NC(C)CC,ENAMINE-REAL : Z1436745226,consensus,0.5769230769230769,enamine-real
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CCCCCC[C@H](CCC)NN,ZINC15 : 104570057,consensus,0.5769230769230769,zinc15
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CCCCCCC(C)NC[C@@H](C)N,ENAMINE-REAL : Z3346741971,consensus,0.5714285714285714,enamine-real
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CCCCCCC(C)N[C@@H](C)[C@@H](C)N,ENAMINE-REAL : Z6131266342,consensus,0.5714285714285714,enamine-real
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CCCCCCC(C)NCCN,ENAMINE-REAL : Z2377692534,consensus,0.5714285714285714,enamine-real
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CCCCCCC(C)NCC(C)N,ENAMINE-REAL : Z2377935361,consensus,0.5714285714285714,enamine-real
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CCCCCCC(C)NC[C@H](C)N,ENAMINE-REAL : Z4169191058,consensus,0.5714285714285714,enamine-real
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CCCCCCC(C)NC(=O)NN,ENAMINE-REAL : Z2360490449,consensus,0.5666666666666667,enamine-real
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CCCCCCCCCCC(C)NC(=O)NN,ENAMINE-REAL : Z2362570729,consensus,0.5666666666666667,enamine-real
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,C[C@@H](CCCO)NN,ZINC15 : 104560060,consensus,0.56,zinc15
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CCCCCC(C)NCC,ENAMINE-REAL : PV-006409247021,consensus,0.56,enamine-real
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,C[C@H](CCCO)NN,ZINC15 : 104560063,consensus,0.56,zinc15
CCCCCCC(C)NN,FODQIVGFADUBKE-UHFFFAOYSA-N,CCCCCC(C)N[C@H](C)CN,ENAMINE-REAL : Z2354613153,consensus,0.5555555555555556,enamine-real
