query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H]N1C(=O)C=CN([C@@H]2O[C@H](CO)[C@@H](OP(O)(O)=O)[C@@H]2O)C1=O,FOGRQMPFHUHIGU-PXBUCIJWSA-N,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](OP(=O)([O-])[O-])[C@H]2O)c(=O)[nH]1,ZINC15 : ZINC000004095646,consensus,0.8163265306122449,zinc15
[H]N1C(=O)C=CN([C@@H]2O[C@H](CO)[C@@H](OP(O)(O)=O)[C@@H]2O)C1=O,FOGRQMPFHUHIGU-PXBUCIJWSA-N,CO[C@H]1[C@@H](O)[C@H](n2ccc(=O)[nH]c2=O)O[C@H]1CO,ZINC15 : ZINC000256836750,consensus,0.7346938775510204,zinc15
[H]N1C(=O)C=CN([C@@H]2O[C@H](CO)[C@@H](OP(O)(O)=O)[C@@H]2O)C1=O,FOGRQMPFHUHIGU-PXBUCIJWSA-N,CO[C@H]1[C@@H](O)[C@@H](n2ccc(=O)[nH]c2=O)O[C@H]1CO,ZINC15 : ZINC000004556987,consensus,0.7346938775510204,zinc15
[H]N1C(=O)C=CN([C@@H]2O[C@H](CO)[C@@H](OP(O)(O)=O)[C@@H]2O)C1=O,FOGRQMPFHUHIGU-PXBUCIJWSA-N,CO[C@H]1[C@H](O)[C@@H](n2ccc(=O)[nH]c2=O)O[C@H]1CO,ZINC15 : ZINC000080432139,consensus,0.7346938775510204,zinc15
[H]N1C(=O)C=CN([C@@H]2O[C@H](CO)[C@@H](OP(O)(O)=O)[C@@H]2O)C1=O,FOGRQMPFHUHIGU-PXBUCIJWSA-N,CO[C@H]1[C@H](O)[C@H](n2ccc(=O)[nH]c2=O)O[C@H]1CO,ZINC15 : ZINC000136551989,consensus,0.7346938775510204,zinc15
[H]N1C(=O)C=CN([C@@H]2O[C@H](CO)[C@@H](OP(O)(O)=O)[C@@H]2O)C1=O,FOGRQMPFHUHIGU-PXBUCIJWSA-N,CO[C@H]1[C@@H](O)[C@H](n2ccc(=O)[nH]c2=O)O[C@@H]1CO,ZINC15 : ZINC000044169895,consensus,0.7346938775510204,zinc15
[H]N1C(=O)C=CN([C@@H]2O[C@H](CO)[C@@H](OP(O)(O)=O)[C@@H]2O)C1=O,FOGRQMPFHUHIGU-PXBUCIJWSA-N,O=c1ccn([C@@H]2O[C@H](CO[P@](=O)([O-])O[C@H]3[C@@H](O)[C@@H](n4ccc(=O)[nH]c4=O)O[C@H]3CO)[C@H](O)[C@H]2O)c(=O)[nH]1,ZINC15 : ZINC000256689668,consensus,0.7142857142857143,zinc15
[H]N1C(=O)C=CN([C@@H]2O[C@H](CO)[C@@H](OP(O)(O)=O)[C@@H]2O)C1=O,FOGRQMPFHUHIGU-PXBUCIJWSA-N,O=c1ccn([C@@H]2O[C@H](CO[P@](=O)([O-])O[C@H]3[C@@H](O)[C@@H](n4ccc(=O)[nH]c4=O)O[C@H]3CO)[C@H](O)[C@@H]2O)c(=O)[nH]1,ZINC15 : ZINC000256689663,consensus,0.7142857142857143,zinc15
[H]N1C(=O)C=CN([C@@H]2O[C@H](CO)[C@@H](OP(O)(O)=O)[C@@H]2O)C1=O,FOGRQMPFHUHIGU-PXBUCIJWSA-N,O=c1ccn([C@@H]2O[C@H](CO[P@](=O)([O-])O[C@H]3[C@@H](O)[C@@H](n4ccc(=O)[nH]c4=O)O[C@H]3CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,ZINC15 : ZINC000256689671,consensus,0.7142857142857143,zinc15
[H]N1C(=O)C=CN([C@@H]2O[C@H](CO)[C@@H](OP(O)(O)=O)[C@@H]2O)C1=O,FOGRQMPFHUHIGU-PXBUCIJWSA-N,O=c1ccn([C@@H]2O[C@H](CO[P@](=O)([O-])O[C@H]3[C@@H](O)[C@@H](n4ccc(=O)[nH]c4=O)O[C@H]3CO)[C@@H](O)[C@@H]2O)c(=O)[nH]1,ZINC15 : ZINC000256689675,consensus,0.7142857142857143,zinc15
