query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H]N([H])C(=O)[C@H](CC(O)=O)N([H])C(=O)[C@H](CC1=CC=CC=C1)N([H])[C@@H](CCC1=CC=CC=C1)C(O)=O,FOJUHLDAXGNCIP-FHWLQOOXSA-N,NC(=O)C(CC1=CC=CC=C1)NC(=O)[C@@H](N)CCC1=CC=CC=C1,ENAMINE-REAL : Z3100746151,consensus,0.6041666666666666,enamine-real
[H]N([H])C(=O)[C@H](CC(O)=O)N([H])C(=O)[C@H](CC1=CC=CC=C1)N([H])[C@@H](CCC1=CC=CC=C1)C(O)=O,FOJUHLDAXGNCIP-FHWLQOOXSA-N,NC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)[C@H](N)CCC1=CC=CC=C1,ENAMINE-REAL : Z6275967484,consensus,0.6041666666666666,enamine-real
[H]N([H])C(=O)[C@H](CC(O)=O)N([H])C(=O)[C@H](CC1=CC=CC=C1)N([H])[C@@H](CCC1=CC=CC=C1)C(O)=O,FOJUHLDAXGNCIP-FHWLQOOXSA-N,NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CCC1=CC=CC=C1,ENAMINE-REAL : Z6275967459,consensus,0.6041666666666666,enamine-real
[H]N([H])C(=O)[C@H](CC(O)=O)N([H])C(=O)[C@H](CC1=CC=CC=C1)N([H])[C@@H](CCC1=CC=CC=C1)C(O)=O,FOJUHLDAXGNCIP-FHWLQOOXSA-N,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](O)CCc1ccccc1,ZINC15 : ZINC000344191285,consensus,0.6041666666666666,zinc15
[H]N([H])C(=O)[C@H](CC(O)=O)N([H])C(=O)[C@H](CC1=CC=CC=C1)N([H])[C@@H](CCC1=CC=CC=C1)C(O)=O,FOJUHLDAXGNCIP-FHWLQOOXSA-N,NC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CCC1=CC=CC=C1,ENAMINE-REAL : Z6275967487,consensus,0.6041666666666666,enamine-real
[H]N([H])C(=O)[C@H](CC(O)=O)N([H])C(=O)[C@H](CC1=CC=CC=C1)N([H])[C@@H](CCC1=CC=CC=C1)C(O)=O,FOJUHLDAXGNCIP-FHWLQOOXSA-N,NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](O)CCc1ccccc1,ZINC15 : ZINC000344191283,consensus,0.6041666666666666,zinc15
[H]N([H])C(=O)[C@H](CC(O)=O)N([H])C(=O)[C@H](CC1=CC=CC=C1)N([H])[C@@H](CCC1=CC=CC=C1)C(O)=O,FOJUHLDAXGNCIP-FHWLQOOXSA-N,NC(=O)C(CC1=CC=CC=C1)NC(=O)[C@H](N)CCC1=CC=CC=C1,ENAMINE-REAL : Z3100746153,consensus,0.6041666666666666,enamine-real
[H]N([H])C(=O)[C@H](CC(O)=O)N([H])C(=O)[C@H](CC1=CC=CC=C1)N([H])[C@@H](CCC1=CC=CC=C1)C(O)=O,FOJUHLDAXGNCIP-FHWLQOOXSA-N,NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](O)CCc1ccccc1,ZINC15 : ZINC000344191287,consensus,0.6041666666666666,zinc15
[H]N([H])C(=O)[C@H](CC(O)=O)N([H])C(=O)[C@H](CC1=CC=CC=C1)N([H])[C@@H](CCC1=CC=CC=C1)C(O)=O,FOJUHLDAXGNCIP-FHWLQOOXSA-N,NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](N)CCC1=CC=CC=C1,ENAMINE-REAL : Z6275967455,consensus,0.6041666666666666,enamine-real
[H]N([H])C(=O)[C@H](CC(O)=O)N([H])C(=O)[C@H](CC1=CC=CC=C1)N([H])[C@@H](CCC1=CC=CC=C1)C(O)=O,FOJUHLDAXGNCIP-FHWLQOOXSA-N,CC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCC1=CC=CC=C1)C(=O)O,ENAMINE-REAL : Z4573820391,consensus,0.5918367346938775,enamine-real
