query_smiles,query_inchikey,smiles,identifier,search_type,score,database
COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1O,FPLMIPQZHHQWHN-UHFFFAOYSA-N,COc1cc(O)c2c(c1)oc(-c1ccc(OC)c(O)c1)c(O)c2=O,ZINC15 : ZINC000001645590,consensus,0.8409090909090909,zinc15
COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1O,FPLMIPQZHHQWHN-UHFFFAOYSA-N,COc1ccc(-c2oc3cc([O-])cc(O)c3c(=O)c2O)cc1O,ZINC15 : ZINC000006484604,consensus,0.782608695652174,zinc15
COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1O,FPLMIPQZHHQWHN-UHFFFAOYSA-N,COc1ccc(-c2oc3cc(OC)c(OC)c(O)c3c(=O)c2O)cc1O,ZINC15 : ZINC000005733650,consensus,0.723404255319149,zinc15
COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1O,FPLMIPQZHHQWHN-UHFFFAOYSA-N,COc1cc(O)c2c(c1)oc(-c1ccc(O)c(OC)c1)c(O)c2=O,ZINC15 : ZINC000006403375,consensus,0.6875,zinc15
COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1O,FPLMIPQZHHQWHN-UHFFFAOYSA-N,COc1cc([O-])c2c(=O)c(O)c(-c3ccc(OC)c(O)c3)oc2c1,ZINC15 : ZINC000001645590,consensus,0.68,zinc15
COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1O,FPLMIPQZHHQWHN-UHFFFAOYSA-N,COc1ccc(-c2oc3cc(OC)c(OC)c([O-])c3c(=O)c2O)cc1O,ZINC15 : ZINC000005733650,consensus,0.68,zinc15
COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1O,FPLMIPQZHHQWHN-UHFFFAOYSA-N,COc1cc(O)c2c(c1)oc(-c1ccc(OC)c(O)c1)c(OC)c2=O,ZINC15 : ZINC000006484603,consensus,0.673469387755102,zinc15
COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1O,FPLMIPQZHHQWHN-UHFFFAOYSA-N,COc1ccc(-c2oc3cc([O-])cc(O)c3c(=O)c2O)cc1OC,ZINC15 : ZINC000006018683,consensus,0.673469387755102,zinc15
COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1O,FPLMIPQZHHQWHN-UHFFFAOYSA-N,COc1cc(-c2oc3cc([O-])cc(O)c3c(=O)c2O)ccc1O,ZINC15 : ZINC000000517261,consensus,0.64,zinc15
COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1O,FPLMIPQZHHQWHN-UHFFFAOYSA-N,COc1ccc(-c2oc3cc(OC)cc(O)c3c(=O)c2O)cc1,ZINC15 : ZINC000005733531,consensus,0.6382978723404256,zinc15
COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1O,FPLMIPQZHHQWHN-UHFFFAOYSA-N,COc1cc(O)c2c(c1)oc(-c1ccc(O)cc1)c(O)c2=O,ZINC15 : ZINC000005998754,consensus,0.6382978723404256,zinc15
