query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CC(C)(F)C[C@H](N[C@@H](C1=CC=C(C=C1)C1=CC=C(C=C1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1(CC1)C#N,FWIVDMJALNEADT-SFTDATJTSA-N,CC(C)(F)C[C@H](N[C@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1,ZINC15 : ZINC000083259422,consensus,1.0,zinc15
CC(C)(F)C[C@H](N[C@@H](C1=CC=C(C=C1)C1=CC=C(C=C1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1(CC1)C#N,FWIVDMJALNEADT-SFTDATJTSA-N,CC(C)(F)C[C@@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1,ZINC15 : ZINC000083259421,consensus,1.0,zinc15
CC(C)(F)C[C@H](N[C@@H](C1=CC=C(C=C1)C1=CC=C(C=C1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1(CC1)C#N,FWIVDMJALNEADT-SFTDATJTSA-N,CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1,ZINC15 : ZINC000042893657,consensus,1.0,zinc15
CC(C)(F)C[C@H](N[C@@H](C1=CC=C(C=C1)C1=CC=C(C=C1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1(CC1)C#N,FWIVDMJALNEADT-SFTDATJTSA-N,CC(C)(F)C[C@@H](N[C@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1,ZINC15 : ZINC000083259423,consensus,1.0,zinc15
CC(C)(F)C[C@H](N[C@@H](C1=CC=C(C=C1)C1=CC=C(C=C1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1(CC1)C#N,FWIVDMJALNEADT-SFTDATJTSA-N,C[C@@H](C(=O)NC1(C#N)CC1)c1ccc(S(C)(=O)=O)cc1,ZINC15 : ZINC000610650523,consensus,0.559322033898305,zinc15
CC(C)(F)C[C@H](N[C@@H](C1=CC=C(C=C1)C1=CC=C(C=C1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1(CC1)C#N,FWIVDMJALNEADT-SFTDATJTSA-N,C[C@H](C(=O)NC1(C#N)CC1)c1ccc(S(C)(=O)=O)cc1,ZINC15 : ZINC000610650522,consensus,0.559322033898305,zinc15
CC(C)(F)C[C@H](N[C@@H](C1=CC=C(C=C1)C1=CC=C(C=C1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1(CC1)C#N,FWIVDMJALNEADT-SFTDATJTSA-N,C[C@@H](N[C@@H](C)C(=O)NC1(C#N)CCC1)c1ccc(S(C)(=O)=O)cc1,ZINC15 : ZINC000345129377,consensus,0.5076923076923077,zinc15
CC(C)(F)C[C@H](N[C@@H](C1=CC=C(C=C1)C1=CC=C(C=C1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1(CC1)C#N,FWIVDMJALNEADT-SFTDATJTSA-N,C[C@@H](N[C@H](C)c1ccc(S(C)(=O)=O)cc1)C(=O)NC1(C#N)CCC1,ZINC15 : ZINC000345129375,consensus,0.5076923076923077,zinc15
CC(C)(F)C[C@H](N[C@@H](C1=CC=C(C=C1)C1=CC=C(C=C1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1(CC1)C#N,FWIVDMJALNEADT-SFTDATJTSA-N,CC(C)(F)C[C@H](NC(=c1ccc(=C2C=CC(=S(C)(=O)O)C=C2)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1,ZINC15 : ZINC001560410217,consensus,0.4805194805194805,zinc15
CC(C)(F)C[C@H](N[C@@H](C1=CC=C(C=C1)C1=CC=C(C=C1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1(CC1)C#N,FWIVDMJALNEADT-SFTDATJTSA-N,C[C@@H](C(=O)N[C@@]1(C#N)CCSC1)c1ccc(S(C)(=O)=O)cc1,ZINC15 : ZINC000610650386,consensus,0.45588235294117646,zinc15
CC(C)(F)C[C@H](N[C@@H](C1=CC=C(C=C1)C1=CC=C(C=C1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1(CC1)C#N,FWIVDMJALNEADT-SFTDATJTSA-N,C[C@@H](C(=O)N[C@]1(C#N)CCSC1)c1ccc(S(C)(=O)=O)cc1,ZINC15 : ZINC000610650385,consensus,0.45588235294117646,zinc15
CC(C)(F)C[C@H](N[C@@H](C1=CC=C(C=C1)C1=CC=C(C=C1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1(CC1)C#N,FWIVDMJALNEADT-SFTDATJTSA-N,C[C@H](C(=O)N[C@@]1(C#N)CCSC1)c1ccc(S(C)(=O)=O)cc1,ZINC15 : ZINC000610650388,consensus,0.45588235294117646,zinc15
CC(C)(F)C[C@H](N[C@@H](C1=CC=C(C=C1)C1=CC=C(C=C1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1(CC1)C#N,FWIVDMJALNEADT-SFTDATJTSA-N,C[C@@H](Oc1ccc(S(C)(=O)=O)cc1)C(=O)NC1(C#N)CCC1,ZINC15 : ZINC000344588163,consensus,0.44776119402985076,zinc15
CC(C)(F)C[C@H](N[C@@H](C1=CC=C(C=C1)C1=CC=C(C=C1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1(CC1)C#N,FWIVDMJALNEADT-SFTDATJTSA-N,C[C@H](Oc1ccc(S(C)(=O)=O)cc1)C(=O)NC1(C#N)CCC1,ZINC15 : ZINC000344588165,consensus,0.44776119402985076,zinc15
CC(C)(F)C[C@H](N[C@@H](C1=CC=C(C=C1)C1=CC=C(C=C1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1(CC1)C#N,FWIVDMJALNEADT-SFTDATJTSA-N,CC(C)(F)C[C@H](N[C@@H](c1ccc(Br)cc1)C(F)(F)F)C(=O)[O-],ZINC15 : ZINC000095079998,consensus,0.4444444444444444,zinc15
CC(C)(F)C[C@H](N[C@@H](C1=CC=C(C=C1)C1=CC=C(C=C1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1(CC1)C#N,FWIVDMJALNEADT-SFTDATJTSA-N,CCS(=O)(=O)c1ccc([C@H](C)N[C@H](C)C(=O)NC2(C#N)CCC2)cc1,ZINC15 : ZINC000560175160,consensus,0.42857142857142855,zinc15
CC(C)(F)C[C@H](N[C@@H](C1=CC=C(C=C1)C1=CC=C(C=C1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1(CC1)C#N,FWIVDMJALNEADT-SFTDATJTSA-N,CCS(=O)(=O)c1ccc([C@H](C)N[C@@H](C)C(=O)NC2(C#N)CCC2)cc1,ZINC15 : ZINC000560175156,consensus,0.42857142857142855,zinc15
CC(C)(F)C[C@H](N[C@@H](C1=CC=C(C=C1)C1=CC=C(C=C1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1(CC1)C#N,FWIVDMJALNEADT-SFTDATJTSA-N,CCS(=O)(=O)c1ccc([C@@H](C)N[C@H](C)C(=O)NC2(C#N)CCC2)cc1,ZINC15 : ZINC000560175161,consensus,0.42857142857142855,zinc15
CC(C)(F)C[C@H](N[C@@H](C1=CC=C(C=C1)C1=CC=C(C=C1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1(CC1)C#N,FWIVDMJALNEADT-SFTDATJTSA-N,CCS(=O)(=O)c1ccc([C@@H](C)N[C@@H](C)C(=O)NC2(C#N)CCC2)cc1,ZINC15 : ZINC000560175158,consensus,0.42857142857142855,zinc15
CC(C)(F)C[C@H](N[C@@H](C1=CC=C(C=C1)C1=CC=C(C=C1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1(CC1)C#N,FWIVDMJALNEADT-SFTDATJTSA-N,N#CC1(NC(=O)CN[C@@H](c2ccccc2)C(F)(F)F)CCCCC1,ZINC15 : ZINC000498654829,consensus,0.4264705882352941,zinc15
CC(C)(F)C[C@H](N[C@@H](C1=CC=C(C=C1)C1=CC=C(C=C1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1(CC1)C#N,FWIVDMJALNEADT-SFTDATJTSA-N,N#CC1(NC(=O)CN[C@H](c2ccccc2)C(F)(F)F)CCCCC1,ZINC15 : ZINC000498654832,consensus,0.4264705882352941,zinc15
