query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CCCCOC(=O)N1CCN(CC1)C(=O)[C@H](CP(O)(O)=O)NC(=O)C1=CC(=NC(=N1)C1=CC=CC=C1)N1CC[C@@H](C1)OC,FYXHWMQPCJOJCH-GMAHTHKFSA-N,COC1=CC(C)=NC(N2CCN(C(=O)C(CCSC)NC(=O)C3=CC=CC=C3)CC2)=N1,ENAMINE-REAL : Z1170602118,consensus,0.3541666666666667,enamine-real
CCCCOC(=O)N1CCN(CC1)C(=O)[C@H](CP(O)(O)=O)NC(=O)C1=CC(=NC(=N1)C1=CC=CC=C1)N1CC[C@@H](C1)OC,FYXHWMQPCJOJCH-GMAHTHKFSA-N,CCCC[C@H](COC)NC(=O)N1CCC(c2nc(-c3ccccc3)no2)CC1,ZINC15 : ZINC000153811725,consensus,0.35051546391752575,zinc15
CCCCOC(=O)N1CCN(CC1)C(=O)[C@H](CP(O)(O)=O)NC(=O)C1=CC(=NC(=N1)C1=CC=CC=C1)N1CC[C@@H](C1)OC,FYXHWMQPCJOJCH-GMAHTHKFSA-N,CCCC[C@H](COC)NC(=O)N1CCC(c2nc(-c3ccccc3)n[nH]2)CC1,ZINC15 : ZINC000605984605,consensus,0.35051546391752575,zinc15
CCCCOC(=O)N1CCN(CC1)C(=O)[C@H](CP(O)(O)=O)NC(=O)C1=CC(=NC(=N1)C1=CC=CC=C1)N1CC[C@@H](C1)OC,FYXHWMQPCJOJCH-GMAHTHKFSA-N,CCCC[C@@H](COC)NC(=O)N1CCC(c2nc(-c3ccccc3)n[nH]2)CC1,ZINC15 : ZINC000605984606,consensus,0.35051546391752575,zinc15
CCCCOC(=O)N1CCN(CC1)C(=O)[C@H](CP(O)(O)=O)NC(=O)C1=CC(=NC(=N1)C1=CC=CC=C1)N1CC[C@@H](C1)OC,FYXHWMQPCJOJCH-GMAHTHKFSA-N,CCCC[C@@H](COC)NC(=O)N1CCC(c2nc(-c3ccccc3)no2)CC1,ZINC15 : ZINC000153811599,consensus,0.35051546391752575,zinc15
CCCCOC(=O)N1CCN(CC1)C(=O)[C@H](CP(O)(O)=O)NC(=O)C1=CC(=NC(=N1)C1=CC=CC=C1)N1CC[C@@H](C1)OC,FYXHWMQPCJOJCH-GMAHTHKFSA-N,CSCCC(NC(=O)C1=CC=CC=C1)C(=O)N1CCC(C2=NC(C3=CC=CC=C3)=NN2)CC1,ENAMINE-REAL : Z1039649788,consensus,0.3473684210526316,enamine-real
CCCCOC(=O)N1CCN(CC1)C(=O)[C@H](CP(O)(O)=O)NC(=O)C1=CC(=NC(=N1)C1=CC=CC=C1)N1CC[C@@H](C1)OC,FYXHWMQPCJOJCH-GMAHTHKFSA-N,CCCC(NC(=O)CC1=CC=CC=C1)C(=O)N1CCC(C2=NC(C3=CC=CC=C3)=NN2)CC1,ENAMINE-REAL : Z1183707001,consensus,0.34375,enamine-real
CCCCOC(=O)N1CCN(CC1)C(=O)[C@H](CP(O)(O)=O)NC(=O)C1=CC(=NC(=N1)C1=CC=CC=C1)N1CC[C@@H](C1)OC,FYXHWMQPCJOJCH-GMAHTHKFSA-N,CCCC(NC(=O)CC1=CC=CC=C1)C(=O)N1CCC(C2=NC(C3=CC=CC=C3)=NO2)CC1,ENAMINE-REAL : Z1183529462,consensus,0.34375,enamine-real
CCCCOC(=O)N1CCN(CC1)C(=O)[C@H](CP(O)(O)=O)NC(=O)C1=CC(=NC(=N1)C1=CC=CC=C1)N1CC[C@@H](C1)OC,FYXHWMQPCJOJCH-GMAHTHKFSA-N,CCCC[C@@H](COC)NC(=O)N1CCC[C@H](c2nc(-c3ccccc3)n[nH]2)C1,ZINC15 : ZINC000181792631,consensus,0.3434343434343434,zinc15
CCCCOC(=O)N1CCN(CC1)C(=O)[C@H](CP(O)(O)=O)NC(=O)C1=CC(=NC(=N1)C1=CC=CC=C1)N1CC[C@@H](C1)OC,FYXHWMQPCJOJCH-GMAHTHKFSA-N,CCCC[C@@H](COC)NC(=O)N1CCC[C@@H](c2nc(-c3ccccc3)n[nH]2)C1,ZINC15 : ZINC000181792773,consensus,0.3434343434343434,zinc15
