query_smiles,query_inchikey,smiles,identifier,search_type,score,database
OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,GACTWZZMVMUKNG-SLPGGIOYSA-N,O=P([O-])([O-])OC[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO,ZINC15 : ZINC000002522704,consensus,0.6785714285714286,zinc15
OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,GACTWZZMVMUKNG-SLPGGIOYSA-N,O=P([O-])([O-])OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,ZINC15 : ZINC000002516111,consensus,0.6785714285714286,zinc15
OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,GACTWZZMVMUKNG-SLPGGIOYSA-N,O=P([O-])([O-])OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,ZINC15 : ZINC000003869812,consensus,0.6785714285714286,zinc15
OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,GACTWZZMVMUKNG-SLPGGIOYSA-N,O=P([O-])([O-])OC[C@H](O)[C@H](O)CO,ZINC15 : ZINC000005975509,consensus,0.5,zinc15
OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,GACTWZZMVMUKNG-SLPGGIOYSA-N,O=C[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000004545928,consensus,0.42857142857142855,zinc15
OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,GACTWZZMVMUKNG-SLPGGIOYSA-N,O=C[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000100889630,consensus,0.42857142857142855,zinc15
OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,GACTWZZMVMUKNG-SLPGGIOYSA-N,O=C[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000104861723,consensus,0.42857142857142855,zinc15
OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,GACTWZZMVMUKNG-SLPGGIOYSA-N,O=C[C@H](O)[C@H](O)[C@@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000012503763,consensus,0.42857142857142855,zinc15
OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,GACTWZZMVMUKNG-SLPGGIOYSA-N,O=C[C@H](O)[C@H](O)[C@H](O)[C@@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000012503760,consensus,0.42857142857142855,zinc15
OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,GACTWZZMVMUKNG-SLPGGIOYSA-N,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000100033330,consensus,0.42857142857142855,zinc15
OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,GACTWZZMVMUKNG-SLPGGIOYSA-N,O=C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000002508229,consensus,0.42857142857142855,zinc15
OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,GACTWZZMVMUKNG-SLPGGIOYSA-N,O=C[C@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000100067275,consensus,0.42857142857142855,zinc15
OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,GACTWZZMVMUKNG-SLPGGIOYSA-N,O=C[C@@H](O)[C@@H](O)[C@@H](O)[C@@H](O)COP(=O)([O-])[O-],ZINC15 : ZINC000004545927,consensus,0.42857142857142855,zinc15
