query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CC(=O)C1C(=O)C=C2Oc3c(-c4csc(N/N=C/c5sccc5C)n4)c(O)c(C)c(O)c3[C@]2(C)C1=O,GBVXANLRSHPVHG-LKHDNLNLSA-N,CC(=O)c1c2c(c(O)c(C)c1O)[C@]1(C)C(=CC(=O)C(C(C)=Nc3c([O-])ccc4c(C)cc(=O)oc43)C1=O)O2,ZINC15 : ZINC000828407458,consensus,0.37755102040816324,zinc15
CC(=O)C1C(=O)C=C2Oc3c(-c4csc(N/N=C/c5sccc5C)n4)c(O)c(C)c(O)c3[C@]2(C)C1=O,GBVXANLRSHPVHG-LKHDNLNLSA-N,CNc1nc(-c2ccc(OC)c(NC(C)=C3C(=O)C=C4Oc5c(c(O)c(C)c(O)c5C(C)=O)[C@@]4(C)C3=O)c2)cs1,ZINC15 : ZINC000824100933,consensus,0.36538461538461536,zinc15
CC(=O)C1C(=O)C=C2Oc3c(-c4csc(N/N=C/c5sccc5C)n4)c(O)c(C)c(O)c3[C@]2(C)C1=O,GBVXANLRSHPVHG-LKHDNLNLSA-N,CC(=O)c1c2c(c(O)c(C)c1O)[C@]1(C)C(=CC(=O)C(=C(C)Nc3cccc(-c4csc(C)n4)c3)C1=O)O2,ZINC15 : ZINC000825317993,consensus,0.33663366336633666,zinc15
CC(=O)C1C(=O)C=C2Oc3c(-c4csc(N/N=C/c5sccc5C)n4)c(O)c(C)c(O)c3[C@]2(C)C1=O,GBVXANLRSHPVHG-LKHDNLNLSA-N,CNc1nc(-c2ccc(OC)c(NC(C)=C3C(=O)C=C4Oc5c(c([O-])c(C)c(O)c5C(C)=O)[C@@]4(C)C3=O)c2)cs1,ZINC15 : ZINC000824100933,consensus,0.32727272727272727,zinc15
CC(=O)C1C(=O)C=C2Oc3c(-c4csc(N/N=C/c5sccc5C)n4)c(O)c(C)c(O)c3[C@]2(C)C1=O,GBVXANLRSHPVHG-LKHDNLNLSA-N,Cc1ccsc1C=NNc1ccc2c(Cl)cc(Cl)c(O)c2n1,ZINC15 : ZINC000003909701,consensus,0.3218390804597701,zinc15
CC(=O)C1C(=O)C=C2Oc3c(-c4csc(N/N=C/c5sccc5C)n4)c(O)c(C)c(O)c3[C@]2(C)C1=O,GBVXANLRSHPVHG-LKHDNLNLSA-N,CC(=O)c1c2c(c(O)c(C)c1O)[C@]1(C)C(=CC(=O)C(=C(C)NCc3cccc(-c4nccs4)c3)C1=O)O2,ZINC15 : ZINC000253405501,consensus,0.3173076923076923,zinc15
CC(=O)C1C(=O)C=C2Oc3c(-c4csc(N/N=C/c5sccc5C)n4)c(O)c(C)c(O)c3[C@]2(C)C1=O,GBVXANLRSHPVHG-LKHDNLNLSA-N,CC(=O)c1c2c(c(O)c(C)c1O)[C@]1(C)C(=CC(=O)C(=C(C)NCc3nc(Cc4cccs4)no3)C1=O)O2,ZINC15 : ZINC000253412992,consensus,0.3173076923076923,zinc15
CC(=O)C1C(=O)C=C2Oc3c(-c4csc(N/N=C/c5sccc5C)n4)c(O)c(C)c(O)c3[C@]2(C)C1=O,GBVXANLRSHPVHG-LKHDNLNLSA-N,CC(=O)c1c2c(c(O)c(C)c1O)[C@]1(C)C(=CC(=O)C(=C(C)NCc3cccc(-c4nc(C)cs4)c3)C1=O)O2,ZINC15 : ZINC000253412647,consensus,0.3173076923076923,zinc15
CC(=O)C1C(=O)C=C2Oc3c(-c4csc(N/N=C/c5sccc5C)n4)c(O)c(C)c(O)c3[C@]2(C)C1=O,GBVXANLRSHPVHG-LKHDNLNLSA-N,CC(=O)c1c2c(c(O)c(C)c1O)[C@]1(C)C(=CC(=O)C(=C(C)NCc3ccc(-c4nc(C)cs4)cc3)C1=O)O2,ZINC15 : ZINC000253415022,consensus,0.31683168316831684,zinc15
CC(=O)C1C(=O)C=C2Oc3c(-c4csc(N/N=C/c5sccc5C)n4)c(O)c(C)c(O)c3[C@]2(C)C1=O,GBVXANLRSHPVHG-LKHDNLNLSA-N,CC(=O)c1c2c(c(O)c(C)c1O)[C@]1(C)C(=CC(=O)C(=C(C)NCc3csc(-c4ccccc4)n3)C1=O)O2,ZINC15 : ZINC000253412999,consensus,0.31683168316831684,zinc15
CC(=O)C1C(=O)C=C2Oc3c(-c4csc(N/N=C/c5sccc5C)n4)c(O)c(C)c(O)c3[C@]2(C)C1=O,GBVXANLRSHPVHG-LKHDNLNLSA-N,CC(=O)c1c2c(c(O)c(C)c1O)[C@]1(C)C(=CC(=O)C(=C(C)NCc3ccc(-c4nccs4)cc3)C1=O)O2,ZINC15 : ZINC000253399454,consensus,0.31683168316831684,zinc15
CC(=O)C1C(=O)C=C2Oc3c(-c4csc(N/N=C/c5sccc5C)n4)c(O)c(C)c(O)c3[C@]2(C)C1=O,GBVXANLRSHPVHG-LKHDNLNLSA-N,CC(=O)c1c2c(c(O)c(C)c1O)[C@]1(C)C(=CC(=O)C(=C(C)NCCc3nc(-c4cccs4)no3)C1=O)O2,ZINC15 : ZINC000253407336,consensus,0.3113207547169811,zinc15
