query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@](CS)(CC(C)C)C(O)=O,GCTDRFXPPSVRRP-ZCFIWIBFSA-N,CC(C)CC(CNC(=O)NCC(CC(C)C)C(=O)O)C(=O)O,ENAMINE-REAL : Z2396456949,consensus,0.5357142857142857,enamine-real
[H][C@](CS)(CC(C)C)C(O)=O,GCTDRFXPPSVRRP-ZCFIWIBFSA-N,CC(C)CC(CNC(C)C)C(=O)O,ENAMINE-REAL : Z2396539768,consensus,0.5357142857142857,enamine-real
[H][C@](CS)(CC(C)C)C(O)=O,GCTDRFXPPSVRRP-ZCFIWIBFSA-N,CC(C)CC(CNC(N)=O)C(=O)O,ENAMINE-REAL : Z2396500169,consensus,0.5,enamine-real
[H][C@](CS)(CC(C)C)C(O)=O,GCTDRFXPPSVRRP-ZCFIWIBFSA-N,CC(C)CC(CNC(C)C(C)C)C(=O)O,ENAMINE-REAL : Z2396539303,consensus,0.5,enamine-real
[H][C@](CS)(CC(C)C)C(O)=O,GCTDRFXPPSVRRP-ZCFIWIBFSA-N,CC(C)CC(C)C(=O)NCC(CC(C)C)C(=O)O,ENAMINE-REAL : Z2910545442,consensus,0.4838709677419355,enamine-real
[H][C@](CS)(CC(C)C)C(O)=O,GCTDRFXPPSVRRP-ZCFIWIBFSA-N,CCC(CC)NCC(CC(C)C)C(=O)O,ENAMINE-REAL : Z2396539592,consensus,0.4838709677419355,enamine-real
[H][C@](CS)(CC(C)C)C(O)=O,GCTDRFXPPSVRRP-ZCFIWIBFSA-N,CC(C)CC(CNC(=O)CO)C(=O)O,ENAMINE-REAL : Z2910544155,consensus,0.4838709677419355,enamine-real
[H][C@](CS)(CC(C)C)C(O)=O,GCTDRFXPPSVRRP-ZCFIWIBFSA-N,CC(C)CC(CNC(=O)[C@@H](C)O)C(=O)O,ENAMINE-REAL : PV-008069978138,consensus,0.4838709677419355,enamine-real
[H][C@](CS)(CC(C)C)C(O)=O,GCTDRFXPPSVRRP-ZCFIWIBFSA-N,CC(C)CC(CNC(=O)C(C)O)C(=O)O,ENAMINE-REAL : Z2910544153,consensus,0.4838709677419355,enamine-real
[H][C@](CS)(CC(C)C)C(O)=O,GCTDRFXPPSVRRP-ZCFIWIBFSA-N,CC(C)CC(CC(C)C)C(=O)N[C@@H](C)C(=O)O,ENAMINE-REAL : Z4067915544,consensus,0.4827586206896552,enamine-real
