query_smiles,query_inchikey,smiles,identifier,search_type,score,database
COC1=C2C(NC=C2C2=NC(N)=NC=C2)=NC=C1,GGEWEQJWGGJUHO-UHFFFAOYSA-N,COc1ccnc2[nH]cc(N)c12,ZINC15 : 44712585,consensus,0.6097560975609756,zinc15
COC1=C2C(NC=C2C2=NC(N)=NC=C2)=NC=C1,GGEWEQJWGGJUHO-UHFFFAOYSA-N,COC1=CC=CC=C1C1=CC=NC(N)=N1,ENAMINE-REAL : Z2466639957,consensus,0.5581395348837209,enamine-real
COC1=C2C(NC=C2C2=NC(N)=NC=C2)=NC=C1,GGEWEQJWGGJUHO-UHFFFAOYSA-N,Nc1nccc(-c2c[nH]c3ncccc23)n1,ZINC15 : ZINC000029135178,consensus,0.5555555555555556,zinc15
COC1=C2C(NC=C2C2=NC(N)=NC=C2)=NC=C1,GGEWEQJWGGJUHO-UHFFFAOYSA-N,COc1ccc(-c2ccnc(N)n2)c2c[nH]nc21,ZINC15 : ZINC001236455295,consensus,0.5306122448979592,zinc15
COC1=C2C(NC=C2C2=NC(N)=NC=C2)=NC=C1,GGEWEQJWGGJUHO-UHFFFAOYSA-N,Nc1nccc(-c2c[nH]c3ncc(F)cc23)n1,ZINC15 : ZINC000095937793,consensus,0.48,zinc15
COC1=C2C(NC=C2C2=NC(N)=NC=C2)=NC=C1,GGEWEQJWGGJUHO-UHFFFAOYSA-N,COC1=CC=C(C2=CC=NC=C2)C=C1C1=NC(N)=NC=C1,ENAMINE-REAL : PV-008537633897,consensus,0.48,enamine-real
COC1=C2C(NC=C2C2=NC(N)=NC=C2)=NC=C1,GGEWEQJWGGJUHO-UHFFFAOYSA-N,COC1=NC=CC=C1C1=NC(N)=NC=C1,ENAMINE-REAL : PV-008409742498,consensus,0.4782608695652174,enamine-real
COC1=C2C(NC=C2C2=NC(N)=NC=C2)=NC=C1,GGEWEQJWGGJUHO-UHFFFAOYSA-N,Cc1cccc2c(-c3ccnc(N)n3)c[nH]c21,ZINC15 : ZINC001161694222,consensus,0.46,zinc15
COC1=C2C(NC=C2C2=NC(N)=NC=C2)=NC=C1,GGEWEQJWGGJUHO-UHFFFAOYSA-N,COC1=NC=NC=C1C1=NC(N)=NC=C1,ENAMINE-REAL : PV-007447657610,consensus,0.4583333333333333,enamine-real
COC1=C2C(NC=C2C2=NC(N)=NC=C2)=NC=C1,GGEWEQJWGGJUHO-UHFFFAOYSA-N,COC1=CC(C2=CNC3=NC=CC=C23)=NC(N)=N1,ENAMINE-REAL : PV-007818200917,consensus,0.4528301886792453,enamine-real
