query_smiles,query_inchikey,smiles,identifier,search_type,score,database
ClC1=CC=C(NC(=O)C2=C(NCC3=CC=NC=C3)C=CC=C2)C=C1,GGPZCOONYBPZEW-UHFFFAOYSA-N,O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1,ZINC15 : ZINC000000008732,consensus,1.0,zinc15
ClC1=CC=C(NC(=O)C2=C(NCC3=CC=NC=C3)C=CC=C2)C=C1,GGPZCOONYBPZEW-UHFFFAOYSA-N,O=C(Nc1ccncc1)c1ccccc1NCc1ccccc1,ZINC15 : ZINC000677851417,consensus,0.7674418604651163,zinc15
ClC1=CC=C(NC(=O)C2=C(NCC3=CC=NC=C3)C=CC=C2)C=C1,GGPZCOONYBPZEW-UHFFFAOYSA-N,O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ncccn1,ZINC15 : ZINC000190313134,consensus,0.717391304347826,zinc15
ClC1=CC=C(NC(=O)C2=C(NCC3=CC=NC=C3)C=CC=C2)C=C1,GGPZCOONYBPZEW-UHFFFAOYSA-N,Cc1ncc(CNc2ccccc2C(=O)Nc2ccc(Cl)cc2)cn1,ZINC15 : ZINC000506293123,consensus,0.6938775510204082,zinc15
ClC1=CC=C(NC(=O)C2=C(NCC3=CC=NC=C3)C=CC=C2)C=C1,GGPZCOONYBPZEW-UHFFFAOYSA-N,O=C(Nc1ccccc1C(=O)Nc1ccc(Cl)cc1)c1ccncc1,ZINC15 : ZINC000000823300,consensus,0.6739130434782609,zinc15
ClC1=CC=C(NC(=O)C2=C(NCC3=CC=NC=C3)C=CC=C2)C=C1,GGPZCOONYBPZEW-UHFFFAOYSA-N,O=C(Nc1ccncc1)c1ccccc1NCc1ccccc1Cl,ZINC15 : ZINC000343158757,consensus,0.6666666666666666,zinc15
ClC1=CC=C(NC(=O)C2=C(NCC3=CC=NC=C3)C=CC=C2)C=C1,GGPZCOONYBPZEW-UHFFFAOYSA-N,O=C(Nc1ccncc1)c1ccccc1NCc1cccnc1,ZINC15 : ZINC000176986522,consensus,0.6666666666666666,zinc15
ClC1=CC=C(NC(=O)C2=C(NCC3=CC=NC=C3)C=CC=C2)C=C1,GGPZCOONYBPZEW-UHFFFAOYSA-N,O=C(Nc1ccccc1C(=O)Nc1ccncc1)c1ccc(Cl)cc1,ZINC15 : ZINC000057681279,consensus,0.6382978723404256,zinc15
ClC1=CC=C(NC(=O)C2=C(NCC3=CC=NC=C3)C=CC=C2)C=C1,GGPZCOONYBPZEW-UHFFFAOYSA-N,O=C(Nc1ccc(Cl)cc1)c1ccccc1NCCO,ZINC15 : ZINC000085268697,consensus,0.6304347826086957,zinc15
ClC1=CC=C(NC(=O)C2=C(NCC3=CC=NC=C3)C=CC=C2)C=C1,GGPZCOONYBPZEW-UHFFFAOYSA-N,O=C(NCc1ccncc1)c1ccccc1NCc1ccccc1,ZINC15 : ZINC000255187964,consensus,0.6304347826086957,zinc15
ClC1=CC=C(NC(=O)C2=C(NCC3=CC=NC=C3)C=CC=C2)C=C1,GGPZCOONYBPZEW-UHFFFAOYSA-N,O=C(NCc1ccncc1)c1ccccc1NCCc1ccc(Cl)cc1,ZINC15 : ZINC000479021388,consensus,0.6274509803921569,zinc15
ClC1=CC=C(NC(=O)C2=C(NCC3=CC=NC=C3)C=CC=C2)C=C1,GGPZCOONYBPZEW-UHFFFAOYSA-N,Cc1cnc(CNc2ccccc2C(=O)Nc2ccc(Cl)cc2)nc1,ZINC15 : ZINC000520884109,consensus,0.6274509803921569,zinc15
ClC1=CC=C(NC(=O)C2=C(NCC3=CC=NC=C3)C=CC=C2)C=C1,GGPZCOONYBPZEW-UHFFFAOYSA-N,O=C(Nc1cccc(C(F)(F)F)c1)c1ccccc1NCc1ccncc1,ZINC15 : ZINC000001912572,consensus,0.6226415094339622,zinc15
ClC1=CC=C(NC(=O)C2=C(NCC3=CC=NC=C3)C=CC=C2)C=C1,GGPZCOONYBPZEW-UHFFFAOYSA-N,Cn1cncc1CNc1ccccc1C(=O)Nc1ccc(Cl)cc1,ZINC15 : ZINC000348124265,consensus,0.6226415094339622,zinc15
ClC1=CC=C(NC(=O)C2=C(NCC3=CC=NC=C3)C=CC=C2)C=C1,GGPZCOONYBPZEW-UHFFFAOYSA-N,O=C(Nc1ccc(Cl)cc1)c1ccccc1NS(=O)(=O)c1ccncc1,ZINC15 : ZINC001190896485,consensus,0.62,zinc15
ClC1=CC=C(NC(=O)C2=C(NCC3=CC=NC=C3)C=CC=C2)C=C1,GGPZCOONYBPZEW-UHFFFAOYSA-N,O=C(Nc1ccc(Cl)cc1)c1cccnc1NCc1ccccc1,ZINC15 : ZINC000022072272,consensus,0.62,zinc15
ClC1=CC=C(NC(=O)C2=C(NCC3=CC=NC=C3)C=CC=C2)C=C1,GGPZCOONYBPZEW-UHFFFAOYSA-N,O=C(CNC(=O)c1ccccc1NCc1cccnc1)Nc1ccc(Cl)cc1,ZINC15 : ZINC000177100496,consensus,0.6181818181818182,zinc15
ClC1=CC=C(NC(=O)C2=C(NCC3=CC=NC=C3)C=CC=C2)C=C1,GGPZCOONYBPZEW-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1ccccc1NCc1cccnc1,ZINC15 : ZINC000097098637,consensus,0.6122448979591837,zinc15
ClC1=CC=C(NC(=O)C2=C(NCC3=CC=NC=C3)C=CC=C2)C=C1,GGPZCOONYBPZEW-UHFFFAOYSA-N,O=C(Nc1ccc(C(F)(F)F)cc1)c1ccccc1NCc1ccccc1,ZINC15 : ZINC000004709637,consensus,0.6122448979591837,zinc15
ClC1=CC=C(NC(=O)C2=C(NCC3=CC=NC=C3)C=CC=C2)C=C1,GGPZCOONYBPZEW-UHFFFAOYSA-N,CNC(=O)c1ccccc1NCc1ccc(Cl)cc1,ZINC15 : ZINC000010179928,consensus,0.6086956521739131,zinc15
ClC1=CC=C(NC(=O)C2=C(NCC3=CC=NC=C3)C=CC=C2)C=C1,GGPZCOONYBPZEW-UHFFFAOYSA-N,O=C(Nc1cncnc1)c1ccccc1NCc1ccccc1,ZINC15 : ZINC000681085337,consensus,0.6041666666666666,zinc15
ClC1=CC=C(NC(=O)C2=C(NCC3=CC=NC=C3)C=CC=C2)C=C1,GGPZCOONYBPZEW-UHFFFAOYSA-N,Cn1ncc(CNc2ccccc2C(=O)Nc2ccc(Cl)cc2)n1,ZINC15 : ZINC000811726083,consensus,0.6037735849056604,zinc15
ClC1=CC=C(NC(=O)C2=C(NCC3=CC=NC=C3)C=CC=C2)C=C1,GGPZCOONYBPZEW-UHFFFAOYSA-N,NC(=O)Nc1ccc(NC(=O)c2ccccc2NCc2cccnc2)cc1,ZINC15 : ZINC000175879799,consensus,0.5961538461538461,zinc15
ClC1=CC=C(NC(=O)C2=C(NCC3=CC=NC=C3)C=CC=C2)C=C1,GGPZCOONYBPZEW-UHFFFAOYSA-N,O=C(NCc1ccc(Cl)cc1)c1ccccc1NCc1cccnc1,ZINC15 : ZINC000176937277,consensus,0.5961538461538461,zinc15
ClC1=CC=C(NC(=O)C2=C(NCC3=CC=NC=C3)C=CC=C2)C=C1,GGPZCOONYBPZEW-UHFFFAOYSA-N,O=C(Nc1ccc(F)cc1)c1ccccc1NCc1cccnc1,ZINC15 : ZINC000078793076,consensus,0.5961538461538461,zinc15
