query_smiles,query_inchikey,smiles,identifier,search_type,score,database
ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,O=C(NCCCCCCNC(=O)Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1,ZINC15 : ZINC000005513667,consensus,0.5833333333333334,zinc15
ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,S=C(NCCCCCCCCCCCCNC(=S)Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1,ZINC15 : ZINC000100977841,consensus,0.5833333333333334,zinc15
ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,[NH2+]=C(NCCCCCCNC(=[NH2+])NC(=[NH2+])Nc1ccc(Cl)cc1)NC(=[NH2+])Nc1ccc(Cl)cc1,ZINC15 : ZINC000014768621,consensus,0.5789473684210527,zinc15
ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,N=C(NC(=[NH2+])Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1,ZINC15 : ZINC000095868091,consensus,0.5555555555555556,zinc15
ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,S=C(NCCCCNC(=S)Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1,ZINC15 : ZINC000016210884,consensus,0.5555555555555556,zinc15
ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,O=C(NCCCCCO)Nc1ccc(Cl)cc1,ZINC15 : ZINC000192878368,consensus,0.525,zinc15
ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,O=C(NCCCCCCO)Nc1ccc(Cl)cc1,ZINC15 : ZINC000170281643,consensus,0.525,zinc15
ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,O=C(NCCCCCCCCO)Nc1ccc(Cl)cc1,ZINC15 : ZINC001202383060,consensus,0.525,zinc15
ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,O=C(NCCCNC(=O)Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1,ZINC15 : ZINC000005895579,consensus,0.5135135135135135,zinc15
ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,CSC(=[NH2+])NC(=N)Nc1ccc(Cl)cc1,ZINC15 : ZINC000013465942,consensus,0.5128205128205128,zinc15
ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,O=C(NCCCCCCS)Nc1ccc(Cl)cc1,ZINC15 : ZINC001202380433,consensus,0.5121951219512195,zinc15
ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,[NH3+]CCCCCCCCNC(=O)Nc1ccc(Cl)cc1,ZINC15 : ZINC001239203868,consensus,0.5121951219512195,zinc15
ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,[NH3+]CCCCCCNC(=O)Nc1ccc(Cl)cc1,ZINC15 : ZINC000700538739,consensus,0.5121951219512195,zinc15
ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,CCCCCCNC(=O)Nc1ccc(Cl)cc1,ZINC15 : ZINC000003152293,consensus,0.5121951219512195,zinc15
ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,O=C(NCCCCF)Nc1ccc(Cl)cc1,ZINC15 : ZINC000359523094,consensus,0.5,zinc15
ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,O=C(NCCCCO)Nc1ccc(Cl)cc1,ZINC15 : ZINC000193294744,consensus,0.5,zinc15
ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,OCCCCNC(=S)Nc1ccc(Cl)cc1,ZINC15 : ZINC000782396793,consensus,0.5,zinc15
ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,O=C([O-])CCCCCNC(=O)Nc1ccc(Cl)cc1,ZINC15 : ZINC000005569814,consensus,0.4883720930232558,zinc15
ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,O=C([O-])CCCCCCCNC(=O)Nc1ccc(Cl)cc1,ZINC15 : ZINC000403050887,consensus,0.4883720930232558,zinc15
ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,O=C([O-])CCCCCCNC(=O)Nc1ccc(Cl)cc1,ZINC15 : ZINC000019811294,consensus,0.4883720930232558,zinc15
