query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CN(C1CCCCC1)C(=S)NN=C(C1=CC=CC=N1)C1=NC=CC=C1,GNLZNQJBZNOUBM-UHFFFAOYSA-N,CN(C(=S)NN=C(c1ccccn1)c1ccccn1)C1CCCCC1,ZINC15 : ZINC000072317804,morgan,1.0,zinc15
CN(C1CCCCC1)C(=S)NN=C(C1=CC=CC=N1)C1=NC=CC=C1,GNLZNQJBZNOUBM-UHFFFAOYSA-N,CN(C)C(=S)NN=C(c1ccccn1)c1ccccn1,ZINC15 : ZINC000003986690,morgan,0.6590909090909091,zinc15
CN(C1CCCCC1)C(=S)NN=C(C1=CC=CC=N1)C1=NC=CC=C1,GNLZNQJBZNOUBM-UHFFFAOYSA-N,CN(C(=O)c1ccccn1)C1CCCCCC1,ZINC15 : ZINC000071815032,morgan,0.574468085106383,zinc15
CN(C1CCCCC1)C(=S)NN=C(C1=CC=CC=N1)C1=NC=CC=C1,GNLZNQJBZNOUBM-UHFFFAOYSA-N,CN(C(=O)C1=CC=CC=N1)C1CCCCC1,ENAMINE-REAL : Z54082432,morgan,0.574468085106383,enamine-real
CN(C1CCCCC1)C(=S)NN=C(C1=CC=CC=N1)C1=NC=CC=C1,GNLZNQJBZNOUBM-UHFFFAOYSA-N,CN(C(=O)C1=CC=CC=N1)C1CCCCCC1,ENAMINE-REAL : Z200584938,morgan,0.574468085106383,enamine-real
CN(C1CCCCC1)C(=S)NN=C(C1=CC=CC=N1)C1=NC=CC=C1,GNLZNQJBZNOUBM-UHFFFAOYSA-N,CN(C(=O)c1ccccn1)C1CCCCC1,ZINC15 : ZINC000032666394,morgan,0.574468085106383,zinc15
CN(C1CCCCC1)C(=S)NN=C(C1=CC=CC=N1)C1=NC=CC=C1,GNLZNQJBZNOUBM-UHFFFAOYSA-N,CN(C(=O)c1ccccn1)C1CCCC1,ZINC15 : ZINC000055542645,morgan,0.5531914893617021,zinc15
CN(C1CCCCC1)C(=S)NN=C(C1=CC=CC=N1)C1=NC=CC=C1,GNLZNQJBZNOUBM-UHFFFAOYSA-N,CN(C(=O)C1=CC=CC=N1)C1CCCC1,ENAMINE-REAL : Z242470820,morgan,0.5531914893617021,enamine-real
CN(C1CCCCC1)C(=S)NN=C(C1=CC=CC=N1)C1=NC=CC=C1,GNLZNQJBZNOUBM-UHFFFAOYSA-N,NC(=S)NN=C(c1ccccn1)c1ccccn1,ZINC15 : ZINC000040767064,morgan,0.5217391304347826,zinc15
CN(C1CCCCC1)C(=S)NN=C(C1=CC=CC=N1)C1=NC=CC=C1,GNLZNQJBZNOUBM-UHFFFAOYSA-N,CSC(=S)NN=C(c1ccccn1)c1ccccn1,ZINC15 : ZINC000006425105,morgan,0.5208333333333334,zinc15
