query_smiles,query_inchikey,smiles,identifier,search_type,score,database
COC1=C(OCC(O)COC(N)=O)C=CC=C1,GNXFOGHNGIVQEH-UHFFFAOYSA-N,COc1ccccc1OC[C@H](O)COC(N)=O,ZINC15 : ZINC000000057340,consensus,1.0,zinc15
COC1=C(OCC(O)COC(N)=O)C=CC=C1,GNXFOGHNGIVQEH-UHFFFAOYSA-N,COc1ccccc1OC[C@@H](O)COC(N)=O,ZINC15 : ZINC000000057341,consensus,1.0,zinc15
COC1=C(OCC(O)COC(N)=O)C=CC=C1,GNXFOGHNGIVQEH-UHFFFAOYSA-N,Cc1ccccc1OC[C@@H](O)COC(N)=O,ZINC15 : ZINC000001678403,consensus,0.7567567567567568,zinc15
COC1=C(OCC(O)COC(N)=O)C=CC=C1,GNXFOGHNGIVQEH-UHFFFAOYSA-N,Cc1ccccc1OC[C@H](O)COC(N)=O,ZINC15 : ZINC000000000451,consensus,0.7567567567567568,zinc15
COC1=C(OCC(O)COC(N)=O)C=CC=C1,GNXFOGHNGIVQEH-UHFFFAOYSA-N,COc1ccccc1OCC(O)COc1ccccc1OC,ZINC15 : ZINC000001726621,consensus,0.75,zinc15
COC1=C(OCC(O)COC(N)=O)C=CC=C1,GNXFOGHNGIVQEH-UHFFFAOYSA-N,COC1=CC=CC=C1OCC(O)COC1=CC=CC=C1CC(N)=O,ENAMINE-REAL : Z1516806187,consensus,0.7368421052631579,enamine-real
COC1=C(OCC(O)COC(N)=O)C=CC=C1,GNXFOGHNGIVQEH-UHFFFAOYSA-N,NC(=O)OC[C@H](O)COc1ccccc1OCc1ccccc1,ZINC15 : ZINC000071769329,consensus,0.717948717948718,zinc15
COC1=C(OCC(O)COC(N)=O)C=CC=C1,GNXFOGHNGIVQEH-UHFFFAOYSA-N,NC(=O)OC[C@@H](O)COc1ccccc1OCc1ccccc1,ZINC15 : ZINC000071769328,consensus,0.717948717948718,zinc15
COC1=C(OCC(O)COC(N)=O)C=CC=C1,GNXFOGHNGIVQEH-UHFFFAOYSA-N,COC1=CC=CC=C1OCC(O)COC1=CC=C(OCC(N)=O)C=C1,ENAMINE-REAL : Z1516800089,consensus,0.7,enamine-real
COC1=C(OCC(O)COC(N)=O)C=CC=C1,GNXFOGHNGIVQEH-UHFFFAOYSA-N,COc1ccccc1OC[C@@H](O)COC[C@H](O)COc1ccccc1OC,ZINC15 : ZINC000257354827,consensus,0.6857142857142857,zinc15
COC1=C(OCC(O)COC(N)=O)C=CC=C1,GNXFOGHNGIVQEH-UHFFFAOYSA-N,COC[C@H](O)COc1ccccc1OC,ZINC15 : ZINC000180760540,consensus,0.6857142857142857,zinc15
COC1=C(OCC(O)COC(N)=O)C=CC=C1,GNXFOGHNGIVQEH-UHFFFAOYSA-N,COc1ccccc1OC[C@H](O)COC[C@H](O)COc1ccccc1OC,ZINC15 : ZINC000257354829,consensus,0.6857142857142857,zinc15
COC1=C(OCC(O)COC(N)=O)C=CC=C1,GNXFOGHNGIVQEH-UHFFFAOYSA-N,COc1ccccc1OC[C@H](O)COC[C@@H](O)COc1ccccc1OC,ZINC15 : ZINC000257354828,consensus,0.6857142857142857,zinc15
COC1=C(OCC(O)COC(N)=O)C=CC=C1,GNXFOGHNGIVQEH-UHFFFAOYSA-N,COC[C@@H](O)COC1=CC=CC=C1OC,ENAMINE-REAL : PV-002743345443,consensus,0.6857142857142857,enamine-real
COC1=C(OCC(O)COC(N)=O)C=CC=C1,GNXFOGHNGIVQEH-UHFFFAOYSA-N,COCC(O)COC1=CC=CC=C1OC,ENAMINE-REAL : Z1607778841,consensus,0.6857142857142857,enamine-real
COC1=C(OCC(O)COC(N)=O)C=CC=C1,GNXFOGHNGIVQEH-UHFFFAOYSA-N,COC[C@H](O)COC1=CC=CC=C1OC,ENAMINE-REAL : PV-002743345444,consensus,0.6857142857142857,enamine-real
COC1=C(OCC(O)COC(N)=O)C=CC=C1,GNXFOGHNGIVQEH-UHFFFAOYSA-N,COC[C@@H](O)COc1ccccc1OC,ZINC15 : ZINC000180760562,consensus,0.6857142857142857,zinc15
COC1=C(OCC(O)COC(N)=O)C=CC=C1,GNXFOGHNGIVQEH-UHFFFAOYSA-N,COC1=CC=CC=C1OCC(O)COC1=CC=CC=C1C(C)=O,ENAMINE-REAL : Z1516567499,consensus,0.6666666666666666,enamine-real
COC1=C(OCC(O)COC(N)=O)C=CC=C1,GNXFOGHNGIVQEH-UHFFFAOYSA-N,COc1ccccc1OC[C@@H](COC(N)=O)OC(C)=O,ZINC15 : ZINC000494158805,consensus,0.6585365853658537,zinc15
COC1=C(OCC(O)COC(N)=O)C=CC=C1,GNXFOGHNGIVQEH-UHFFFAOYSA-N,COC1=CC=CC=C1OCC(COC(N)=O)OC(C)=O,ENAMINE-REAL : Z1529350388,consensus,0.6585365853658537,enamine-real
COC1=C(OCC(O)COC(N)=O)C=CC=C1,GNXFOGHNGIVQEH-UHFFFAOYSA-N,COc1ccccc1OC[C@H](COC(N)=O)OC(C)=O,ZINC15 : ZINC000494158806,consensus,0.6585365853658537,zinc15
COC1=C(OCC(O)COC(N)=O)C=CC=C1,GNXFOGHNGIVQEH-UHFFFAOYSA-N,COC1=CC=CC=C1OCC(O)COC1=CC=C(C(N)=O)C=C1,ENAMINE-REAL : Z1516637586,consensus,0.6585365853658537,enamine-real
COC1=C(OCC(O)COC(N)=O)C=CC=C1,GNXFOGHNGIVQEH-UHFFFAOYSA-N,COC1=CC=CC=C1OCC(O)COC1=CC=CC(OCC(N)=O)=C1,ENAMINE-REAL : Z1516800576,consensus,0.6511627906976745,enamine-real
COC1=C(OCC(O)COC(N)=O)C=CC=C1,GNXFOGHNGIVQEH-UHFFFAOYSA-N,COc1ccccc1OC[C@@H](O)COc1c(OC)cccc1OC,ZINC15 : ZINC000270154695,consensus,0.6486486486486487,zinc15
