query_smiles,query_inchikey,smiles,identifier,search_type,score,database
O=C([C@H]1CCC(=O)N1)N1CCCCC1,GOWRRBABHQUJMX-MRVPVSSYSA-N,O=C1CC[C@@H](C(=O)N2CCCCC2)N1,ZINC15 : 3826,consensus,1.0,zinc15
O=C([C@H]1CCC(=O)N1)N1CCCCC1,GOWRRBABHQUJMX-MRVPVSSYSA-N,O=C1CCC(C(=O)N2CCCCCCCCCC2)N1,ENAMINE-REAL : Z3626780959,consensus,1.0,enamine-real
O=C([C@H]1CCC(=O)N1)N1CCCCC1,GOWRRBABHQUJMX-MRVPVSSYSA-N,O=C1CC[C@@H](C(=O)N2CCCCCC2)N1,ENAMINE-REAL : Z1171642852,consensus,1.0,enamine-real
O=C([C@H]1CCC(=O)N1)N1CCCCC1,GOWRRBABHQUJMX-MRVPVSSYSA-N,O=C1CCC(C(=O)N2CCCCCC2)N1,ENAMINE-REAL : Z31432075,consensus,1.0,enamine-real
O=C([C@H]1CCC(=O)N1)N1CCCCC1,GOWRRBABHQUJMX-MRVPVSSYSA-N,O=C1CCC(C(=O)N2CCCCC2)N1,ENAMINE-REAL : Z31424043,consensus,1.0,enamine-real
O=C([C@H]1CCC(=O)N1)N1CCCCC1,GOWRRBABHQUJMX-MRVPVSSYSA-N,O=C([C@H]1CCC(=O)N1)N1CCCCCC1,ZINC15 : ZINC000032228285,consensus,1.0,zinc15
O=C([C@H]1CCC(=O)N1)N1CCCCC1,GOWRRBABHQUJMX-MRVPVSSYSA-N,O=C1CC[C@H](C(=O)N2CCCCCC2)N1,ENAMINE-REAL : Z1137320593,consensus,1.0,enamine-real
O=C([C@H]1CCC(=O)N1)N1CCCCC1,GOWRRBABHQUJMX-MRVPVSSYSA-N,O=C1CC[C@H](C(=O)N2CCCCC2)N1,ZINC15 : 3779713,consensus,1.0,zinc15
O=C([C@H]1CCC(=O)N1)N1CCCCC1,GOWRRBABHQUJMX-MRVPVSSYSA-N,O=C1CC[C@H](C(=O)N2CCCCCCCCC2)N1,ENAMINE-REAL : Z3641768212,consensus,1.0,enamine-real
O=C([C@H]1CCC(=O)N1)N1CCCCC1,GOWRRBABHQUJMX-MRVPVSSYSA-N,O=C([C@@H]1CCC(=O)N1)N1CCCCCC1,ZINC15 : ZINC000032228283,consensus,1.0,zinc15
O=C([C@H]1CCC(=O)N1)N1CCCCC1,GOWRRBABHQUJMX-MRVPVSSYSA-N,O=C1CC[C@H](C(=O)N2CCCCCCCCCC2)N1,ENAMINE-REAL : Z3626782626,consensus,1.0,enamine-real
O=C([C@H]1CCC(=O)N1)N1CCCCC1,GOWRRBABHQUJMX-MRVPVSSYSA-N,O=C1CC[C@@H](C(=O)N2CCCCCCCC2)N1,ENAMINE-REAL : Z2332756154,consensus,1.0,enamine-real
O=C([C@H]1CCC(=O)N1)N1CCCCC1,GOWRRBABHQUJMX-MRVPVSSYSA-N,O=C1CC[C@H](C(=O)N2CCCCCCCC2)N1,ENAMINE-REAL : Z2297812312,consensus,1.0,enamine-real
O=C([C@H]1CCC(=O)N1)N1CCCCC1,GOWRRBABHQUJMX-MRVPVSSYSA-N,O=C1CC[C@@H](C(=O)N2CCCCCCCCC2)N1,ENAMINE-REAL : Z3641756780,consensus,1.0,enamine-real
O=C([C@H]1CCC(=O)N1)N1CCCCC1,GOWRRBABHQUJMX-MRVPVSSYSA-N,O=C1CCC(C(=O)N2CCCCCCCC2)N1,ENAMINE-REAL : Z2297812241,consensus,1.0,enamine-real
O=C([C@H]1CCC(=O)N1)N1CCCCC1,GOWRRBABHQUJMX-MRVPVSSYSA-N,O=C1CCC(C(=O)N2CCCCCCCCC2)N1,ENAMINE-REAL : Z3641775199,consensus,1.0,enamine-real
O=C([C@H]1CCC(=O)N1)N1CCCCC1,GOWRRBABHQUJMX-MRVPVSSYSA-N,O=C1CC[C@@H](C(=O)N2CCCCCCCCCC2)N1,ENAMINE-REAL : Z3626786136,consensus,1.0,enamine-real
O=C([C@H]1CCC(=O)N1)N1CCCCC1,GOWRRBABHQUJMX-MRVPVSSYSA-N,O=C1CC[C@H](C(=O)N2CCCC2)N1,ZINC15 : 1582024,consensus,0.9642857142857143,zinc15
O=C([C@H]1CCC(=O)N1)N1CCCCC1,GOWRRBABHQUJMX-MRVPVSSYSA-N,O=C1CCC(C(=O)N2CCCC2)N1,ENAMINE-REAL : Z31480267,consensus,0.9642857142857143,enamine-real
O=C([C@H]1CCC(=O)N1)N1CCCCC1,GOWRRBABHQUJMX-MRVPVSSYSA-N,O=C1CC[C@@H](C(=O)N2CCCC2)N1,ZINC15 : 5496268,consensus,0.9642857142857143,zinc15
O=C([C@H]1CCC(=O)N1)N1CCCCC1,GOWRRBABHQUJMX-MRVPVSSYSA-N,O=C1CCC(C(=O)N2CCC2)N1,ENAMINE-REAL : PV-002514946766,consensus,0.896551724137931,enamine-real
