query_smiles,query_inchikey,smiles,identifier,search_type,score,database
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,C[C@@H]1COC2(CCN(c3nc(=O)c4cc(C(F)(F)F)cc([N+](=O)[O-])c4s3)CC2)O1,ZINC15 : ZINC000070466414,morgan,1.0,zinc15
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,C[C@H]1COC2(CCN(c3nc(=O)c4cc(C(F)(F)F)cc([N+](=O)[O-])c4s3)CC2)O1,ZINC15 : ZINC000043208590,morgan,1.0,zinc15
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,C[C@@H]1COC2(CCN(c3nc4ccccn4c(=O)c3[N+](=O)[O-])CC2)O1,ZINC15 : ZINC000301357234,morgan,0.4177215189873418,zinc15
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,C[C@H]1COC2(CCN(c3nc4ccccn4c(=O)c3[N+](=O)[O-])CC2)O1,ZINC15 : ZINC000301357238,morgan,0.4177215189873418,zinc15
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,C[C@H]1CN(c2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])CC2(CCC2)O1,ZINC15 : ZINC000826790991,morgan,0.40540540540540543,zinc15
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,C[C@@H]1CN(c2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])CC2(CCC2)O1,ZINC15 : ZINC000826790988,morgan,0.40540540540540543,zinc15
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,CC1OC2(CCN(C3=CC=C(C(F)(F)F)C=C3[N+](=O)[O-])CC2)NC1=O,ENAMINE-REAL : Z3040597822,morgan,0.4025974025974026,enamine-real
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,CC1NC(=O)OC12CCN(C1=NC=C(C(F)(F)F)C=C1[N+](=O)[O-])CC2,ENAMINE-REAL : Z3561002935,morgan,0.3974358974358974,enamine-real
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,Cc1csc(N2CCN(c3c([N+](=O)[O-])cc(C(F)(F)F)cc3[N+](=O)[O-])CC2)n1,ZINC15 : ZINC000029585722,morgan,0.3972602739726027,zinc15
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,C[C@H]1CN(c2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])CCO1,ZINC15 : ZINC000047510320,morgan,0.39436619718309857,zinc15
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,C[C@@H]1CN(c2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])CCO1,ZINC15 : ZINC000047510319,morgan,0.39436619718309857,zinc15
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,CC1NC(=O)OC12CCN(C1=NC=C(C(F)(F)F)C=C1[N+](=O)[O-])C2,ENAMINE-REAL : Z3562229759,morgan,0.3924050632911392,enamine-real
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,CC1CC2(CCN(C3=NC=C(C(F)(F)F)C=C3[N+](=O)[O-])C2)CO1,ENAMINE-REAL : Z5067239066,morgan,0.3875,enamine-real
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,C[C@@H]1C[C@@]2(CCN(C3=NC=C(C(F)(F)F)C=C3[N+](=O)[O-])C2)CO1,ENAMINE-REAL : Z5067248149,morgan,0.3875,enamine-real
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,C[C@H]1COC2(CCC2)CN1c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],ZINC15 : ZINC000853809232,morgan,0.38666666666666666,zinc15
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,C[C@@H]1COC2(CCC2)CN1c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],ZINC15 : ZINC000853809231,morgan,0.38666666666666666,zinc15
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,CC1NC(=O)OC12CCN(C1=CC=C(C(F)(F)F)C=C1[N+](=O)[O-])CC2,ENAMINE-REAL : Z3561005016,morgan,0.38461538461538464,enamine-real
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,CC1OC2(CCN(C3=CC(C(F)(F)F)=CC=C3[N+](=O)[O-])CC2)NC1=O,ENAMINE-REAL : Z3040611341,morgan,0.38461538461538464,enamine-real
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,C[C@@H]1COCCN(c2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])C1,ZINC15 : ZINC000359980204,morgan,0.3835616438356164,zinc15
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,C[C@H]1COCCN(c2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])C1,ZINC15 : ZINC000359980203,morgan,0.3835616438356164,zinc15
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,CC1CN(C2=NC=C(C(F)(F)F)C=C2[N+](=O)[O-])CC2(CCC2)O1,ENAMINE-REAL : Z2700014609,morgan,0.379746835443038,enamine-real
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,CC1CN(C2=NC=C(C(F)(F)F)C=C2[N+](=O)[O-])CC2(CCCC2)O1,ENAMINE-REAL : Z2700015236,morgan,0.379746835443038,enamine-real
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,CC1CC2(CCN(C3=CC=C(C(F)(F)F)C=C3[N+](=O)[O-])C2)CO1,ENAMINE-REAL : PV-005119930035,morgan,0.379746835443038,enamine-real
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,C[C@@H]1C[C@@]2(CCN(C3=CC=C(C(F)(F)F)C=C3[N+](=O)[O-])C2)CO1,ENAMINE-REAL : PV-005119930034,morgan,0.379746835443038,enamine-real
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,CC1CNC2(CCN(C3=CC=C(C(F)(F)F)C=C3[N+](=O)[O-])CC2)CO1,ENAMINE-REAL : Z5313784318,morgan,0.375,enamine-real
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,CC1CN(C2=CC=C(C(F)(F)F)C=C2[N+](=O)[O-])CC2(CCC2)O1,ENAMINE-REAL : PV-002101114321,morgan,0.3717948717948718,enamine-real
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,CC1CN(C2=NC=C(C(F)(F)F)C=C2[N+](=O)[O-])CC2(CCOCC2)O1,ENAMINE-REAL : Z2699649220,morgan,0.37037037037037035,enamine-real
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,CC1CCC2(CO1)CN(C1=NC=C(C(F)(F)F)C=C1[N+](=O)[O-])C2,ENAMINE-REAL : Z4961576515,morgan,0.3670886075949367,enamine-real
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,C[C@@H]1CC2(CCN(C3=CC=C(C(F)(F)F)C=C3[N+](=O)[O-])CC2)C(=O)N1,ENAMINE-REAL : Z5423238405,morgan,0.3670886075949367,enamine-real
C[C@H]1COC2(CCN(CC2)C2=NC(=O)C3=CC(=CC(=C3S2)[N+]([O-])=O)C(F)(F)F)O1,GTUIRORNXIOHQR-VIFPVBQESA-N,C[C@H]1CC2(CCN(C3=CC=C(C(F)(F)F)C=C3[N+](=O)[O-])CC2)C(=O)N1,ENAMINE-REAL : Z5423229791,morgan,0.3670886075949367,enamine-real
