query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@@]1(C[C@H](O)NC(=N)N1)[C@]1([H])NC(=O)\C(NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CNC1=O)NC(=O)C[C@@H](N)CCCN)=C\NC(N)=O,GXFAIFRPOKBQRV-GHXCTMGLSA-N,NC(=O)NC=C1NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](NC(=O)C[C@H]([NH3+])CCC[NH3+])CNC(=O)[C@H]([C@@H]2C[C@H](O)[NH+]=C(N)N2)NC1=O,ZINC15 : ZINC000585180208,consensus,0.6195652173913043,zinc15
[H][C@@]1(C[C@H](O)NC(=N)N1)[C@]1([H])NC(=O)\C(NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CNC1=O)NC(=O)C[C@@H](N)CCCN)=C\NC(N)=O,GXFAIFRPOKBQRV-GHXCTMGLSA-N,NC(=O)NC=C1NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)C[C@H]([NH3+])CCC[NH3+])CNC(=O)[C@H]([C@H]2C[C@@H](O)[NH+]=C(N)N2)NC1=O,ZINC15 : ZINC000332043513,consensus,0.6195652173913043,zinc15
[H][C@@]1(C[C@H](O)NC(=N)N1)[C@]1([H])NC(=O)\C(NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CNC1=O)NC(=O)C[C@@H](N)CCCN)=C\NC(N)=O,GXFAIFRPOKBQRV-GHXCTMGLSA-N,NC(=O)NC=C1NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](NC(=O)C[C@H]([NH3+])CCC[NH3+])CNC(=O)[C@H]([C@H]2C[C@@H](O)[NH+]=C(N)N2)NC1=O,ZINC15 : ZINC000331353657,consensus,0.6195652173913043,zinc15
[H][C@@]1(C[C@H](O)NC(=N)N1)[C@]1([H])NC(=O)\C(NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CNC1=O)NC(=O)C[C@@H](N)CCCN)=C\NC(N)=O,GXFAIFRPOKBQRV-GHXCTMGLSA-N,NC(=O)NC=C1NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)C[C@@H]([NH3+])CCC[NH3+])CNC(=O)[C@H]([C@H]2C[C@@H](O)[NH+]=C(N)N2)NC1=O,ZINC15 : ZINC000332043454,consensus,0.6195652173913043,zinc15
[H][C@@]1(C[C@H](O)NC(=N)N1)[C@]1([H])NC(=O)\C(NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CNC1=O)NC(=O)C[C@@H](N)CCCN)=C\NC(N)=O,GXFAIFRPOKBQRV-GHXCTMGLSA-N,NC(=O)NC=C1NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)C[C@H]([NH3+])CCC[NH3+])CNC(=O)[C@H]([C@@H]2C[C@H](O)[NH+]=C(N)N2)NC1=O,ZINC15 : ZINC000585180209,consensus,0.6195652173913043,zinc15
[H][C@@]1(C[C@H](O)NC(=N)N1)[C@]1([H])NC(=O)\C(NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CNC1=O)NC(=O)C[C@@H](N)CCCN)=C\NC(N)=O,GXFAIFRPOKBQRV-GHXCTMGLSA-N,NC(=O)NC=C1NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](NC(=O)C[C@@H]([NH3+])CCC[NH3+])CNC(=O)[C@H]([C@H]2C[C@@H](O)[NH+]=C(N)N2)NC1=O,ZINC15 : ZINC000332043518,consensus,0.6195652173913043,zinc15
[H][C@@]1(C[C@H](O)NC(=N)N1)[C@]1([H])NC(=O)\C(NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CNC1=O)NC(=O)C[C@@H](N)CCCN)=C\NC(N)=O,GXFAIFRPOKBQRV-GHXCTMGLSA-N,NC(=O)NC=C1NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)C[C@@H]([NH3+])CCC[NH3+])CNC(=O)[C@H]([C@H]2C[C@H](O)[NH+]=C(N)N2)NC1=O,ZINC15 : ZINC000195772238,consensus,0.6195652173913043,zinc15
[H][C@@]1(C[C@H](O)NC(=N)N1)[C@]1([H])NC(=O)\C(NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CNC1=O)NC(=O)C[C@@H](N)CCCN)=C\NC(N)=O,GXFAIFRPOKBQRV-GHXCTMGLSA-N,NC(=O)NC=C1NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)C[C@@H]([NH3+])CCC[NH3+])CNC(=O)[C@H]([C@@H]2C[C@H](O)[NH+]=C(N)N2)NC1=O,ZINC15 : ZINC000585180210,consensus,0.6195652173913043,zinc15
[H][C@@]1(C[C@H](O)NC(=N)N1)[C@]1([H])NC(=O)\C(NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CNC1=O)NC(=O)C[C@@H](N)CCCN)=C\NC(N)=O,GXFAIFRPOKBQRV-GHXCTMGLSA-N,NC(=O)NC=C1NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](NC(=O)C[C@@H]([NH3+])CCC[NH3+])CNC(=O)[C@H]([C@@H]2C[C@H](O)[NH+]=C(N)N2)NC1=O,ZINC15 : ZINC000254310781,consensus,0.6195652173913043,zinc15
[H][C@@]1(C[C@H](O)NC(=N)N1)[C@]1([H])NC(=O)\C(NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CNC1=O)NC(=O)C[C@@H](N)CCCN)=C\NC(N)=O,GXFAIFRPOKBQRV-GHXCTMGLSA-N,CCC[C@H]([NH3+])CC(=O)N[C@@H]1CNC(=O)C(=CNC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H]2C[C@@H](O)[NH+]=C(N)N2)NC1=O,ZINC15 : ZINC000245230070,consensus,0.5520833333333334,zinc15
