query_smiles,query_inchikey,smiles,identifier,search_type,score,database
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,COC(=O)c1ccc(-c2ccc3c(c2)C(=O)C(=O)N3C)cc1,ZINC15 : ZINC000254286867,consensus,0.7894736842105263,zinc15
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,COC(=O)c1ccc2c(c1)C(=O)N(C)C2=O,ZINC15 : ZINC000045265587,consensus,0.6486486486486487,zinc15
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,COc1ccc2c(c1)C(=O)C(=O)N2C,ZINC15 : 4679794,consensus,0.5789473684210527,zinc15
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,Cc1ccc2c(c1)C(=O)C(=O)N2C,ZINC15 : 3183189,consensus,0.5405405405405406,zinc15
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,CCc1ccc2c(c1)C(=O)C(=O)N2C,ZINC15 : 5936780,consensus,0.5384615384615384,zinc15
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,COC(=O)C1=CC=C2C(=C1)C(C)(C)C(=O)N2C,ENAMINE-REAL : Z2588937936,consensus,0.5348837209302325,enamine-real
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,COC(=O)c1ccc2c(c1)C(C)(C)C(=O)N2C,ZINC15 : ZINC000044682246,consensus,0.5348837209302325,zinc15
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,COC(=O)c1ccc2c(c1)CCC(=O)N2C,ZINC15 : ZINC000039149938,consensus,0.5348837209302325,zinc15
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,COC(=O)c1ccc(-c2ccc3c(c2)C(=O)C(=O)N3CC(=O)[O-])cc1,ZINC15 : ZINC000254286868,consensus,0.5208333333333334,zinc15
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,COC(=O)c1ccc2c(c1)N(C)C(=O)C2,ZINC15 : ZINC000238403601,consensus,0.5116279069767442,zinc15
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,COC(=O)C1=CC=C2C(=O)N(C)S(=O)(=O)C2=C1,ENAMINE-REAL : Z317100034,consensus,0.5116279069767442,enamine-real
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,COC(=O)c1ccc2c(c1)S(=O)(=O)N(C)C2=O,ZINC15 : ZINC000028002557,consensus,0.5116279069767442,zinc15
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,COC(=O)c1ccc2c(c1)S(=O)(=O)[N-]C(=O)N2C,ZINC15 : ZINC000044126588,consensus,0.5111111111111111,zinc15
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,COC(=O)c1ccc2c(c1)OCC(=O)N2C,ZINC15 : ZINC000022995877,consensus,0.5111111111111111,zinc15
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,COC(=O)c1ccc(-c2ccc3c(c2)C(=O)C(=O)N3CC(N)=O)cc1,ZINC15 : ZINC000254286882,consensus,0.5102040816326531,zinc15
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,COC(=O)c1ccc2c(c1)CCN2C(=O)c1ccc2c(c1)C(=O)N(C)C2=O,ZINC15 : ZINC000055469219,consensus,0.5098039215686274,zinc15
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,COC(=O)c1ccc2c(c1)N[C@@H](C)C(=O)N2C,ZINC15 : ZINC000052508116,consensus,0.5,zinc15
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,COC(=O)C1=CC=C2CCC(=O)N(C)C2=C1,ENAMINE-REAL : Z2924078062,consensus,0.5,enamine-real
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,COC(=O)c1ccc([C@H](C)OC(=O)c2ccc3c(c2)C(=O)N(C)C3=O)cc1,ZINC15 : ZINC000920800464,consensus,0.5,zinc15
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,COC(=O)c1ccc(NC(=O)c2ccc3c(c2)C(=O)N(C)C3=O)cc1,ZINC15 : ZINC000001164203,consensus,0.5,zinc15
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,COC(=O)c1ccc2c(c1)O[C@H](C)C(=O)N2C,ZINC15 : ZINC000022995880,consensus,0.5,zinc15
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,COC(=O)c1ccc2c(c1)O[C@@H](C)C(=O)N2C,ZINC15 : ZINC000022995881,consensus,0.5,zinc15
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,COC(=O)c1ccc2c(c1)C(=O)NC2=O,ZINC15 : ZINC000000240402,consensus,0.5,zinc15
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,COC(=O)c1ccc2c(c1)N[C@H](C)C(=O)N2C,ZINC15 : ZINC000052508113,consensus,0.5,zinc15
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,COC(=O)c1ccc(C(=O)OC)c(-c2ccc3c(c2)CCC(=O)N3C)c1,ZINC15 : ZINC001244008002,consensus,0.49019607843137253,zinc15
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,COC(=O)c1ccc2c(c1)CCN2C,ZINC15 : 75852220,consensus,0.4883720930232558,zinc15
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,COC(=O)C1=CC=C2C(=C1)N(C)C(=O)N2C,ENAMINE-REAL : Z3235016988,consensus,0.4878048780487805,enamine-real
COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C,HENVEYFKOOGIOO-UHFFFAOYSA-N,COC(=O)c1ccc2c(c1)CN(C(=O)c1ccc3c(c1)C(=O)N(C)C3=O)C2,ZINC15 : ZINC000609301069,consensus,0.48,zinc15
