query_smiles,query_inchikey,smiles,identifier,search_type,score,database
O[C@@H]1[C@@H](O)[C@@H](CC2=CC=CC=C2)N(CC2=CC(=CC=C2)C(=O)NC2=NC=CS2)C(=O)N(CC2CC2)[C@@H]1CC1=CC=CC=C1,HFLCERPZYCWLSZ-VKONIRKNSA-N,O=C(Nc1nccs1)N1CC[C@@H]1Cc1ccccc1,ZINC15 : ZINC000334261203,consensus,0.4444444444444444,zinc15
O[C@@H]1[C@@H](O)[C@@H](CC2=CC=CC=C2)N(CC2=CC(=CC=C2)C(=O)NC2=NC=CS2)C(=O)N(CC2CC2)[C@@H]1CC1=CC=CC=C1,HFLCERPZYCWLSZ-VKONIRKNSA-N,O=C(Nc1nccs1)N1CC[C@H]1Cc1ccccc1,ZINC15 : ZINC000334261204,consensus,0.4444444444444444,zinc15
O[C@@H]1[C@@H](O)[C@@H](CC2=CC=CC=C2)N(CC2=CC(=CC=C2)C(=O)NC2=NC=CS2)C(=O)N(CC2CC2)[C@@H]1CC1=CC=CC=C1,HFLCERPZYCWLSZ-VKONIRKNSA-N,O=C(Nc1nccs1)N1C[C@@H](Cc2ccccc2)[C@H](O)C1,ZINC15 : ZINC000929137044,consensus,0.43243243243243246,zinc15
O[C@@H]1[C@@H](O)[C@@H](CC2=CC=CC=C2)N(CC2=CC(=CC=C2)C(=O)NC2=NC=CS2)C(=O)N(CC2CC2)[C@@H]1CC1=CC=CC=C1,HFLCERPZYCWLSZ-VKONIRKNSA-N,O=C(Nc1nccs1)N1CCC2(CC1)C(=O)N(CC1CC1)[C@@H]2c1ccccc1,ZINC15 : ZINC001189360177,consensus,0.43209876543209874,zinc15
O[C@@H]1[C@@H](O)[C@@H](CC2=CC=CC=C2)N(CC2=CC(=CC=C2)C(=O)NC2=NC=CS2)C(=O)N(CC2CC2)[C@@H]1CC1=CC=CC=C1,HFLCERPZYCWLSZ-VKONIRKNSA-N,O=C(Nc1nccs1)N1CCC2(CC1)C(=O)N(CC1CC1)[C@H]2c1ccccc1,ZINC15 : ZINC001189360176,consensus,0.43209876543209874,zinc15
O[C@@H]1[C@@H](O)[C@@H](CC2=CC=CC=C2)N(CC2=CC(=CC=C2)C(=O)NC2=NC=CS2)C(=O)N(CC2CC2)[C@@H]1CC1=CC=CC=C1,HFLCERPZYCWLSZ-VKONIRKNSA-N,O=C(Nc1nccs1)[C@@H]1CCN1Cc1ccccc1,ZINC15 : ZINC000362252004,consensus,0.4305555555555556,zinc15
O[C@@H]1[C@@H](O)[C@@H](CC2=CC=CC=C2)N(CC2=CC(=CC=C2)C(=O)NC2=NC=CS2)C(=O)N(CC2CC2)[C@@H]1CC1=CC=CC=C1,HFLCERPZYCWLSZ-VKONIRKNSA-N,O=C(Nc1nccs1)[C@H]1CCN1Cc1ccccc1,ZINC15 : ZINC000362252002,consensus,0.4305555555555556,zinc15
O[C@@H]1[C@@H](O)[C@@H](CC2=CC=CC=C2)N(CC2=CC(=CC=C2)C(=O)NC2=NC=CS2)C(=O)N(CC2CC2)[C@@H]1CC1=CC=CC=C1,HFLCERPZYCWLSZ-VKONIRKNSA-N,O=C(C1=CC=CC(NC2=NC=CS2)=C1)N1C[C@@H](O)[C@H](CC2=CC=CC=C2)C1,ENAMINE-REAL : PV-005733474306,consensus,0.41975308641975306,enamine-real
O[C@@H]1[C@@H](O)[C@@H](CC2=CC=CC=C2)N(CC2=CC(=CC=C2)C(=O)NC2=NC=CS2)C(=O)N(CC2CC2)[C@@H]1CC1=CC=CC=C1,HFLCERPZYCWLSZ-VKONIRKNSA-N,O=C(C[C@@H]1C[C@@H]1Cc1ccccc1)Nc1nccs1,ZINC15 : ZINC001553058188,consensus,0.4166666666666667,zinc15
O[C@@H]1[C@@H](O)[C@@H](CC2=CC=CC=C2)N(CC2=CC(=CC=C2)C(=O)NC2=NC=CS2)C(=O)N(CC2CC2)[C@@H]1CC1=CC=CC=C1,HFLCERPZYCWLSZ-VKONIRKNSA-N,O=C(C[C@H]1C[C@H]1Cc1ccccc1)Nc1nccs1,ZINC15 : ZINC001553058183,consensus,0.4166666666666667,zinc15
O[C@@H]1[C@@H](O)[C@@H](CC2=CC=CC=C2)N(CC2=CC(=CC=C2)C(=O)NC2=NC=CS2)C(=O)N(CC2CC2)[C@@H]1CC1=CC=CC=C1,HFLCERPZYCWLSZ-VKONIRKNSA-N,O=C(C[C@@H]1C[C@H]1Cc1ccccc1)Nc1nccs1,ZINC15 : ZINC000929519937,consensus,0.4166666666666667,zinc15
O[C@@H]1[C@@H](O)[C@@H](CC2=CC=CC=C2)N(CC2=CC(=CC=C2)C(=O)NC2=NC=CS2)C(=O)N(CC2CC2)[C@@H]1CC1=CC=CC=C1,HFLCERPZYCWLSZ-VKONIRKNSA-N,O=C(C[C@H]1C[C@@H]1Cc1ccccc1)Nc1nccs1,ZINC15 : ZINC001553058186,consensus,0.4166666666666667,zinc15
O[C@@H]1[C@@H](O)[C@@H](CC2=CC=CC=C2)N(CC2=CC(=CC=C2)C(=O)NC2=NC=CS2)C(=O)N(CC2CC2)[C@@H]1CC1=CC=CC=C1,HFLCERPZYCWLSZ-VKONIRKNSA-N,O=C(Nc1nccs1)N1C[C@@H]2C(=O)N(Cc3ccccc3)C(=O)[C@@H]2C1,ZINC15 : ZINC000664313515,consensus,0.40789473684210525,zinc15
O[C@@H]1[C@@H](O)[C@@H](CC2=CC=CC=C2)N(CC2=CC(=CC=C2)C(=O)NC2=NC=CS2)C(=O)N(CC2CC2)[C@@H]1CC1=CC=CC=C1,HFLCERPZYCWLSZ-VKONIRKNSA-N,O=C(C[NH2+][C@@H]1CCCC[C@H]1Cc1ccccc1)Nc1nccs1,ZINC15 : ZINC000119105943,consensus,0.3974358974358974,zinc15
O[C@@H]1[C@@H](O)[C@@H](CC2=CC=CC=C2)N(CC2=CC(=CC=C2)C(=O)NC2=NC=CS2)C(=O)N(CC2CC2)[C@@H]1CC1=CC=CC=C1,HFLCERPZYCWLSZ-VKONIRKNSA-N,O=C(C[NH2+][C@H]1CCCC[C@H]1Cc1ccccc1)Nc1nccs1,ZINC15 : ZINC000119105690,consensus,0.3974358974358974,zinc15
