query_smiles,query_inchikey,smiles,identifier,search_type,score,database
COc1cc(OC)c2c(c1)C(=O)c1cc(C)cc(OC)c1C2=O,HICKZJMJOXACIR-UHFFFAOYSA-N,COc1cc(OC)c2c(c1)C(=O)c1cc(C)cc(OC)c1C2=O,ZINC15 : ZINC000004716484,consensus,1.0,zinc15
COc1cc(OC)c2c(c1)C(=O)c1cc(C)cc(OC)c1C2=O,HICKZJMJOXACIR-UHFFFAOYSA-N,COc1cccc2c1C(=O)c1c(OC)cc(C)cc1C2=O,ZINC15 : ZINC000004716483,consensus,0.6666666666666666,zinc15
COc1cc(OC)c2c(c1)C(=O)c1cc(C)cc(OC)c1C2=O,HICKZJMJOXACIR-UHFFFAOYSA-N,COc1cc(C)cc2c1C(=O)c1ccccc1C2=O,ZINC15 : ZINC000014488652,consensus,0.6571428571428571,zinc15
COc1cc(OC)c2c(c1)C(=O)c1cc(C)cc(OC)c1C2=O,HICKZJMJOXACIR-UHFFFAOYSA-N,COc1cc(O)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,ZINC15 : ZINC000003978794,consensus,0.6388888888888888,zinc15
COc1cc(OC)c2c(c1)C(=O)c1cc(C)cc(OC)c1C2=O,HICKZJMJOXACIR-UHFFFAOYSA-N,COc1cc(OC2CC2)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,ZINC15 : ZINC001227393908,consensus,0.5909090909090909,zinc15
COc1cc(OC)c2c(c1)C(=O)c1cc(C)cc(OC)c1C2=O,HICKZJMJOXACIR-UHFFFAOYSA-N,CC(=O)Oc1cc(OC(C)=O)c2c(c1)C(=O)c1cc(C)cc(OC(C)=O)c1C2=O,ZINC15 : ZINC000005663748,consensus,0.5897435897435898,zinc15
COc1cc(OC)c2c(c1)C(=O)c1cc(C)cc(OC)c1C2=O,HICKZJMJOXACIR-UHFFFAOYSA-N,COc1cc(OC2CC(=O)C2)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,ZINC15 : ZINC001227392815,consensus,0.5652173913043478,zinc15
COc1cc(OC)c2c(c1)C(=O)c1cc(C)cc(OC)c1C2=O,HICKZJMJOXACIR-UHFFFAOYSA-N,COc1cc(O[C@H](C)C(C)=O)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,ZINC15 : ZINC001227393735,consensus,0.5652173913043478,zinc15
COc1cc(OC)c2c(c1)C(=O)c1cc(C)cc(OC)c1C2=O,HICKZJMJOXACIR-UHFFFAOYSA-N,COc1cc(O[C@@H](C)C(C)=O)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,ZINC15 : ZINC001227393736,consensus,0.5652173913043478,zinc15
COc1cc(OC)c2c(c1)C(=O)c1cc(C)cc(OC)c1C2=O,HICKZJMJOXACIR-UHFFFAOYSA-N,C#C[C@H](C)Oc1cc(OC)cc2c1C(=O)c1c(O)cc(C)cc1C2=O,ZINC15 : ZINC001227395096,consensus,0.5531914893617021,zinc15
COc1cc(OC)c2c(c1)C(=O)c1cc(C)cc(OC)c1C2=O,HICKZJMJOXACIR-UHFFFAOYSA-N,COc1cc(OC2CCC(OC)CC2)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,ZINC15 : ZINC001227393303,consensus,0.5531914893617021,zinc15
COc1cc(OC)c2c(c1)C(=O)c1cc(C)cc(OC)c1C2=O,HICKZJMJOXACIR-UHFFFAOYSA-N,COC[C@H](C)Oc1cc(OC)cc2c1C(=O)c1c(O)cc(C)cc1C2=O,ZINC15 : ZINC001227395363,consensus,0.5531914893617021,zinc15
COc1cc(OC)c2c(c1)C(=O)c1cc(C)cc(OC)c1C2=O,HICKZJMJOXACIR-UHFFFAOYSA-N,COc1cc(OC[C@@H](C)OC)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,ZINC15 : ZINC001227392395,consensus,0.5531914893617021,zinc15
COc1cc(OC)c2c(c1)C(=O)c1cc(C)cc(OC)c1C2=O,HICKZJMJOXACIR-UHFFFAOYSA-N,COc1cc(OC2COC2)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,ZINC15 : ZINC001227394715,consensus,0.5531914893617021,zinc15
COc1cc(OC)c2c(c1)C(=O)c1cc(C)cc(OC)c1C2=O,HICKZJMJOXACIR-UHFFFAOYSA-N,C#C[C@@H](C)Oc1cc(OC)cc2c1C(=O)c1c(O)cc(C)cc1C2=O,ZINC15 : ZINC001227392814,consensus,0.5531914893617021,zinc15
COc1cc(OC)c2c(c1)C(=O)c1cc(C)cc(OC)c1C2=O,HICKZJMJOXACIR-UHFFFAOYSA-N,COc1cc(OC2CC[NH2+]CC2)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,ZINC15 : ZINC001217964271,consensus,0.5306122448979592,zinc15
COc1cc(OC)c2c(c1)C(=O)c1cc(C)cc(OC)c1C2=O,HICKZJMJOXACIR-UHFFFAOYSA-N,COc1cc(O[C@H](C)C[NH+](C)C)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,ZINC15 : ZINC001227391763,consensus,0.5306122448979592,zinc15
COc1cc(OC)c2c(c1)C(=O)c1cc(C)cc(OC)c1C2=O,HICKZJMJOXACIR-UHFFFAOYSA-N,COc1cc(O[C@@H](C)C[NH+](C)C)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,ZINC15 : ZINC001227391766,consensus,0.5306122448979592,zinc15
COc1cc(OC)c2c(c1)C(=O)c1cc(C)cc(OC)c1C2=O,HICKZJMJOXACIR-UHFFFAOYSA-N,COc1cc(O[C@H](C)CN(C)C)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,ZINC15 : ZINC001227391763,consensus,0.5306122448979592,zinc15
COc1cc(OC)c2c(c1)C(=O)c1cc(C)cc(OC)c1C2=O,HICKZJMJOXACIR-UHFFFAOYSA-N,COc1cc(O[C@@H](C)CN(C)C)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,ZINC15 : ZINC001227391766,consensus,0.5306122448979592,zinc15
COc1cc(OC)c2c(c1)C(=O)c1cc(C)cc(OC)c1C2=O,HICKZJMJOXACIR-UHFFFAOYSA-N,COc1cc(O[C@H]2C=CC(=O)C2)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,ZINC15 : ZINC001227393871,consensus,0.52,zinc15
COc1cc(OC)c2c(c1)C(=O)c1cc(C)cc(OC)c1C2=O,HICKZJMJOXACIR-UHFFFAOYSA-N,COc1cc(O[C@H]2COC[C@@H]2C)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,ZINC15 : ZINC001227395293,consensus,0.52,zinc15
