query_smiles,query_inchikey,smiles,identifier,search_type,score,database
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,HOOSGZJRQIVJSZ-NNBUQUNQSA-N,C[N+]12CCC(CC1)[C@H](OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,ZINC15 : ZINC000000601316,consensus,1.0,zinc15
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,HOOSGZJRQIVJSZ-NNBUQUNQSA-N,C[N+]12CCC(CC1)[C@@H](OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,ZINC15 : ZINC000003830579,consensus,1.0,zinc15
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,HOOSGZJRQIVJSZ-NNBUQUNQSA-N,O=C(O[C@@H]1C[N+]2(Br)CCC1CC2)C(O)(c1ccccc1)c1ccccc1,ZINC15 : ZINC000005063826,consensus,0.7272727272727273,zinc15
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,HOOSGZJRQIVJSZ-NNBUQUNQSA-N,O=C(O[C@H]1C[N+]2(Br)CCC1CC2)C(O)(c1ccccc1)c1ccccc1,ZINC15 : ZINC000001688449,consensus,0.7272727272727273,zinc15
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,HOOSGZJRQIVJSZ-NNBUQUNQSA-N,CC[C@@](CO)(C(=O)O[C@@H]1C[N+]2(C)CCC1CC2)c1ccccc1,ZINC15 : ZINC000000355496,consensus,0.673469387755102,zinc15
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,HOOSGZJRQIVJSZ-NNBUQUNQSA-N,CC[C@](CO)(C(=O)O[C@H]1C[N+]2(C)CCC1CC2)c1ccccc1,ZINC15 : ZINC000000355488,consensus,0.673469387755102,zinc15
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,HOOSGZJRQIVJSZ-NNBUQUNQSA-N,CC[C@](CO)(C(=O)O[C@@H]1C[N+]2(C)CCC1CC2)c1ccccc1,ZINC15 : ZINC000000355495,consensus,0.673469387755102,zinc15
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,HOOSGZJRQIVJSZ-NNBUQUNQSA-N,CC[C@@](CO)(C(=O)O[C@H]1C[N+]2(C)CCC1CC2)c1ccccc1,ZINC15 : ZINC000000355493,consensus,0.673469387755102,zinc15
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,HOOSGZJRQIVJSZ-NNBUQUNQSA-N,C[N+]1(C)CCC[C@H](OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,ZINC15 : ZINC000000000449,consensus,0.5957446808510638,zinc15
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,HOOSGZJRQIVJSZ-NNBUQUNQSA-N,C[N+]1(C)CCC[C@@H](OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,ZINC15 : ZINC000003813083,consensus,0.5957446808510638,zinc15
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,HOOSGZJRQIVJSZ-NNBUQUNQSA-N,O=C(O[C@@H]1C[NH+]2CCC1CC2)C(O)(c1ccccc1)c1ccccc1,ZINC15 : ZINC000000057479,consensus,0.574468085106383,zinc15
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,HOOSGZJRQIVJSZ-NNBUQUNQSA-N,O=C(O[C@H]1C[NH+]2CCC1CC2)C(O)(c1ccccc1)c1ccccc1,ZINC15 : ZINC000000057478,consensus,0.574468085106383,zinc15
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,HOOSGZJRQIVJSZ-NNBUQUNQSA-N,CC[N+]1(C)CCC[C@@H](OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,ZINC15 : ZINC000003813082,consensus,0.5490196078431373,zinc15
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,HOOSGZJRQIVJSZ-NNBUQUNQSA-N,CC[N+]1(C)CCC[C@H](OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,ZINC15 : ZINC000000601314,consensus,0.5490196078431373,zinc15
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,HOOSGZJRQIVJSZ-NNBUQUNQSA-N,CC[N@+]1(C)CCC[C@@H](OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,ZINC15 : ZINC000253387946,consensus,0.5490196078431373,zinc15
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,HOOSGZJRQIVJSZ-NNBUQUNQSA-N,CC[N@@+]1(C)CCC[C@@H](OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,ZINC15 : ZINC000253387948,consensus,0.5490196078431373,zinc15
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,HOOSGZJRQIVJSZ-NNBUQUNQSA-N,CC[N@+]1(C)CCC[C@H](OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,ZINC15 : ZINC000253387947,consensus,0.5490196078431373,zinc15
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,HOOSGZJRQIVJSZ-NNBUQUNQSA-N,CC[N@@+]1(C)CCC[C@H](OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,ZINC15 : ZINC000253387949,consensus,0.5490196078431373,zinc15
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,HOOSGZJRQIVJSZ-NNBUQUNQSA-N,C[NH+](C)[C@H]1CCC[C@@H]1OC(=O)C(O)(c1ccccc1)c1ccccc1,ZINC15 : ZINC000000536433,consensus,0.5306122448979592,zinc15
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,HOOSGZJRQIVJSZ-NNBUQUNQSA-N,C[NH+](C)[C@@H]1CCC[C@H]1OC(=O)C(O)(c1ccccc1)c1ccccc1,ZINC15 : ZINC000000536432,consensus,0.5306122448979592,zinc15
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,HOOSGZJRQIVJSZ-NNBUQUNQSA-N,C[NH+](C)[C@@H]1CCC[C@@H]1OC(=O)C(O)(c1ccccc1)c1ccccc1,ZINC15 : ZINC000000536434,consensus,0.5306122448979592,zinc15
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,HOOSGZJRQIVJSZ-NNBUQUNQSA-N,C[NH+](C)[C@H]1CCC[C@H]1OC(=O)C(O)(c1ccccc1)c1ccccc1,ZINC15 : ZINC000000536431,consensus,0.5306122448979592,zinc15
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,HOOSGZJRQIVJSZ-NNBUQUNQSA-N,C[N+](C)(C)[C@H]1CCC[C@H]1OC(=O)C(O)(c1ccccc1)c1ccccc1,ZINC15 : ZINC000000817532,consensus,0.5306122448979592,zinc15
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,HOOSGZJRQIVJSZ-NNBUQUNQSA-N,C[N+](C)(C)[C@H]1CCC[C@@H]1OC(=O)C(O)(c1ccccc1)c1ccccc1,ZINC15 : ZINC000000817534,consensus,0.5306122448979592,zinc15
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,HOOSGZJRQIVJSZ-NNBUQUNQSA-N,C[N+](C)(C)[C@@H]1CCC[C@H]1OC(=O)C(O)(c1ccccc1)c1ccccc1,ZINC15 : ZINC000000817533,consensus,0.5306122448979592,zinc15
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,HOOSGZJRQIVJSZ-NNBUQUNQSA-N,C[N+](C)(C)[C@@H]1CCC[C@@H]1OC(=O)C(O)(c1ccccc1)c1ccccc1,ZINC15 : ZINC000000817535,consensus,0.5306122448979592,zinc15
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,HOOSGZJRQIVJSZ-NNBUQUNQSA-N,O=C(OC1CCCC1)C(O)(c1ccccc1)c1ccccc1,ZINC15 : ZINC000825169656,consensus,0.5227272727272727,zinc15
