query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H]C(=O)C1=CC(O)=C(O)C=C1,IBGBGRVKPALMCQ-UHFFFAOYSA-N,O=Cc1ccc(O)c(O)c1,ZINC15 : 13245,consensus,1.0,zinc15
[H]C(=O)C1=CC(O)=C(O)C=C1,IBGBGRVKPALMCQ-UHFFFAOYSA-N,O=Cc1ccc(C=O)c(O)c1,ZINC15 : 34528525,consensus,0.6666666666666666,zinc15
[H]C(=O)C1=CC(O)=C(O)C=C1,IBGBGRVKPALMCQ-UHFFFAOYSA-N,O=Cc1ccc(Br)c(O)c1,ZINC15 : ZINC000034361124,consensus,0.64,zinc15
[H]C(=O)C1=CC(O)=C(O)C=C1,IBGBGRVKPALMCQ-UHFFFAOYSA-N,O=Cc1ccc([O-])c(O)c1,ZINC15 : 13245,consensus,0.64,zinc15
[H]C(=O)C1=CC(O)=C(O)C=C1,IBGBGRVKPALMCQ-UHFFFAOYSA-N,O=Cc1ccc(F)c(O)c1,ZINC15 : 32179820,consensus,0.64,zinc15
[H]C(=O)C1=CC(O)=C(O)C=C1,IBGBGRVKPALMCQ-UHFFFAOYSA-N,O=Cc1ccc(Cl)c(O)c1,ZINC15 : 13386179,consensus,0.64,zinc15
[H]C(=O)C1=CC(O)=C(O)C=C1,IBGBGRVKPALMCQ-UHFFFAOYSA-N,Cc1cc(C=O)ccc1O,ZINC15 : 2539478,consensus,0.64,zinc15
[H]C(=O)C1=CC(O)=C(O)C=C1,IBGBGRVKPALMCQ-UHFFFAOYSA-N,O=Cc1ccc(I)c(O)c1,ZINC15 : ZINC000000157906,consensus,0.64,zinc15
[H]C(=O)C1=CC(O)=C(O)C=C1,IBGBGRVKPALMCQ-UHFFFAOYSA-N,Nc1cc(C=O)ccc1O,ZINC15 : 36225078,consensus,0.64,zinc15
[H]C(=O)C1=CC(O)=C(O)C=C1,IBGBGRVKPALMCQ-UHFFFAOYSA-N,Cc1ccc(C=O)cc1O,ZINC15 : 2382842,consensus,0.64,zinc15
[H]C(=O)C1=CC(O)=C(O)C=C1,IBGBGRVKPALMCQ-UHFFFAOYSA-N,O=Cc1ccc(O)c(CO)c1,ZINC15 : 2003357,consensus,0.5925925925925926,zinc15
[H]C(=O)C1=CC(O)=C(O)C=C1,IBGBGRVKPALMCQ-UHFFFAOYSA-N,CCc1cc(C=O)ccc1O,ZINC15 : 95711064,consensus,0.5925925925925926,zinc15
[H]C(=O)C1=CC(O)=C(O)C=C1,IBGBGRVKPALMCQ-UHFFFAOYSA-N,CCc1ccc(C=O)cc1O,ZINC15 : 39059190,consensus,0.5925925925925926,zinc15
[H]C(=O)C1=CC(O)=C(O)C=C1,IBGBGRVKPALMCQ-UHFFFAOYSA-N,C=Cc1ccc(O)c(O)c1,ZINC15 : 896083,consensus,0.5833333333333334,zinc15
[H]C(=O)C1=CC(O)=C(O)C=C1,IBGBGRVKPALMCQ-UHFFFAOYSA-N,O=Cc1ccc(O)c(C(=O)[O-])c1,ZINC15 : 1655486,consensus,0.5714285714285714,zinc15
[H]C(=O)C1=CC(O)=C(O)C=C1,IBGBGRVKPALMCQ-UHFFFAOYSA-N,CC(C)c1cc(C=O)ccc1O,ZINC15 : 39103946,consensus,0.5714285714285714,zinc15
[H]C(=O)C1=CC(O)=C(O)C=C1,IBGBGRVKPALMCQ-UHFFFAOYSA-N,CSc1cc(C=O)ccc1O,ZINC15 : 90556912,consensus,0.5714285714285714,zinc15
