query_smiles,query_inchikey,smiles,identifier,search_type,score,database
BrC1=C2C=C(C=C(NCC3=CN=CN=C3)N2N=C1)C1=CC=CC=C1,IBUPHWYGVDAASU-UHFFFAOYSA-N,BrC1=C2N=CC=C(NCC3=CN=CN=C3)N2N=C1,ENAMINE-REAL : PV-003327998851,consensus,0.5294117647058824,enamine-real
BrC1=C2C=C(C=C(NCC3=CN=CN=C3)N2N=C1)C1=CC=CC=C1,IBUPHWYGVDAASU-UHFFFAOYSA-N,BrC1=CN=CC(CNC2=CC(C3=CC=CC=C3)=NC3=NC=NN23)=C1,ENAMINE-REAL : PV-004547398481,consensus,0.4666666666666667,enamine-real
BrC1=C2C=C(C=C(NCC3=CN=CN=C3)N2N=C1)C1=CC=CC=C1,IBUPHWYGVDAASU-UHFFFAOYSA-N,Brc1cc2ccccc2cc1NCc1cncnc1,ZINC15 : ZINC001167261461,consensus,0.46,zinc15
BrC1=C2C=C(C=C(NCC3=CN=CN=C3)N2N=C1)C1=CC=CC=C1,IBUPHWYGVDAASU-UHFFFAOYSA-N,c1nc2nc(-c3ccccc3)cc(NCc3cccnc3)n2n1,ZINC15 : ZINC000036646255,consensus,0.43333333333333335,zinc15
BrC1=C2C=C(C=C(NCC3=CN=CN=C3)N2N=C1)C1=CC=CC=C1,IBUPHWYGVDAASU-UHFFFAOYSA-N,c1cc2nc(-c3ccccc3)cc(NCc3cccnc3)n2n1,ZINC15 : ZINC000028958695,consensus,0.43103448275862066,zinc15
BrC1=C2C=C(C=C(NCC3=CN=CN=C3)N2N=C1)C1=CC=CC=C1,IBUPHWYGVDAASU-UHFFFAOYSA-N,BrC1=C2N=CC=C(NCC3=CC=CN=C3)N2N=C1,ENAMINE-REAL : PV-002868541548,consensus,0.42857142857142855,enamine-real
BrC1=C2C=C(C=C(NCC3=CN=CN=C3)N2N=C1)C1=CC=CC=C1,IBUPHWYGVDAASU-UHFFFAOYSA-N,Cc1cc(NCc2cccnc2)n2ncc(-c3ccccc3)c2n1,ZINC15 : ZINC000012374427,consensus,0.4262295081967213,zinc15
BrC1=C2C=C(C=C(NCC3=CN=CN=C3)N2N=C1)C1=CC=CC=C1,IBUPHWYGVDAASU-UHFFFAOYSA-N,Brc1cccc2ncc(NCc3cncnc3)n21,ZINC15 : ZINC001167266024,consensus,0.42592592592592593,zinc15
BrC1=C2C=C(C=C(NCC3=CN=CN=C3)N2N=C1)C1=CC=CC=C1,IBUPHWYGVDAASU-UHFFFAOYSA-N,Cc1cncc(CNc2cc(-c3ccccc3)nc3ncnn32)c1,ZINC15 : ZINC000340570773,consensus,0.41935483870967744,zinc15
BrC1=C2C=C(C=C(NCC3=CN=CN=C3)N2N=C1)C1=CC=CC=C1,IBUPHWYGVDAASU-UHFFFAOYSA-N,c1ccc(-c2cc(NCc3cncnc3)nc3ccccc32)cc1,ZINC15 : ZINC001156573445,consensus,0.41818181818181815,zinc15
