query_smiles,query_inchikey,smiles,identifier,search_type,score,database
COC1=CC(Cl)=C(C=C1C)C1=C(C)SC(=N1)N(CC#C)[C@@H](CC1CC1)C1=CC=C(C)C(F)=C1,IEAKXXNRGSLYTQ-DEOSSOPVSA-N,C#CCN(CC1CC1)c1nc2c(s1)c(OC)ccc2OC,ZINC15 : ZINC001642534083,morgan,0.3717948717948718,zinc15
COC1=CC(Cl)=C(C=C1C)C1=C(C)SC(=N1)N(CC#C)[C@@H](CC1CC1)C1=CC=C(C)C(F)=C1,IEAKXXNRGSLYTQ-DEOSSOPVSA-N,C#CCN(CC1CC1)c1nc2c(ccc(C)c2C)s1,ZINC15 : ZINC001186020949,morgan,0.3333333333333333,zinc15
COC1=CC(Cl)=C(C=C1C)C1=C(C)SC(=N1)N(CC#C)[C@@H](CC1CC1)C1=CC=C(C)C(F)=C1,IEAKXXNRGSLYTQ-DEOSSOPVSA-N,COc1nnc(CN(CC2CC2)c2ccc(C)c(F)c2)s1,ZINC15 : ZINC001644058968,morgan,0.30952380952380953,zinc15
COC1=CC(Cl)=C(C=C1C)C1=C(C)SC(=N1)N(CC#C)[C@@H](CC1CC1)C1=CC=C(C)C(F)=C1,IEAKXXNRGSLYTQ-DEOSSOPVSA-N,C#CCN(c1nc2c(cc(Cl)cc2F)s1)C1CC1,ZINC15 : ZINC001163326549,morgan,0.3048780487804878,zinc15
COC1=CC(Cl)=C(C=C1C)C1=C(C)SC(=N1)N(CC#C)[C@@H](CC1CC1)C1=CC=C(C)C(F)=C1,IEAKXXNRGSLYTQ-DEOSSOPVSA-N,C#CCN(Cc1nc(-c2ccc(C)c(OC)c2)no1)C1CC1,ZINC15 : ZINC000274169400,morgan,0.30337078651685395,zinc15
COC1=CC(Cl)=C(C=C1C)C1=C(C)SC(=N1)N(CC#C)[C@@H](CC1CC1)C1=CC=C(C)C(F)=C1,IEAKXXNRGSLYTQ-DEOSSOPVSA-N,C#CCN(CC1CC1)C(=O)C(=O)Nc1cc(F)c(F)cc1OC,ZINC15 : ZINC001117675981,morgan,0.3023255813953488,zinc15
COC1=CC(Cl)=C(C=C1C)C1=C(C)SC(=N1)N(CC#C)[C@@H](CC1CC1)C1=CC=C(C)C(F)=C1,IEAKXXNRGSLYTQ-DEOSSOPVSA-N,C#CCN(Cc1cc(Cl)c(OC)cc1Cl)C1CC1,ZINC15 : ZINC000764677932,morgan,0.3,zinc15
COC1=CC(Cl)=C(C=C1C)C1=C(C)SC(=N1)N(CC#C)[C@@H](CC1CC1)C1=CC=C(C)C(F)=C1,IEAKXXNRGSLYTQ-DEOSSOPVSA-N,COc1ccc(C#N)cc1CN(CC1CC1)c1ccc(C)c(F)c1,ZINC15 : ZINC001307980403,morgan,0.2988505747126437,zinc15
COC1=CC(Cl)=C(C=C1C)C1=C(C)SC(=N1)N(CC#C)[C@@H](CC1CC1)C1=CC=C(C)C(F)=C1,IEAKXXNRGSLYTQ-DEOSSOPVSA-N,COc1cc(Cl)c(-c2csc(CC3CC3)n2)cc1OC,ZINC15 : ZINC000543126701,morgan,0.2962962962962963,zinc15
COC1=CC(Cl)=C(C=C1C)C1=C(C)SC(=N1)N(CC#C)[C@@H](CC1CC1)C1=CC=C(C)C(F)=C1,IEAKXXNRGSLYTQ-DEOSSOPVSA-N,C#CCO[C@@H](C)C(=O)N(CC1CC1)c1ccc(C)c(F)c1,ZINC15 : ZINC000863601664,morgan,0.29545454545454547,zinc15
