query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H]N([H])[C@@H](CCC(=O)N([H])[C@@H](CSCC1=CC=CC2=CC=CC=C12)C(=O)N([H])CC(O)=O)C(O)=O,IHZCIRSQSFPOLH-IRXDYDNUSA-N,CNC(=O)CCC(=O)NC(CSCC1=CC=CC2=CC=CC=C12)C(=O)O,ENAMINE-REAL : Z4577360554,consensus,0.5901639344262295,enamine-real
[H]N([H])[C@@H](CCC(=O)N([H])[C@@H](CSCC1=CC=CC2=CC=CC=C12)C(=O)N([H])CC(O)=O)C(O)=O,IHZCIRSQSFPOLH-IRXDYDNUSA-N,O=C(CCCF)NC(CSCC1=CC=CC2=CC=CC=C12)C(=O)O,ENAMINE-REAL : Z4577360563,consensus,0.5806451612903226,enamine-real
[H]N([H])[C@@H](CCC(=O)N([H])[C@@H](CSCC1=CC=CC2=CC=CC=C12)C(=O)N([H])CC(O)=O)C(O)=O,IHZCIRSQSFPOLH-IRXDYDNUSA-N,N#CCCC(=O)NC(CSCC1=CC=CC2=CC=CC=C12)C(=O)O,ENAMINE-REAL : Z6066294309,consensus,0.5714285714285714,enamine-real
[H]N([H])[C@@H](CCC(=O)N([H])[C@@H](CSCC1=CC=CC2=CC=CC=C12)C(=O)N([H])CC(O)=O)C(O)=O,IHZCIRSQSFPOLH-IRXDYDNUSA-N,COCCC(=O)NC(CSCC1=CC=CC2=CC=CC=C12)C(=O)O,ENAMINE-REAL : Z4577360680,consensus,0.5714285714285714,enamine-real
[H]N([H])[C@@H](CCC(=O)N([H])[C@@H](CSCC1=CC=CC2=CC=CC=C12)C(=O)N([H])CC(O)=O)C(O)=O,IHZCIRSQSFPOLH-IRXDYDNUSA-N,CCC(=O)NC(CSCC1=CC=CC2=CC=CC=C12)C(=O)O,ENAMINE-REAL : Z4577360641,consensus,0.5666666666666667,enamine-real
[H]N([H])[C@@H](CCC(=O)N([H])[C@@H](CSCC1=CC=CC2=CC=CC=C12)C(=O)N([H])CC(O)=O)C(O)=O,IHZCIRSQSFPOLH-IRXDYDNUSA-N,CC(C)(C)NCCC(=O)NC(CSCC1=CC=CC2=CC=CC=C12)C(=O)O,ENAMINE-REAL : Z4577360557,consensus,0.5625,enamine-real
[H]N([H])[C@@H](CCC(=O)N([H])[C@@H](CSCC1=CC=CC2=CC=CC=C12)C(=O)N([H])CC(O)=O)C(O)=O,IHZCIRSQSFPOLH-IRXDYDNUSA-N,CN(C)C(=O)CCC(=O)NC(CSCC1=CC=CC2=CC=CC=C12)C(=O)O,ENAMINE-REAL : Z4577360551,consensus,0.5625,enamine-real
[H]N([H])[C@@H](CCC(=O)N([H])[C@@H](CSCC1=CC=CC2=CC=CC=C12)C(=O)N([H])CC(O)=O)C(O)=O,IHZCIRSQSFPOLH-IRXDYDNUSA-N,N#CCCCCC(=O)NC(CSCC1=CC=CC2=CC=CC=C12)C(=O)O,ENAMINE-REAL : Z4577360565,consensus,0.5538461538461539,enamine-real
[H]N([H])[C@@H](CCC(=O)N([H])[C@@H](CSCC1=CC=CC2=CC=CC=C12)C(=O)N([H])CC(O)=O)C(O)=O,IHZCIRSQSFPOLH-IRXDYDNUSA-N,COCC(=O)NC(CSCC1=CC=CC2=CC=CC=C12)C(=O)O,ENAMINE-REAL : Z4577360689,consensus,0.5396825396825397,enamine-real
[H]N([H])[C@@H](CCC(=O)N([H])[C@@H](CSCC1=CC=CC2=CC=CC=C12)C(=O)N([H])CC(O)=O)C(O)=O,IHZCIRSQSFPOLH-IRXDYDNUSA-N,CSCC[C@H](NC(=O)CC1=CC=CC2=CC=CC=C12)C(=O)NCC(=O)O,ENAMINE-REAL : Z5293044978,consensus,0.5384615384615384,enamine-real
