query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CC(C)NC(=O)C[C@H]1CCCN(C(=O)C2=C(Cl)C=C(C=C2)N2CCCC2)C2=CC=CC=C12,INGXCNVWWKKWOO-LJQANCHMSA-N,C[C@H]1CCCN(C(=O)c2ccc(S(N)(=O)=O)cc2Cl)c2ccccc21,ZINC15 : ZINC000538370834,consensus,0.4722222222222222,zinc15
CC(C)NC(=O)C[C@H]1CCCN(C(=O)C2=C(Cl)C=C(C=C2)N2CCCC2)C2=CC=CC=C12,INGXCNVWWKKWOO-LJQANCHMSA-N,C[C@@H]1CCCN(C(=O)c2ccc(S(N)(=O)=O)cc2Cl)c2ccccc21,ZINC15 : ZINC000538370833,consensus,0.4722222222222222,zinc15
CC(C)NC(=O)C[C@H]1CCCN(C(=O)C2=C(Cl)C=C(C=C2)N2CCCC2)C2=CC=CC=C12,INGXCNVWWKKWOO-LJQANCHMSA-N,COC(=O)[C@@H]1CCN(C(=O)c2ccc(OC(C)C)cc2Cl)c2ccccc21,ZINC15 : ZINC000410619139,consensus,0.4594594594594595,zinc15
CC(C)NC(=O)C[C@H]1CCCN(C(=O)C2=C(Cl)C=C(C=C2)N2CCCC2)C2=CC=CC=C12,INGXCNVWWKKWOO-LJQANCHMSA-N,COC(=O)[C@H]1CCN(C(=O)c2ccc(OC(C)C)cc2Cl)c2ccccc21,ZINC15 : ZINC000410619138,consensus,0.4594594594594595,zinc15
CC(C)NC(=O)C[C@H]1CCCN(C(=O)C2=C(Cl)C=C(C=C2)N2CCCC2)C2=CC=CC=C12,INGXCNVWWKKWOO-LJQANCHMSA-N,CC(C)NC(=O)CN1CCC[C@@H]1c1ccccc1Cl,ZINC15 : ZINC000052210857,consensus,0.43283582089552236,zinc15
CC(C)NC(=O)C[C@H]1CCCN(C(=O)C2=C(Cl)C=C(C=C2)N2CCCC2)C2=CC=CC=C12,INGXCNVWWKKWOO-LJQANCHMSA-N,CC(C)NC(=O)CN1CCC[C@H]1c1ccccc1Cl,ZINC15 : ZINC000052210859,consensus,0.43283582089552236,zinc15
CC(C)NC(=O)C[C@H]1CCCN(C(=O)C2=C(Cl)C=C(C=C2)N2CCCC2)C2=CC=CC=C12,INGXCNVWWKKWOO-LJQANCHMSA-N,O=C(c1ccc(OC2CCC2)cc1Cl)N1C[C@H](CO)c2ccccc21,ZINC15 : ZINC000498273789,consensus,0.43243243243243246,zinc15
CC(C)NC(=O)C[C@H]1CCCN(C(=O)C2=C(Cl)C=C(C=C2)N2CCCC2)C2=CC=CC=C12,INGXCNVWWKKWOO-LJQANCHMSA-N,O=C(c1ccc(OC2CCC2)cc1Cl)N1C[C@@H](CO)c2ccccc21,ZINC15 : ZINC000498273798,consensus,0.43243243243243246,zinc15
CC(C)NC(=O)C[C@H]1CCCN(C(=O)C2=C(Cl)C=C(C=C2)N2CCCC2)C2=CC=CC=C12,INGXCNVWWKKWOO-LJQANCHMSA-N,[NH3+]C[C@H]1CCN(C(=O)c2cc(N3CCCC3=O)ccc2Cl)c2ccccc21,ZINC15 : ZINC000639063318,consensus,0.42857142857142855,zinc15
CC(C)NC(=O)C[C@H]1CCCN(C(=O)C2=C(Cl)C=C(C=C2)N2CCCC2)C2=CC=CC=C12,INGXCNVWWKKWOO-LJQANCHMSA-N,[NH3+]C[C@@H]1CCN(C(=O)c2cc(N3CCCC3=O)ccc2Cl)c2ccccc21,ZINC15 : ZINC000639063317,consensus,0.42857142857142855,zinc15
