query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2,JAQUASYNZVUNQP-USXIJHARSA-N,C[N@H+]1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,ZINC15 : ZINC000003812984,consensus,0.58,zinc15
[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2,JAQUASYNZVUNQP-USXIJHARSA-N,C[N@H+]1CC[C@@]23CCCC[C@H]2[C@@H]1Cc1ccc(O)cc13,ZINC15 : ZINC000000002433,consensus,0.58,zinc15
[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2,JAQUASYNZVUNQP-USXIJHARSA-N,C[N@@H+]1CC[C@@]23CCCC[C@H]2[C@@H]1Cc1ccc(O)cc13,ZINC15 : ZINC000000002433,consensus,0.58,zinc15
[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2,JAQUASYNZVUNQP-USXIJHARSA-N,C[N@H+]1CC[C@@]23CCCC[C@@H]2[C@@H]1Cc1ccc(O)cc13,ZINC15 : ZINC000001280092,consensus,0.58,zinc15
[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2,JAQUASYNZVUNQP-USXIJHARSA-N,C[N@@H+]1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,ZINC15 : ZINC000003812984,consensus,0.58,zinc15
[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2,JAQUASYNZVUNQP-USXIJHARSA-N,C[N@@H+]1CC[C@@]23CCCC[C@@H]2[C@@H]1Cc1ccc(O)cc13,ZINC15 : ZINC000001280092,consensus,0.58,zinc15
[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2,JAQUASYNZVUNQP-USXIJHARSA-N,Oc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)[NH2+]CC3,ZINC15 : ZINC000001482126,consensus,0.56,zinc15
[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2,JAQUASYNZVUNQP-USXIJHARSA-N,C[N+]1([O-])CC[C@@]23CCCC[C@H]2[C@@H]1Cc1ccc(O)cc13,ZINC15 : ZINC000017284666,consensus,0.5471698113207547,zinc15
[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2,JAQUASYNZVUNQP-USXIJHARSA-N,C[N+]1([O-])CC[C@@]23CCCC[C@@H]2[C@@H]1Cc1ccc(O)cc13,ZINC15 : ZINC000004429833,consensus,0.5471698113207547,zinc15
[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2,JAQUASYNZVUNQP-USXIJHARSA-N,C=CC[N@@H+]1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,ZINC15 : ZINC000003875992,consensus,0.5087719298245614,zinc15
[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2,JAQUASYNZVUNQP-USXIJHARSA-N,C=CC[N@H+]1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,ZINC15 : ZINC000003875992,consensus,0.5087719298245614,zinc15
[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2,JAQUASYNZVUNQP-USXIJHARSA-N,CCOC(=O)N1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(OC)cc13,ZINC15 : ZINC000022058465,consensus,0.4918032786885246,zinc15
[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2,JAQUASYNZVUNQP-USXIJHARSA-N,Cc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)[N@H+](C)CC3,ZINC15 : ZINC000004215661,consensus,0.41818181818181815,zinc15
[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2,JAQUASYNZVUNQP-USXIJHARSA-N,Cc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)[N@@H+](C)CC3,ZINC15 : ZINC000004215661,consensus,0.41818181818181815,zinc15
[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2,JAQUASYNZVUNQP-USXIJHARSA-N,C[N@H+]1CC[C@@]23CC(=O)CC[C@@H]2[C@@H]1Cc1ccc(O)cc13,ZINC15 : ZINC000029221936,consensus,0.4067796610169492,zinc15
[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2,JAQUASYNZVUNQP-USXIJHARSA-N,C[N@@H+]1CC[C@@]23CC(=O)CC[C@@H]2[C@@H]1Cc1ccc(O)cc13,ZINC15 : ZINC000029221936,consensus,0.4067796610169492,zinc15
[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2,JAQUASYNZVUNQP-USXIJHARSA-N,CN1CCCCC1CN1CC2=CC=C(O)C=C2C1,ENAMINE-REAL : Z4267674299,consensus,0.4,enamine-real
