query_smiles,query_inchikey,smiles,identifier,search_type,score,database
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=S(c1ccccc1)c1ccccc1,ZINC15 : ZINC000000013563,consensus,0.5789473684210527,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,C[S@@](=O)c1ccccc1,ZINC15 : 3787942,consensus,0.5238095238095238,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,C[S@](=O)c1ccccc1,ZINC15 : 13564,consensus,0.5238095238095238,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,N[S@](=O)c1ccccc1,ZINC15 : 116355489,consensus,0.5238095238095238,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@]([O-])c1ccccc1,ZINC15 : 19735108,consensus,0.5238095238095238,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,N[S@@](=O)c1ccccc1,ZINC15 : 116355488,consensus,0.5238095238095238,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CS(=O)C1=CC=CC=C1,ENAMINE-REAL : PV-002832034902,consensus,0.5238095238095238,enamine-real
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CC[S@@](=O)c1ccccc1,ZINC15 : 5437218,consensus,0.4583333333333333,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CC[S@](=O)c1ccccc1,ZINC15 : 5955838,consensus,0.4583333333333333,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@@](CF)c1ccccc1,ZINC15 : 5492678,consensus,0.4583333333333333,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@](CF)c1ccccc1,ZINC15 : 6575816,consensus,0.4583333333333333,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CO[S@](=O)c1ccccc1,ZINC15 : 15441869,consensus,0.4583333333333333,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CCS(=O)C1=CC=CC=C1,ENAMINE-REAL : PV-002761343729,consensus,0.4583333333333333,enamine-real
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CO[S@@](=O)c1ccccc1,ZINC15 : 403126,consensus,0.4583333333333333,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,Nc1ccc([S@@](=O)c2ccccc2)cc1,ZINC15 : ZINC000019928437,consensus,0.44,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@](c1ccccc1)c1ccc(Cl)cc1,ZINC15 : ZINC000006116580,consensus,0.44,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,Nc1ccc([S@](=O)c2ccccc2)cc1,ZINC15 : ZINC000019928439,consensus,0.44,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@@](c1ccccc1)c1ccc(Cl)cc1,ZINC15 : ZINC000006116586,consensus,0.44,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CC(=O)c1ccc([S@@](=O)c2ccccc2)cc1,ZINC15 : ZINC000004073660,consensus,0.42857142857142855,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CC(=O)c1ccc([S@](=O)c2ccccc2)cc1,ZINC15 : ZINC000001401590,consensus,0.42857142857142855,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@](c1ccccc1)c1cccc([S@](=O)c2ccccc2)n1,ZINC15 : ZINC000004398826,consensus,0.4230769230769231,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@@](c1ccccc1)c1cccc([S@@](=O)c2ccccc2)n1,ZINC15 : ZINC000004398825,consensus,0.4230769230769231,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@@](c1ccccc1)c1cccc([S@](=O)c2ccccc2)n1,ZINC15 : ZINC000017111422,consensus,0.4230769230769231,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@@](ONc1ccccc1)c1ccccc1,ZINC15 : ZINC000004791852,consensus,0.39285714285714285,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@](ONc1ccccc1)c1ccccc1,ZINC15 : ZINC000017300878,consensus,0.39285714285714285,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,Nc1cccc([S@@](=O)[O-])c1,ZINC15 : 60121994,consensus,0.35714285714285715,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,C[S@@](=O)c1cccc(N)c1,ZINC15 : 336010,consensus,0.35714285714285715,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,C[S@](=O)c1cccc(N)c1,ZINC15 : 7023427,consensus,0.35714285714285715,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CS(=O)C1=CC(O)=CC=C1,ENAMINE-REAL : PV-002887589977,consensus,0.35714285714285715,enamine-real
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,C[S@@](=O)c1cccc(O)c1,ZINC15 : 113936663,consensus,0.35714285714285715,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,C[S@](=O)c1cccc(O)c1,ZINC15 : 113936664,consensus,0.35714285714285715,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@](CC[NH+]1CCCC1)c1ccccc1,ZINC15 : ZINC000033824355,consensus,0.3548387096774194,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@@](CC[NH+]1CCCC1)c1ccccc1,ZINC15 : ZINC000033824354,consensus,0.3548387096774194,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@@](CC[NH+]1CCCCCC1)c1ccccc1,ZINC15 : ZINC000033865085,consensus,0.34375,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@](CC[NH+]1CCCCC1)c1ccccc1,ZINC15 : ZINC000104661029,consensus,0.34375,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@](CC[NH+]1CCCCCC1)c1ccccc1,ZINC15 : ZINC000033865086,consensus,0.34375,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@@](CC[NH+]1CCCCC1)c1ccccc1,ZINC15 : ZINC000104661028,consensus,0.34375,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CC(=O)c1ccccc1,ZINC15 : 896628,consensus,0.3333333333333333,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,NC(=O)C1=CC=CC=C1,ENAMINE-REAL : PV-002261283691,consensus,0.3333333333333333,enamine-real
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@](c1nnc(-c2ccccc2)s1)c1ccccc1,ZINC15 : ZINC000006242914,consensus,0.3333333333333333,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,NC(=O)c1ccccc1,ZINC15 : 152996,consensus,0.3333333333333333,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,C[S@@](=O)c1ccccc1O,ZINC15 : 5211938,consensus,0.3333333333333333,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,C[S@](=O)c1ccccc1O,ZINC15 : 5211948,consensus,0.3333333333333333,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@](CCN1CCCCC1)c1ccccc1,ZINC15 : ZINC000104661029,consensus,0.3333333333333333,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@@](CCN1CCCCC1)c1ccccc1,ZINC15 : ZINC000104661028,consensus,0.3333333333333333,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@@](c1nnc(-c2ccccc2)s1)c1ccccc1,ZINC15 : ZINC000006242918,consensus,0.3333333333333333,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CCS(=O)C1=CC(O)=CC=C1,ENAMINE-REAL : PV-002820362499,consensus,0.3225806451612903,enamine-real
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CS(=O)C1=CC=CC=C1C1=CC=CC=C1,ENAMINE-REAL : PV-003469237993,consensus,0.3103448275862069,enamine-real
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CS(=O)C1=CC=CC(Br)=C1,ENAMINE-REAL : Z1154924343,consensus,0.3103448275862069,enamine-real
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CS(=O)C1=CC(F)=CC=C1,ENAMINE-REAL : PV-002801162966,consensus,0.3103448275862069,enamine-real
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@@]([O-])c1cccnc1,ZINC15 : 34319623,consensus,0.3103448275862069,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=C(CO)c1ccccc1,ZINC15 : 6116374,consensus,0.3076923076923077,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[P@]([O-])(O)c1ccccc1,ZINC15 : 1555311,consensus,0.3076923076923077,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[P@@]([O-])(O)c1ccccc1,ZINC15 : 1555311,consensus,0.3076923076923077,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CS(=O)C1=CC=C(O)C=C1,ENAMINE-REAL : PV-003031539785,consensus,0.3076923076923077,enamine-real
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=S(=O)(c1ccccc1)c1ccccc1,ZINC15 : ZINC000000154638,consensus,0.30434782608695654,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,N#Cc1ccccc1,ZINC15 : 899417,consensus,0.30434782608695654,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=P(=O)c1ccccc1,ZINC15 : 38191461,consensus,0.30434782608695654,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,COC(=O)C1=CC=CC=C1,ENAMINE-REAL : PV-002924410116,consensus,0.2962962962962963,enamine-real
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,N#CC(=O)c1ccccc1,ZINC15 : 59212891,consensus,0.2962962962962963,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CNC(=O)C1=CC=CC=C1,ENAMINE-REAL : PV-002162463655,consensus,0.2962962962962963,enamine-real
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=NN(O)c1ccccc1,ZINC15 : 12358639,consensus,0.2962962962962963,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,NNC(=O)C1=CC=CC=C1,ENAMINE-REAL : PV-006294373333,consensus,0.2962962962962963,enamine-real
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CS(=O)C1=CC=CC=C1Cl,ENAMINE-REAL : PV-002819966971,consensus,0.2857142857142857,enamine-real
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CS(=O)C1=CC=CC=C1F,ENAMINE-REAL : PV-002991993842,consensus,0.2857142857142857,enamine-real
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=S(=O)(c1ccccc1)c1ccc(O)cc1,ZINC15 : ZINC000001593163,consensus,0.2857142857142857,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CCS(=O)C1=CC(F)=CC=C1,ENAMINE-REAL : PV-003002894527,consensus,0.28125,enamine-real
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CS(=O)(=O)C1=CC=CC=C1,ENAMINE-REAL : PV-002309175885,consensus,0.28,enamine-real
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,C[Si](=O)c1ccccc1,ZINC15 : 195770897,consensus,0.28,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,NS(=O)(=O)C1=CC=CC=C1,ENAMINE-REAL : PV-002104718869,consensus,0.28,enamine-real
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[N+]([O-])c1ccccc1,ZINC15 : 896426,consensus,0.28,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,C[P@H](=O)c1ccccc1,ZINC15 : 38530110,consensus,0.28,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=P([O-])([O-])c1ccccc1,ZINC15 : 1555311,consensus,0.28,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,C[P@@H](=O)c1ccccc1,ZINC15 : 38530110,consensus,0.28,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=S(=O)([O-])c1ccccc1,ZINC15 : 1555312,consensus,0.28,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,S=C(S)c1ccccc1,ZINC15 : 1847768,consensus,0.28,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CP(C)(=O)c1ccccc1,ZINC15 : 2015860,consensus,0.28,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,C=C(C)c1ccccc1,ZINC15 : 1699968,consensus,0.28,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,NP(N)(=O)c1ccccc1,ZINC15 : 1555385,consensus,0.28,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,C[C@@H](O)c1ccccc1,ZINC15 : 896626,consensus,0.28,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,NC(=[NH2+])c1ccccc1,ZINC15 : 36634,consensus,0.28,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,C=C(F)c1ccccc1,ZINC15 : 96028547,consensus,0.28,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[P+]([O-])c1ccccc1,ZINC15 : 38322132,consensus,0.28,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,C=C(Br)c1ccccc1,ZINC15 : 1848429,consensus,0.28,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,C[C@H](O)c1ccccc1,ZINC15 : 896625,consensus,0.28,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CC(C)(O)c1ccccc1,ZINC15 : 1591819,consensus,0.28,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[P@H]([O-])c1ccccc1,ZINC15 : 1996013,consensus,0.28,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[P@@H]([O-])c1ccccc1,ZINC15 : 1996013,consensus,0.28,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,N=S(=O)(c1ccccc1)c1ccccc1,ZINC15 : ZINC000001692952,consensus,0.28,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,C[S@](=O)c1ccccn1,ZINC15 : 5159475,consensus,0.27586206896551724,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CCS(=O)C1=CC=C(O)C=C1,ENAMINE-REAL : PV-002899183729,consensus,0.27586206896551724,enamine-real
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@@]([O-])c1ccccn1,ZINC15 : 35822549,consensus,0.27586206896551724,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CS(=O)C1=CC=CC=N1,ENAMINE-REAL : PV-002973198569,consensus,0.27586206896551724,enamine-real
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,C[S@@](=O)c1ccccn1,ZINC15 : 5159465,consensus,0.27586206896551724,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CS(=O)C1=CC=C(CO)C=C1,ENAMINE-REAL : PV-002995667489,consensus,0.27586206896551724,enamine-real
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@@](CCN1CCN(S(=O)(=O)c2ccccc2)CC1)c1ccccc1,ZINC15 : ZINC000517094503,consensus,0.275,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@](CCN1CCN(S(=O)(=O)c2ccccc2)CC1)c1ccccc1,ZINC15 : ZINC000517094504,consensus,0.275,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CS(=O)C1=CC=CC=C1/C=C/C1=CC=CC=C1,ENAMINE-REAL : PV-008590363385,consensus,0.2727272727272727,enamine-real
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,C[S@@](=O)c1cccc([N+](=O)[O-])c1,ZINC15 : 8628074,consensus,0.2727272727272727,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,C[S@](=O)c1cccc([N+](=O)[O-])c1,ZINC15 : 4963129,consensus,0.2727272727272727,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=S(c1ccccc1)c1ccccc1,ZINC15 : ZINC000000013563,morgan,0.5789473684210527,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@]([O-])c1ccccc1,ZINC15 : 19735108,morgan,0.5238095238095238,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CS(=O)C1=CC=CC=C1,ENAMINE-REAL : PV-002832034902,morgan,0.5238095238095238,enamine-real
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CC[S@](=O)c1ccccc1,ZINC15 : 5955838,morgan,0.4583333333333333,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CO[S@](=O)c1ccccc1,ZINC15 : 15441869,morgan,0.4583333333333333,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CC[S@@](=O)c1ccccc1,ZINC15 : 5437218,morgan,0.4583333333333333,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CO[S@@](=O)c1ccccc1,ZINC15 : 403126,morgan,0.4583333333333333,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@@](c1ccccc1)c1ccc(Cl)cc1,ZINC15 : ZINC000006116586,morgan,0.44,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@](c1ccccc1)c1ccc(Cl)cc1,ZINC15 : ZINC000006116580,morgan,0.44,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,Nc1ccc([S@@](=O)c2ccccc2)cc1,ZINC15 : ZINC000019928437,morgan,0.44,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,Nc1ccc([S@](=O)c2ccccc2)cc1,ZINC15 : ZINC000019928439,morgan,0.44,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CC(=O)c1ccc([S@](=O)c2ccccc2)cc1,ZINC15 : ZINC000001401590,morgan,0.42857142857142855,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,CC(=O)c1ccc([S@@](=O)c2ccccc2)cc1,ZINC15 : ZINC000004073660,morgan,0.42857142857142855,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@](c1ccccc1)c1cccc([S@](=O)c2ccccc2)n1,ZINC15 : ZINC000004398826,morgan,0.4230769230769231,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@@](c1ccccc1)c1cccc([S@](=O)c2ccccc2)n1,ZINC15 : ZINC000017111422,morgan,0.4230769230769231,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@@](c1ccccc1)c1cccc([S@@](=O)c2ccccc2)n1,ZINC15 : ZINC000004398825,morgan,0.4230769230769231,zinc15
O[S@@](=O)C1=CC=CC=C1,JEHKKBHWRAXMCH-UHFFFAOYSA-N,O=[S@](ONc1ccccc1)c1ccccc1,ZINC15 : ZINC000017300878,morgan,0.39285714285714285,zinc15
