query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CO[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O[C@H]2CC[C@@]3(C)[C@@H](CC[C@]4(C)[C@@H]3C=CC3=C5CC(C)(C)CC[C@@]5(CO)[C@H](O)C[C@]34C)[C@]2(C)CO)O[C@@H]1C,JGTYOOKXGOJQII-IBUQTYFYSA-N,CC1(C)CC[C@]2(CO)C(=C3C=C[C@@H]4[C@]5(C)CC[C@H](O)[C@](C)(CO)[C@@H]5CC[C@]4(C)[C@@]3(C)C[C@H]2O)C1,ZINC15 : ZINC000257521009,consensus,0.5952380952380952,zinc15
CO[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O[C@H]2CC[C@@]3(C)[C@@H](CC[C@]4(C)[C@@H]3C=CC3=C5CC(C)(C)CC[C@@]5(CO)[C@H](O)C[C@]34C)[C@]2(C)CO)O[C@@H]1C,JGTYOOKXGOJQII-IBUQTYFYSA-N,CC1(C)CC[C@@]2(CO)C(=C3C=C[C@H]4[C@@](C)(CC[C@H]5[C@](C)(CO)[C@@H](O)CC[C@]45C)[C@]3(C)C[C@@H]2O)C1,ZINC15 : ZINC000031343414,consensus,0.5952380952380952,zinc15
CO[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O[C@H]2CC[C@@]3(C)[C@@H](CC[C@]4(C)[C@@H]3C=CC3=C5CC(C)(C)CC[C@@]5(CO)[C@H](O)C[C@]34C)[C@]2(C)CO)O[C@@H]1C,JGTYOOKXGOJQII-IBUQTYFYSA-N,CC1(C)CC[C@]2(CO)C(=C3C=C[C@@H]4[C@]5(C)CC[C@H](O)[C@](C)(CO)[C@@H]5CC[C@]4(C)[C@]3(C)C[C@H]2O)C1,ZINC15 : ZINC000257521008,consensus,0.5952380952380952,zinc15
CO[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O[C@H]2CC[C@@]3(C)[C@@H](CC[C@]4(C)[C@@H]3C=CC3=C5CC(C)(C)CC[C@@]5(CO)[C@H](O)C[C@]34C)[C@]2(C)CO)O[C@@H]1C,JGTYOOKXGOJQII-IBUQTYFYSA-N,CC1(C)CC[C@]2(CO)C(=C3C=C[C@@H]4[C@]5(C)CC[C@H](O)[C@](C)(CO)[C@@H]5CC[C@]4(C)[C@@]3(C)C[C@@H]2O)C1,ZINC15 : ZINC000257521010,consensus,0.5952380952380952,zinc15
CO[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O[C@H]2CC[C@@]3(C)[C@@H](CC[C@]4(C)[C@@H]3C=CC3=C5CC(C)(C)CC[C@@]5(CO)[C@H](O)C[C@]34C)[C@]2(C)CO)O[C@@H]1C,JGTYOOKXGOJQII-IBUQTYFYSA-N,CC1(C)CC[C@]2(CO)C(=C3C=C[C@@H]4[C@]5(C)CC[C@H](O)[C@](C)(CO)[C@@H]5CC[C@]4(C)[C@]3(C)C[C@@H]2O)C1,ZINC15 : ZINC000257521007,consensus,0.5952380952380952,zinc15
CO[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O[C@H]2CC[C@@]3(C)[C@@H](CC[C@]4(C)[C@@H]3C=CC3=C5CC(C)(C)CC[C@@]5(CO)[C@H](O)C[C@]34C)[C@]2(C)CO)O[C@@H]1C,JGTYOOKXGOJQII-IBUQTYFYSA-N,CC1(C)CC[C@]2(C(=O)[O-])[C@H](O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)C(C)(C)[C@H]5CC[C@]43C)[C@H]2C1,ZINC15 : ZINC000584909007,consensus,0.40186915887850466,zinc15
CO[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O[C@H]2CC[C@@]3(C)[C@@H](CC[C@]4(C)[C@@H]3C=CC3=C5CC(C)(C)CC[C@@]5(CO)[C@H](O)C[C@]34C)[C@]2(C)CO)O[C@@H]1C,JGTYOOKXGOJQII-IBUQTYFYSA-N,CC1(C)CC[C@]2(C(=O)[O-])[C@@H](O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,ZINC15 : ZINC000095910858,consensus,0.40186915887850466,zinc15
CO[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O[C@H]2CC[C@@]3(C)[C@@H](CC[C@]4(C)[C@@H]3C=CC3=C5CC(C)(C)CC[C@@]5(CO)[C@H](O)C[C@]34C)[C@]2(C)CO)O[C@@H]1C,JGTYOOKXGOJQII-IBUQTYFYSA-N,CC1(C)CC[C@]2(C(=O)[O-])[C@H](O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]2C1,ZINC15 : ZINC000049833012,consensus,0.40186915887850466,zinc15
CO[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O[C@H]2CC[C@@]3(C)[C@@H](CC[C@]4(C)[C@@H]3C=CC3=C5CC(C)(C)CC[C@@]5(CO)[C@H](O)C[C@]34C)[C@]2(C)CO)O[C@@H]1C,JGTYOOKXGOJQII-IBUQTYFYSA-N,CC1(C)CC[C@]2(C(=O)[O-])[C@H](O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,ZINC15 : ZINC000169731135,consensus,0.40186915887850466,zinc15
CO[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O[C@H]2CC[C@@]3(C)[C@@H](CC[C@]4(C)[C@@H]3C=CC3=C5CC(C)(C)CC[C@@]5(CO)[C@H](O)C[C@]34C)[C@]2(C)CO)O[C@@H]1C,JGTYOOKXGOJQII-IBUQTYFYSA-N,CC1(C)CC[C@]2(C(=O)[O-])[C@@H](O)C[C@@]3(C)C(=CC[C@@H]4[C@@]3(C)CC[C@H]3C(C)(C)[C@H](O[C@H]5O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]5O)CC[C@]34C)[C@@H]2C1,ZINC15 : ZINC000253594942,consensus,0.40186915887850466,zinc15
