query_smiles,query_inchikey,smiles,identifier,search_type,score,database
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,O=S(=O)([O-])CCN1CCN(CCO)CC1,ZINC15 : ZINC000019203136,espsim_shape,0.6666666666666666,zinc15
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,CCS(=O)(=O)CCN1CCN(CCO)CC1,ENAMINE-REAL : Z1228453142,espsim_shape,0.6428571428571429,enamine-real
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,CNS(=O)(=O)CCN1CCN(CCO)CC1,ZINC15 : ZINC001329482875,espsim_shape,0.6,zinc15
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,O=S(=O)([O-])CN1CCN(CCO)CC1,ZINC15 : ZINC000019366017,espsim_shape,0.5517241379310345,zinc15
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,CN1CCN(CCS(=O)(=O)CCO)CC1,ENAMINE-REAL : Z4110002834,espsim_shape,0.5161290322580645,enamine-real
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,O=C(O)CCN1CCN(CCO)CC1,ENAMINE-REAL : PV-005505302095,espsim_shape,0.4827586206896552,enamine-real
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,O=S(=O)([O-])CC[NH+]1CCN(CCO)CC1,ZINC15 : ZINC000019203136,espsim_shape,0.45714285714285713,zinc15
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,CS(=O)CCN1CCN(CCO)CC1,ENAMINE-REAL : PV-002404761411,espsim_shape,0.45161290322580644,enamine-real
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,O=S(=O)(CCO)CCN1CCC2(CC1)CC2,ENAMINE-REAL : Z4110218005,espsim_shape,0.4411764705882353,enamine-real
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,O=S(=O)(CCO)CCN1CCC(O)CC1,ENAMINE-REAL : Z4110003432,espsim_shape,0.4411764705882353,enamine-real
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,O=S(=O)(CCO)CCN1CCC(F)CC1,ENAMINE-REAL : Z4110521630,espsim_shape,0.4411764705882353,enamine-real
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,OCCN1CCN(CCC(F)(F)F)CC1,ZINC15 : ZINC000070205458,espsim_shape,0.43333333333333335,zinc15
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,CC(C)CCN1CCN(CCO)CC1,ENAMINE-REAL : Z138656734,espsim_shape,0.43333333333333335,enamine-real
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,CC1CCN(CCS(=O)(=O)CCO)CC1,ENAMINE-REAL : Z4110000445,espsim_shape,0.42857142857142855,enamine-real
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,O=S(=O)(CCO)CCN1CCC(CO)CC1,ENAMINE-REAL : Z4110011800,espsim_shape,0.42857142857142855,enamine-real
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,C=C1CCN(CCS(=O)(=O)CCO)CC1,ENAMINE-REAL : Z4110092653,espsim_shape,0.42857142857142855,enamine-real
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,O=S(=O)(CCO)CCN1CCC(F)(F)CC1,ENAMINE-REAL : Z4110336889,espsim_shape,0.42857142857142855,enamine-real
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,CCS(=O)(=O)CCN1CCN(C)CC1,ENAMINE-REAL : Z1228453014,espsim_shape,0.41935483870967744,enamine-real
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,CCCN1CCN(CCS(C)(=O)=O)CC1,ENAMINE-REAL : Z195614200,espsim_shape,0.41935483870967744,enamine-real
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,CCN1CCN(CCS(=O)(=O)CC)CC1,ZINC15 : ZINC000118390189,espsim_shape,0.41935483870967744,zinc15
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,O=S(=O)(CCCO)CCN1CCC(O)CC1,ENAMINE-REAL : Z4029217202,espsim_shape,0.4166666666666667,enamine-real
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,NS(=O)(=O)CCN1CCC(CCO)CC1,ZINC15 : ZINC000740878156,espsim_shape,0.4166666666666667,zinc15
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,O=S(=O)(CCO)CCN1CCC2(C=C2)CC1,ENAMINE-REAL : Z4155938081,espsim_shape,0.4166666666666667,enamine-real
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,O=S(=O)(CCCO)CCN1CCC(F)CC1,ENAMINE-REAL : Z4030736089,espsim_shape,0.4166666666666667,enamine-real
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,CP1(=O)CCN(CCS(=O)(=O)CCO)CC1,ENAMINE-REAL : Z4401910258,espsim_shape,0.4166666666666667,enamine-real
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,CS(=O)(=O)CCN1CCC(CCO)CC1,ZINC15 : ZINC000143247130,espsim_shape,0.4166666666666667,zinc15
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,CC(F)CCN1CCN(CCO)CC1,ENAMINE-REAL : Z2068973924,espsim_shape,0.40625,enamine-real
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,CC(C)(F)CCN1CCN(CCO)CC1,ENAMINE-REAL : Z3875049394,espsim_shape,0.40625,enamine-real
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,NS(=O)(=O)CCN1CCN(CCI)CC1,ENAMINE-REAL : Z1865156052,espsim_shape,0.40625,enamine-real
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,CC(F)(F)CCN1CCN(CCO)CC1,ENAMINE-REAL : Z2616261883,espsim_shape,0.40625,enamine-real
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,NS(=O)(=O)CCN1CCN(CCF)CC1,ENAMINE-REAL : Z1414628352,espsim_shape,0.40625,enamine-real
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,CS(=O)(=O)CCN1CCN(CCF)CC1,ENAMINE-REAL : Z1535046440,espsim_shape,0.40625,enamine-real
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,O=S(=O)(CCO)CCN1CCC(=C(F)F)CC1,ENAMINE-REAL : Z4110446147,espsim_shape,0.40540540540540543,enamine-real
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,O=S(=O)(CCO)CCN1CCC(CF)CC1,ENAMINE-REAL : Z4110405234,espsim_shape,0.40540540540540543,enamine-real
OCCN1CCN(CCS(O)(=O)=O)CC1,JKMHFZQWWAIEOD-UHFFFAOYSA-N,O=S(=O)(CCO)CCN1CCC(F)(CO)CC1,ENAMINE-REAL : Z4110652191,espsim_shape,0.40540540540540543,enamine-real
