query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@](N)(CC1=CC=C2C=CC=CC2=C1)C(O)=O,JPZXHKDZASGCLU-LBPRGKRZSA-N,N[C@H](Cc1ccc2ccccc2c1)C(=O)OCc1ccccc1,ZINC15 : ZINC000034309984,consensus,0.6842105263157895,zinc15
[H][C@](N)(CC1=CC=C2C=CC=CC2=C1)C(O)=O,JPZXHKDZASGCLU-LBPRGKRZSA-N,N[C@@H](Cc1ccc2ccccc2c1)C(=O)OCc1ccccc1,ZINC15 : ZINC000002392303,consensus,0.6842105263157895,zinc15
[H][C@](N)(CC1=CC=C2C=CC=CC2=C1)C(O)=O,JPZXHKDZASGCLU-LBPRGKRZSA-N,N[C@@H](CC1=CC=C(NC(=O)CC2=CC=C3C=CC=CC3=C2)C=C1)C(=O)O,ENAMINE-REAL : Z3824399775,consensus,0.6829268292682927,enamine-real
[H][C@](N)(CC1=CC=C2C=CC=CC2=C1)C(O)=O,JPZXHKDZASGCLU-LBPRGKRZSA-N,N[C@H](CC1=CC=C(NC(=O)CC2=CC=C3C=CC=CC3=C2)C=C1)C(=O)O,ENAMINE-REAL : PV-006802166072,consensus,0.6829268292682927,enamine-real
[H][C@](N)(CC1=CC=C2C=CC=CC2=C1)C(O)=O,JPZXHKDZASGCLU-LBPRGKRZSA-N,COC(=O)[C@@H](N)Cc1ccc2ccccc2c1,ZINC15 : ZINC000023640481,consensus,0.6756756756756757,zinc15
[H][C@](N)(CC1=CC=C2C=CC=CC2=C1)C(O)=O,JPZXHKDZASGCLU-LBPRGKRZSA-N,COC(=O)[C@H](N)Cc1ccc2ccccc2c1,ZINC15 : ZINC000023640484,consensus,0.6756756756756757,zinc15
[H][C@](N)(CC1=CC=C2C=CC=CC2=C1)C(O)=O,JPZXHKDZASGCLU-LBPRGKRZSA-N,CC(CC1=CC=C2C=CC=CC2=C1)NC(=O)CC(N)C(=O)O,ENAMINE-REAL : Z5004242005,consensus,0.6428571428571429,enamine-real
[H][C@](N)(CC1=CC=C2C=CC=CC2=C1)C(O)=O,JPZXHKDZASGCLU-LBPRGKRZSA-N,N[C@@H](CC1=CC=C(NC(=O)C2=CC=C3C=CC=CC3=C2)C=C1)C(=O)O,ENAMINE-REAL : Z3824395518,consensus,0.6428571428571429,enamine-real
[H][C@](N)(CC1=CC=C2C=CC=CC2=C1)C(O)=O,JPZXHKDZASGCLU-LBPRGKRZSA-N,N[C@H](CC1=CC=C(NC(=O)C2=CC=C3C=CC=CC3=C2)C=C1)C(=O)O,ENAMINE-REAL : PV-007153714802,consensus,0.6428571428571429,enamine-real
[H][C@](N)(CC1=CC=C2C=CC=CC2=C1)C(O)=O,JPZXHKDZASGCLU-LBPRGKRZSA-N,CC(CC1=CC=C2C=CC=CC2=C1)NC(=O)C[C@@H](N)C(=O)O,ENAMINE-REAL : Z5004242009,consensus,0.6428571428571429,enamine-real
