query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@@](N)(C(O)=O)[C@@]([H])(O)OP(O)(O)=O,JVLKWZAWYDOHCD-GPKNORDASA-N,O=C([O-])[C@H](O)OP(=O)([O-])[O-],ZINC15 : 95881966,consensus,0.2903225806451613,zinc15
[H][C@@](N)(C(O)=O)[C@@]([H])(O)OP(O)(O)=O,JVLKWZAWYDOHCD-GPKNORDASA-N,O=C([O-])[C@@H](O)OP(=O)([O-])[O-],ZINC15 : 95881965,consensus,0.2903225806451613,zinc15
[H][C@@](N)(C(O)=O)[C@@]([H])(O)OP(O)(O)=O,JVLKWZAWYDOHCD-GPKNORDASA-N,COC(=O)[C@@H](N)[C@@H](O)C(F)(F)F,ZINC15 : 21981524,consensus,0.2857142857142857,zinc15
[H][C@@](N)(C(O)=O)[C@@]([H])(O)OP(O)(O)=O,JVLKWZAWYDOHCD-GPKNORDASA-N,COC(=O)[C@@H](N)[C@H](O)C(F)(F)F,ZINC15 : 21981528,consensus,0.2857142857142857,zinc15
[H][C@@](N)(C(O)=O)[C@@]([H])(O)OP(O)(O)=O,JVLKWZAWYDOHCD-GPKNORDASA-N,COC(=O)[C@H](N)[C@@H](O)C(F)(F)F,ZINC15 : 21981526,consensus,0.2857142857142857,zinc15
[H][C@@](N)(C(O)=O)[C@@]([H])(O)OP(O)(O)=O,JVLKWZAWYDOHCD-GPKNORDASA-N,COC(=O)[C@H](N)[C@H](O)C(F)(F)F,ZINC15 : 21981529,consensus,0.2857142857142857,zinc15
[H][C@@](N)(C(O)=O)[C@@]([H])(O)OP(O)(O)=O,JVLKWZAWYDOHCD-GPKNORDASA-N,COC(=O)[C@H](N)[C@@H](O)C(=O)OC,ZINC15 : 22058066,consensus,0.28125,zinc15
[H][C@@](N)(C(O)=O)[C@@]([H])(O)OP(O)(O)=O,JVLKWZAWYDOHCD-GPKNORDASA-N,COC(=O)[C@@H](O)[C@@H](N)C(=O)OC,ZINC15 : 22058075,consensus,0.28125,zinc15
[H][C@@](N)(C(O)=O)[C@@]([H])(O)OP(O)(O)=O,JVLKWZAWYDOHCD-GPKNORDASA-N,CC(C)OC(=O)[C@H](N)C(C)C,ZINC15 : 34242097,consensus,0.28125,zinc15
[H][C@@](N)(C(O)=O)[C@@]([H])(O)OP(O)(O)=O,JVLKWZAWYDOHCD-GPKNORDASA-N,CC(C)OC(=O)[C@@H](N)C(C)C,ZINC15 : 34242095,consensus,0.28125,zinc15
[H][C@@](N)(C(O)=O)[C@@]([H])(O)OP(O)(O)=O,JVLKWZAWYDOHCD-GPKNORDASA-N,COC(=O)[C@@H](N)[C@@H](O)C(=O)OC,ZINC15 : 22058062,consensus,0.28125,zinc15
[H][C@@](N)(C(O)=O)[C@@]([H])(O)OP(O)(O)=O,JVLKWZAWYDOHCD-GPKNORDASA-N,COC(=O)[C@H](N)[C@H](C)O,ZINC15 : 34924610,consensus,0.28125,zinc15
[H][C@@](N)(C(O)=O)[C@@]([H])(O)OP(O)(O)=O,JVLKWZAWYDOHCD-GPKNORDASA-N,COC(=O)[C@H](N)[C@@H](C)O,ZINC15 : 34924611,consensus,0.28125,zinc15
