query_smiles,query_inchikey,smiles,identifier,search_type,score,database
O.O.[Al+3].[Al+3].[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-],KGOIAFZMMLWXLM-UHFFFAOYSA-N,O=NOS(=O)(=O)[O-],ZINC15 : 245190594,consensus,0.14285714285714285,zinc15
O.O.[Al+3].[Al+3].[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-],KGOIAFZMMLWXLM-UHFFFAOYSA-N,O=[N+]([O-])O[C@@H]1CO[C@H]2[C@H]1OC[C@@H]2O[N+](=O)[O-],ZINC15 : ZINC000018089664,consensus,0.10714285714285714,zinc15
O.O.[Al+3].[Al+3].[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-],KGOIAFZMMLWXLM-UHFFFAOYSA-N,O=[N+]([O-])O[C@@H]1CO[C@@H]2[C@H]1OC[C@@H]2O[N+](=O)[O-],ZINC15 : ZINC000017920779,consensus,0.10714285714285714,zinc15
O.O.[Al+3].[Al+3].[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-],KGOIAFZMMLWXLM-UHFFFAOYSA-N,COP(=O)([O-])[O-],ZINC15 : 43919916,consensus,0.10526315789473684,zinc15
O.O.[Al+3].[Al+3].[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-],KGOIAFZMMLWXLM-UHFFFAOYSA-N,O=C([O-])c1cc2ccccc2cc1OS(=O)(=O)c1ccccc1,ZINC15 : ZINC000013342011,consensus,0.10526315789473684,zinc15
O.O.[Al+3].[Al+3].[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-],KGOIAFZMMLWXLM-UHFFFAOYSA-N,NOS(=O)(=O)[O-],ZINC15 : 238808876,consensus,0.10526315789473684,zinc15
O.O.[Al+3].[Al+3].[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-],KGOIAFZMMLWXLM-UHFFFAOYSA-N,CC(COC(=S)OCC(C)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],ZINC15 : ZINC000073351367,consensus,0.1,zinc15
O.O.[Al+3].[Al+3].[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-],KGOIAFZMMLWXLM-UHFFFAOYSA-N,O=P([O-])([O-])OP(=O)([O-])OP(=O)([O-])[O-],ZINC15 : ZINC000006827739,consensus,0.1,zinc15
O.O.[Al+3].[Al+3].[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-],KGOIAFZMMLWXLM-UHFFFAOYSA-N,O=P([O-])([O-])O[P@@](=O)([O-])O,ZINC15 : 6827695,consensus,0.09090909090909091,zinc15
O.O.[Al+3].[Al+3].[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-],KGOIAFZMMLWXLM-UHFFFAOYSA-N,O=P([O-])([O-])O[P@](=O)([O-])O,ZINC15 : 6827695,consensus,0.09090909090909091,zinc15
