query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,KJONHKAYOJNZEC-UHFFFAOYSA-N,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,ZINC15 : ZINC000004311748,consensus,1.0,zinc15
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,KJONHKAYOJNZEC-UHFFFAOYSA-N,O=C1CN=C(c2cccc([N+](=O)[O-])c2)c2cc([N+](=O)[O-])ccc2N1,ZINC15 : ZINC000004964600,consensus,0.8409090909090909,zinc15
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,KJONHKAYOJNZEC-UHFFFAOYSA-N,O=C1CN=C(c2cccc(Cl)c2)c2cc([N+](=O)[O-])ccc2N1,ZINC15 : ZINC000005512274,consensus,0.7708333333333334,zinc15
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,KJONHKAYOJNZEC-UHFFFAOYSA-N,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,ZINC15 : ZINC000003813003,consensus,0.7291666666666666,zinc15
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,KJONHKAYOJNZEC-UHFFFAOYSA-N,O=C1CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc2N1,ZINC15 : ZINC000013651891,consensus,0.7291666666666666,zinc15
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,KJONHKAYOJNZEC-UHFFFAOYSA-N,O=C1CN=C(c2cc([N+](=O)[O-])ccc2Cl)c2cc([N+](=O)[O-])ccc2N1,ZINC15 : ZINC000004006279,consensus,0.7021276595744681,zinc15
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,KJONHKAYOJNZEC-UHFFFAOYSA-N,Cc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2,ZINC15 : ZINC000008766519,consensus,0.6521739130434783,zinc15
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,KJONHKAYOJNZEC-UHFFFAOYSA-N,O=C1CN=C(c2ccccc2)c2cc(Br)ccc2N1,ZINC15 : ZINC000008738745,consensus,0.6521739130434783,zinc15
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,KJONHKAYOJNZEC-UHFFFAOYSA-N,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,ZINC15 : ZINC000001249069,consensus,0.6521739130434783,zinc15
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,KJONHKAYOJNZEC-UHFFFAOYSA-N,O=C1CN=C(c2ccccc2)c2ccccc2N1,ZINC15 : ZINC000000086336,consensus,0.627906976744186,zinc15
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,KJONHKAYOJNZEC-UHFFFAOYSA-N,O=C1CN=C(c2ccccc2)c2cc(-c3ccsc3)ccc2N1,ZINC15 : ZINC001239513461,consensus,0.5769230769230769,zinc15
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,KJONHKAYOJNZEC-UHFFFAOYSA-N,O=C1CN=C(c2ccccc2)c2cc(C3=CCCC3)ccc2N1,ZINC15 : ZINC001239789258,consensus,0.5660377358490566,zinc15
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,KJONHKAYOJNZEC-UHFFFAOYSA-N,O=C1CN=C(c2ccccc2)c2cc3c(cc2N1)OCCO3,ZINC15 : ZINC000000974900,consensus,0.56,zinc15
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,KJONHKAYOJNZEC-UHFFFAOYSA-N,O=C1CN=C(c2ccccc2)c2cc(C3=CC[NH2+]C3)ccc2N1,ZINC15 : ZINC001243111070,consensus,0.5555555555555556,zinc15
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,KJONHKAYOJNZEC-UHFFFAOYSA-N,O=C1CN=C(c2ccccc2)c2cc(C3=CCCCC3)ccc2N1,ZINC15 : ZINC001241716032,consensus,0.5555555555555556,zinc15
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,KJONHKAYOJNZEC-UHFFFAOYSA-N,O=C1CN=C(c2ccccc2)c2ccc(Cl)cc2N1,ZINC15 : ZINC000169332870,consensus,0.5510204081632653,zinc15
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,KJONHKAYOJNZEC-UHFFFAOYSA-N,O=C1CN=C(c2ccccc2)c2cc(NCC(F)F)ccc2N1,ZINC15 : ZINC001161816135,consensus,0.5454545454545454,zinc15
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,KJONHKAYOJNZEC-UHFFFAOYSA-N,O=C1CN=C(c2ccccc2)c2cc(NCC(F)(F)F)ccc2N1,ZINC15 : ZINC001161630264,consensus,0.5454545454545454,zinc15
