query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@]1(O[C@](O)(C(O)=O)[C@]([H])(F)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CO,KOWJBKIDVGQXJZ-QMFVTVPYSA-N,O=C1O[C@H]([C@@H](O)[C@H](O)CO)[C@H](O)[C@H]1O,ZINC15 : ZINC000205407530,consensus,0.3953488372093023,zinc15
[H][C@]1(O[C@](O)(C(O)=O)[C@]([H])(F)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CO,KOWJBKIDVGQXJZ-QMFVTVPYSA-N,O=C1O[C@H]([C@@H](O)[C@@H](O)CO)[C@H](O)[C@@H]1O,ZINC15 : ZINC000004403640,consensus,0.3953488372093023,zinc15
[H][C@]1(O[C@](O)(C(O)=O)[C@]([H])(F)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CO,KOWJBKIDVGQXJZ-QMFVTVPYSA-N,O=C1O[C@H]([C@@H](O)[C@H](O)CO)[C@@H](O)[C@H]1O,ZINC15 : ZINC000043919341,consensus,0.3953488372093023,zinc15
[H][C@]1(O[C@](O)(C(O)=O)[C@]([H])(F)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CO,KOWJBKIDVGQXJZ-QMFVTVPYSA-N,O=C1O[C@@H]([C@H](O)[C@H](O)CO)[C@@H](O)[C@H]1O,ZINC15 : ZINC000100055794,consensus,0.3953488372093023,zinc15
[H][C@]1(O[C@](O)(C(O)=O)[C@]([H])(F)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CO,KOWJBKIDVGQXJZ-QMFVTVPYSA-N,O=C1O[C@H]([C@H](O)[C@@H](O)CO)[C@H](O)[C@@H]1O,ZINC15 : ZINC000004403642,consensus,0.3953488372093023,zinc15
[H][C@]1(O[C@](O)(C(O)=O)[C@]([H])(F)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CO,KOWJBKIDVGQXJZ-QMFVTVPYSA-N,O=C1O[C@H]([C@@H](O)[C@H](O)CO)[C@H](O)[C@@H]1O,ZINC15 : ZINC000004403641,consensus,0.3953488372093023,zinc15
[H][C@]1(O[C@](O)(C(O)=O)[C@]([H])(F)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CO,KOWJBKIDVGQXJZ-QMFVTVPYSA-N,O=C1O[C@H]([C@@H](O)[C@H](O)CO)[C@@H](O)[C@@H]1O,ZINC15 : ZINC000025540717,consensus,0.3953488372093023,zinc15
[H][C@]1(O[C@](O)(C(O)=O)[C@]([H])(F)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CO,KOWJBKIDVGQXJZ-QMFVTVPYSA-N,O=C1O[C@H]([C@H](O)[C@H](O)CO)[C@H](O)[C@@H]1O,ZINC15 : ZINC000004403643,consensus,0.3953488372093023,zinc15
[H][C@]1(O[C@](O)(C(O)=O)[C@]([H])(F)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CO,KOWJBKIDVGQXJZ-QMFVTVPYSA-N,O=C1O[C@@H]([C@@H](O)[C@@H](O)CO)[C@H](O)[C@@H]1O,ZINC15 : ZINC000005220312,consensus,0.3953488372093023,zinc15
[H][C@]1(O[C@](O)(C(O)=O)[C@]([H])(F)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CO,KOWJBKIDVGQXJZ-QMFVTVPYSA-N,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)O[C@](O)(C(=O)[O-])C[C@@H]1O,ZINC15 : ZINC000003793840,consensus,0.36363636363636365,zinc15
[H][C@]1(O[C@](O)(C(O)=O)[C@]([H])(F)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CO,KOWJBKIDVGQXJZ-QMFVTVPYSA-N,CC(=O)N[C@@H]1[C@@H](O)C[C@](O)(C(=O)[O-])O[C@@H]1[C@H](O)[C@@H](O)CO,ZINC15 : ZINC000071789682,consensus,0.36363636363636365,zinc15
[H][C@]1(O[C@](O)(C(O)=O)[C@]([H])(F)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CO,KOWJBKIDVGQXJZ-QMFVTVPYSA-N,CC(=O)N[C@@H]1[C@@H](O)C[C@](O)(C(=O)[O-])O[C@@H]1[C@@H](O)[C@@H](O)CO,ZINC15 : ZINC000071789683,consensus,0.36363636363636365,zinc15
[H][C@]1(O[C@](O)(C(O)=O)[C@]([H])(F)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CO,KOWJBKIDVGQXJZ-QMFVTVPYSA-N,CC(=O)N[C@@H]1[C@@H](O)C[C@@](O)(C(=O)[O-])O[C@@H]1[C@H](O)[C@H](O)CO,ZINC15 : ZINC000004293691,consensus,0.36363636363636365,zinc15
[H][C@]1(O[C@](O)(C(O)=O)[C@]([H])(F)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CO,KOWJBKIDVGQXJZ-QMFVTVPYSA-N,CC(=O)N[C@H]1[C@@H](O)C[C@](O)(C(=O)[O-])O[C@@H]1[C@H](O)[C@H](O)CO,ZINC15 : ZINC000002586055,consensus,0.36363636363636365,zinc15
[H][C@]1(O[C@](O)(C(O)=O)[C@]([H])(F)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CO,KOWJBKIDVGQXJZ-QMFVTVPYSA-N,CC(=O)N[C@H]1[C@H](O)C[C@](O)(C(=O)[O-])O[C@@H]1[C@H](O)[C@H](O)CO,ZINC15 : ZINC000001532591,consensus,0.36363636363636365,zinc15
[H][C@]1(O[C@](O)(C(O)=O)[C@]([H])(F)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CO,KOWJBKIDVGQXJZ-QMFVTVPYSA-N,CC(=O)N[C@@H]1[C@H](O)C[C@](O)(C(=O)[O-])O[C@H]1[C@H](O)[C@@H](O)CO,ZINC15 : ZINC000015206149,consensus,0.36363636363636365,zinc15
[H][C@]1(O[C@](O)(C(O)=O)[C@]([H])(F)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CO,KOWJBKIDVGQXJZ-QMFVTVPYSA-N,CC(=O)N[C@@H]1[C@H]([C@H](O)[C@H](O)CO)O[C@](O)(C(=O)[O-])C[C@@H]1O,ZINC15 : ZINC000043509538,consensus,0.36363636363636365,zinc15
[H][C@]1(O[C@](O)(C(O)=O)[C@]([H])(F)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CO,KOWJBKIDVGQXJZ-QMFVTVPYSA-N,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)O[C@@](O)(C(=O)[O-])C[C@@H]1O,ZINC15 : ZINC000004081651,consensus,0.36363636363636365,zinc15
[H][C@]1(O[C@](O)(C(O)=O)[C@]([H])(F)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CO,KOWJBKIDVGQXJZ-QMFVTVPYSA-N,CC(=O)N[C@@H]1[C@H](O)C[C@](O)(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)CO,ZINC15 : ZINC000005227885,consensus,0.36363636363636365,zinc15
[H][C@]1(O[C@](O)(C(O)=O)[C@]([H])(F)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CO,KOWJBKIDVGQXJZ-QMFVTVPYSA-N,CC(=O)N[C@@H]1[C@H](O)C[C@](O)(C(=O)[O-])O[C@@H]1[C@@H](O)[C@@H](O)CO,ZINC15 : ZINC000015206143,consensus,0.36363636363636365,zinc15
[H][C@]1(O[C@](O)(C(O)=O)[C@]([H])(F)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CO,KOWJBKIDVGQXJZ-QMFVTVPYSA-N,CC1(C)O[C@H](CO)[C@H]([C@H](O)[C@H](O)CO)O1,ZINC15 : ZINC000039957201,consensus,0.36363636363636365,zinc15
[H][C@]1(O[C@](O)(C(O)=O)[C@]([H])(F)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CO,KOWJBKIDVGQXJZ-QMFVTVPYSA-N,CC(=O)N[C@@H]1[C@H](O)C[C@](O)(C(=O)[O-])O[C@H]1[C@@H](O)[C@@H](O)CO,ZINC15 : ZINC000012359995,consensus,0.36363636363636365,zinc15
[H][C@]1(O[C@](O)(C(O)=O)[C@]([H])(F)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CO,KOWJBKIDVGQXJZ-QMFVTVPYSA-N,CC1(C)O[C@H](CO)[C@H]([C@@H](O)[C@H](O)CO)O1,ZINC15 : ZINC000108242184,consensus,0.36363636363636365,zinc15
