query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CC(O)CN1C(C)=NC=C1N(=O)=O,KPQZUUQMTUIKBP-UHFFFAOYSA-N,CC1=NC=C([N+](=O)[O-])N1CC(C)O,ENAMINE-REAL : PV-002364173117,consensus,1.0,enamine-real
CC(O)CN1C(C)=NC=C1N(=O)=O,KPQZUUQMTUIKBP-UHFFFAOYSA-N,Cc1ncc([N+](=O)[O-])n1C[C@@H](C)O,ZINC15 : 711,consensus,1.0,zinc15
CC(O)CN1C(C)=NC=C1N(=O)=O,KPQZUUQMTUIKBP-UHFFFAOYSA-N,CC1=NC=C([N+](=O)[O-])N1C[C@@H](C)O,ENAMINE-REAL : PV-005164694864,consensus,1.0,enamine-real
CC(O)CN1C(C)=NC=C1N(=O)=O,KPQZUUQMTUIKBP-UHFFFAOYSA-N,CC1=NC=C([N+](=O)[O-])N1C[C@H](C)O,ENAMINE-REAL : PV-005164694865,consensus,1.0,enamine-real
CC(O)CN1C(C)=NC=C1N(=O)=O,KPQZUUQMTUIKBP-UHFFFAOYSA-N,Cc1ncc([N+](=O)[O-])n1C[C@H](C)O,ZINC15 : 1843047,consensus,1.0,zinc15
CC(O)CN1C(C)=NC=C1N(=O)=O,KPQZUUQMTUIKBP-UHFFFAOYSA-N,Cc1ncc([N+](=O)[O-])n1C[C@@H](O)C(C)C,ZINC15 : ZINC000412988202,consensus,0.7837837837837838,zinc15
CC(O)CN1C(C)=NC=C1N(=O)=O,KPQZUUQMTUIKBP-UHFFFAOYSA-N,CC1=NC=C([N+](=O)[O-])N1CC(O)C(C)O,ENAMINE-REAL : PV-006552068596,consensus,0.7837837837837838,enamine-real
CC(O)CN1C(C)=NC=C1N(=O)=O,KPQZUUQMTUIKBP-UHFFFAOYSA-N,CC1=NC=C([N+](=O)[O-])N1CC(O)C(C)C,ENAMINE-REAL : Z2345690634,consensus,0.7837837837837838,enamine-real
CC(O)CN1C(C)=NC=C1N(=O)=O,KPQZUUQMTUIKBP-UHFFFAOYSA-N,Cc1ncc([N+](=O)[O-])n1C[C@H](O)C(C)C,ZINC15 : ZINC000412988209,consensus,0.7837837837837838,zinc15
CC(O)CN1C(C)=NC=C1N(=O)=O,KPQZUUQMTUIKBP-UHFFFAOYSA-N,CC1=NC=C([N+](=O)[O-])N1CC(C)C,ENAMINE-REAL : PV-002502728384,consensus,0.7714285714285715,enamine-real
CC(O)CN1C(C)=NC=C1N(=O)=O,KPQZUUQMTUIKBP-UHFFFAOYSA-N,Cc1ncc([N+](=O)[O-])n1CC[C@H](C)O,ZINC15 : 592345266,consensus,0.7567567567567568,zinc15
CC(O)CN1C(C)=NC=C1N(=O)=O,KPQZUUQMTUIKBP-UHFFFAOYSA-N,CC1=NC=C([N+](=O)[O-])N1CCC(C)O,ENAMINE-REAL : Z2442233922,consensus,0.7567567567567568,enamine-real
CC(O)CN1C(C)=NC=C1N(=O)=O,KPQZUUQMTUIKBP-UHFFFAOYSA-N,Cc1ncc([N+](=O)[O-])n1CC[C@@H](C)O,ZINC15 : 592345278,consensus,0.7567567567567568,zinc15
