query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[18F-],KRHYYFGTRYWZRS-BJUDXGSMSA-M,O=c1[nH]c2cccc(F)c2c([O-])c1-c1ccccc1,ZINC15 : ZINC000219498141,consensus,0.030303030303030304,zinc15
[18F-],KRHYYFGTRYWZRS-BJUDXGSMSA-M,N#Cc1ccc(S(=O)(=O)[N-]C/C=C\Cl)o1,ZINC15 : ZINC001195743834,consensus,0.029411764705882353,zinc15
[18F-],KRHYYFGTRYWZRS-BJUDXGSMSA-M,N#Cc1ccc(S(=O)(=O)[N-]C/C=C/Cl)o1,ZINC15 : ZINC001195743828,consensus,0.029411764705882353,zinc15
[18F-],KRHYYFGTRYWZRS-BJUDXGSMSA-M,CS(=O)(=O)N1CC(NC(=O)NC2CCN3CCCC3C2)C1,ENAMINE-REAL : Z3019156421,consensus,0.02702702702702703,enamine-real
[18F-],KRHYYFGTRYWZRS-BJUDXGSMSA-M,CS(=O)(=O)[C@H]1C[C@H](NC(=O)NC2CCN3CCCC3C2)C1,ENAMINE-REAL : Z2853085077,consensus,0.02702702702702703,enamine-real
[18F-],KRHYYFGTRYWZRS-BJUDXGSMSA-M,N#Cc1ccc(S(=O)(=O)[N-]C/C=C/c2ccccc2)o1,ZINC15 : ZINC000344546114,consensus,0.02631578947368421,zinc15
[18F-],KRHYYFGTRYWZRS-BJUDXGSMSA-M,N#Cc1ccc(S(=O)(=O)[N-]C/C=C\C(=O)[O-])o1,ZINC15 : ZINC000806639224,consensus,0.02631578947368421,zinc15
[18F-],KRHYYFGTRYWZRS-BJUDXGSMSA-M,N#Cc1ccc(S(=O)(=O)[N-]C/C=C\c2ccccc2)o1,ZINC15 : ZINC000344546112,consensus,0.02631578947368421,zinc15
[18F-],KRHYYFGTRYWZRS-BJUDXGSMSA-M,N#Cc1ccc(S(=O)(=O)[N-]C/C=C/C(=O)[O-])o1,ZINC15 : ZINC000806639223,consensus,0.02631578947368421,zinc15
[18F-],KRHYYFGTRYWZRS-BJUDXGSMSA-M,CS(=O)(=O)N1CC(NC(=O)N2CCCN(C3CC3)CC2)C1,ENAMINE-REAL : Z3192699856,consensus,0.02631578947368421,enamine-real
[18F-],KRHYYFGTRYWZRS-BJUDXGSMSA-M,NC(=S)Nc1ccc(/N=C/c2cc(I)cc(I)c2[O-])cc1,ZINC15 : ZINC000100326018,consensus,0.025,zinc15
[18F-],KRHYYFGTRYWZRS-BJUDXGSMSA-M,O=[N+]([O-])c1cc(Br)cc(/C=N\c2cccc(I)c2)c1[O-],ZINC15 : ZINC000409100389,consensus,0.024390243902439025,zinc15
[18F-],KRHYYFGTRYWZRS-BJUDXGSMSA-M,CC(=O)c1ccc(N=Cc2cc([N+](=O)[O-])cc(Br)c2[O-])cc1,ZINC15 : ZINC000003150725,consensus,0.023809523809523808,zinc15
[18F-],KRHYYFGTRYWZRS-BJUDXGSMSA-M,NS(=O)(=O)CC1=CC=C(C(=O)N[C@@H]2CCC[C@H]2N2CCCC2)C=C1,ENAMINE-REAL : Z5574914196,consensus,0.023809523809523808,enamine-real
