query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CCS(=O)(=O)C1=CC=C2OC(=NC2=C1)C1=CC=C2C=CC=CC2=C1,KSGCNXAZROJSNW-UHFFFAOYSA-N,CCS(=O)(=O)c1ccc2oc(-c3ccc4ccccc4c3)nc2c1,ZINC15 : ZINC000071297091,consensus,1.0,zinc15
CCS(=O)(=O)C1=CC=C2OC(=NC2=C1)C1=CC=C2C=CC=CC2=C1,KSGCNXAZROJSNW-UHFFFAOYSA-N,CCS(=O)(=O)c1ccc2oc(-c3ccc(-c4nc5cc(S(=O)(=O)CC)ccc5o4)c4ccccc34)nc2c1,ZINC15 : ZINC000001228979,consensus,0.6739130434782609,zinc15
CCS(=O)(=O)C1=CC=C2OC(=NC2=C1)C1=CC=C2C=CC=CC2=C1,KSGCNXAZROJSNW-UHFFFAOYSA-N,CCS(=O)(=O)c1ccc2oc(Nc3ccc4ccccc4c3)nc2c1,ZINC15 : ZINC000012540709,consensus,0.6274509803921569,zinc15
CCS(=O)(=O)C1=CC=C2OC(=NC2=C1)C1=CC=C2C=CC=CC2=C1,KSGCNXAZROJSNW-UHFFFAOYSA-N,c1ccc(-c2ccc3oc(-c4ccc5ccccc5c4)nc3c2)cc1,ZINC15 : ZINC000073639217,consensus,0.6,zinc15
CCS(=O)(=O)C1=CC=C2OC(=NC2=C1)C1=CC=C2C=CC=CC2=C1,KSGCNXAZROJSNW-UHFFFAOYSA-N,CCS(=O)(=O)c1ccc(-c2noc(-c3ccc4ccccc4c3)n2)cc1,ZINC15 : ZINC000445601385,consensus,0.5918367346938775,zinc15
CCS(=O)(=O)C1=CC=C2OC(=NC2=C1)C1=CC=C2C=CC=CC2=C1,KSGCNXAZROJSNW-UHFFFAOYSA-N,CCC(=O)Nc1ccc2oc(-c3ccc4ccccc4c3)nc2c1,ZINC15 : ZINC000001204172,consensus,0.5849056603773585,zinc15
CCS(=O)(=O)C1=CC=C2OC(=NC2=C1)C1=CC=C2C=CC=CC2=C1,KSGCNXAZROJSNW-UHFFFAOYSA-N,CCS(=O)(=O)c1ccc2oc(-c3ccc(NC(=O)C(C)C)cc3)nc2c1,ZINC15 : ZINC000006766404,consensus,0.5818181818181818,zinc15
CCS(=O)(=O)C1=CC=C2OC(=NC2=C1)C1=CC=C2C=CC=CC2=C1,KSGCNXAZROJSNW-UHFFFAOYSA-N,CCS(=O)(=O)c1ccc2oc(-c3ccc(NC(=O)C(C)C)c(C)c3)nc2c1,ZINC15 : ZINC000006775601,consensus,0.5689655172413793,zinc15
CCS(=O)(=O)C1=CC=C2OC(=NC2=C1)C1=CC=C2C=CC=CC2=C1,KSGCNXAZROJSNW-UHFFFAOYSA-N,CCS(=O)(=O)c1ccc2oc(-c3ccc(NC(=O)C4CC4)cc3)nc2c1,ZINC15 : ZINC000006774457,consensus,0.5614035087719298,zinc15
CCS(=O)(=O)C1=CC=C2OC(=NC2=C1)C1=CC=C2C=CC=CC2=C1,KSGCNXAZROJSNW-UHFFFAOYSA-N,CCN(C(=O)C(F)(F)F)c1ccc2oc(-c3ccc4ccccc4c3)nc2c1,ZINC15 : ZINC000226282259,consensus,0.5614035087719298,zinc15
